game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,q_learning,rational,J1,16,30,30,16,16,10,6
2,q_learning,rational,J1,14,30,30,14,11,4,7
3,q_learning,rational,J1,6,30,30,6,5,2,3
4,q_learning,rational,J1,3,30,30,3,3,3,0
5,q_learning,rational,J1,7,30,30,7,6,4,2
6,q_learning,rational,J1,9,30,30,9,11,6,5
7,q_learning,rational,J1,27,30,30,27,22,12,10
8,q_learning,rational,J1,9,30,30,9,9,5,4
9,q_learning,rational,J1,4,30,30,4,4,3,1
10,q_learning,rational,J1,20,30,30,20,20,13,7
11,q_learning,rational,J1,4,30,30,4,6,2,4
12,q_learning,rational,J1,10,30,30,10,9,5,4
13,q_learning,rational,J1,5,30,30,5,5,4,1
14,q_learning,rational,J1,16,30,30,16,16,10,6
15,q_learning,rational,J1,12,30,30,12,16,8,8
16,q_learning,rational,J0,30,28,28,30,22,16,6
17,q_learning,rational,J1,18,30,30,18,21,10,11
18,q_learning,rational,J1,20,30,30,20,21,9,12
19,q_learning,rational,J1,6,30,30,6,8,2,6
20,q_learning,rational,J1,9,30,30,9,14,7,7
21,q_learning,rational,J1,17,30,30,17,19,10,9
22,q_learning,rational,J1,0,30,30,0,0,0,0
23,q_learning,rational,J1,15,30,30,15,15,7,8
24,q_learning,rational,J1,8,30,30,8,5,4,1
25,q_learning,rational,J1,23,30,30,23,20,13,7
26,q_learning,rational,J1,15,30,30,15,17,9,8
27,q_learning,rational,J1,29,30,30,29,19,16,3
28,q_learning,rational,J1,21,30,30,21,19,11,8
29,q_learning,rational,J1,15,30,30,15,19,9,10
30,q_learning,rational,J1,21,30,30,21,19,11,8
31,q_learning,rational,J1,4,30,30,4,3,3,0
32,q_learning,rational,J0,30,27,27,30,28,17,11
33,q_learning,rational,J1,26,30,30,26,21,11,10
34,q_learning,rational,J1,8,30,30,8,10,5,5
35,q_learning,rational,J1,14,30,30,14,13,5,8
36,q_learning,rational,J1,20,30,30,20,18,9,9
37,q_learning,rational,J1,8,30,30,8,6,5,1
38,q_learning,rational,J1,14,30,30,14,16,8,8
39,q_learning,rational,J1,5,30,30,5,5,3,2
40,q_learning,rational,J1,21,30,30,21,17,11,6
41,q_learning,rational,J1,22,30,30,22,17,10,7
42,q_learning,rational,J1,11,30,30,11,15,5,10
43,q_learning,rational,J1,14,30,30,14,11,9,2
44,q_learning,rational,J0,30,23,23,30,24,15,9
45,q_learning,rational,J1,22,30,30,22,19,10,9
46,q_learning,rational,J1,18,30,30,18,12,7,5
47,q_learning,rational,J1,3,30,30,3,4,2,2
48,q_learning,rational,J1,2,30,30,2,2,1,1
49,q_learning,rational,J0,30,15,15,30,19,15,4
50,q_learning,rational,J1,22,30,30,22,13,9,4
51,q_learning,rational,J1,0,30,30,0,0,0,0
52,q_learning,rational,J1,1,30,30,1,2,1,1
53,q_learning,rational,J1,19,30,30,19,18,6,12
54,q_learning,rational,J1,16,30,30,16,13,8,5
55,q_learning,rational,J1,0,30,30,0,0,0,0
56,q_learning,rational,J1,9,30,30,9,8,5,3
57,q_learning,rational,J1,21,30,30,21,18,10,8
58,q_learning,rational,J1,4,30,30,4,5,3,2
59,q_learning,rational,J1,27,30,30,27,17,13,4
60,q_learning,rational,J1,11,30,30,11,9,7,2
61,q_learning,rational,J1,17,30,30,17,15,11,4
62,q_learning,rational,J1,7,30,30,7,6,3,3
63,q_learning,rational,J0,30,24,24,30,24,17,7
64,q_learning,rational,J1,0,30,30,0,0,0,0
65,q_learning,rational,J1,19,30,30,19,20,10,10
66,q_learning,rational,J1,2,30,30,2,2,2,0
67,q_learning,rational,J1,2,30,30,2,2,2,0
68,q_learning,rational,J1,27,30,30,27,25,16,9
69,q_learning,rational,J1,14,30,30,14,18,7,11
70,q_learning,rational,J1,6,30,30,6,8,4,4
71,q_learning,rational,J1,13,30,30,13,8,7,1
72,q_learning,rational,J1,15,30,30,15,16,10,6
73,q_learning,rational,J1,21,30,30,21,18,10,8
74,q_learning,rational,J1,21,30,30,21,18,10,8
75,q_learning,rational,J1,5,30,30,5,4,3,1
76,q_learning,rational,J1,11,30,30,11,14,5,9
77,q_learning,rational,J1,13,30,30,13,14,7,7
78,q_learning,rational,J0,30,26,26,30,23,14,9
79,q_learning,rational,J1,29,30,30,29,23,15,8
80,q_learning,rational,J1,18,30,30,18,15,10,5
81,q_learning,rational,J1,5,30,30,5,8,3,5
82,q_learning,rational,J1,19,30,30,19,18,11,7
83,q_learning,rational,J1,14,30,30,14,13,8,5
84,q_learning,rational,J1,6,30,30,6,3,3,0
85,q_learning,rational,J1,5,30,30,5,5,2,3
86,q_learning,rational,J1,20,30,30,20,18,11,7
87,q_learning,rational,J1,19,30,30,19,19,9,10
88,q_learning,rational,J1,20,30,30,20,19,14,5
89,q_learning,rational,J1,25,30,30,25,22,15,7
90,q_learning,rational,J1,3,30,30,3,5,2,3
91,q_learning,rational,J1,16,30,30,16,14,5,9
92,q_learning,rational,J1,19,30,30,19,19,11,8
93,q_learning,rational,J1,28,30,30,28,24,16,8
94,q_learning,rational,J1,8,30,30,8,8,4,4
95,q_learning,rational,J1,0,30,30,0,0,0,0
96,q_learning,rational,J1,1,30,30,1,2,1,1
97,q_learning,rational,J1,9,30,30,9,8,6,2
98,q_learning,rational,J1,10,30,30,10,5,4,1
99,q_learning,rational,J1,0,30,30,0,0,0,0
100,q_learning,rational,J1,5,30,30,5,6,3,3
