game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,random,rational,J1,19,30,30,19,21,11,10
2,random,rational,J1,28,30,30,28,27,14,13
3,random,rational,J1,10,30,30,10,13,2,11
4,random,rational,J1,19,30,30,19,19,10,9
5,random,rational,J1,1,30,30,1,1,1,0
6,random,rational,J1,1,30,30,1,1,1,0
7,random,rational,J1,6,30,30,6,6,3,3
8,random,rational,J1,0,30,30,0,1,0,1
9,random,rational,J1,20,30,30,20,22,10,12
10,random,rational,J1,15,30,30,15,16,7,9
11,random,rational,J1,0,30,30,0,1,0,1
12,random,rational,J1,0,30,30,0,1,0,1
13,random,rational,J1,14,30,30,14,17,9,8
14,random,rational,J1,2,30,30,2,2,2,0
15,random,rational,J1,16,30,30,16,11,8,3
16,random,rational,J1,5,30,30,5,8,3,5
17,random,rational,J0,30,18,18,30,15,6,9
18,random,rational,J0,30,18,18,30,16,9,7
19,random,rational,J1,0,30,30,0,0,0,0
20,random,rational,J1,11,30,30,11,15,7,8
21,random,rational,J1,25,30,30,25,25,13,12
22,random,rational,J1,1,30,30,1,2,1,1
23,random,rational,J1,20,30,30,20,21,10,11
24,random,rational,J0,30,13,13,30,16,9,7
25,random,rational,J1,16,30,30,16,20,8,12
26,random,rational,J1,0,30,30,0,0,0,0
27,random,rational,J1,9,30,30,9,14,5,9
28,random,rational,J1,18,30,30,18,22,13,9
29,random,rational,J1,24,30,30,24,26,12,14
30,random,rational,J1,26,30,30,26,23,12,11
31,random,rational,J1,2,30,30,2,2,1,1
32,random,rational,J1,15,30,30,15,20,7,13
33,random,rational,J1,16,30,30,16,17,9,8
34,random,rational,J1,10,30,30,10,14,5,9
35,random,rational,J0,30,19,19,30,19,13,6
36,random,rational,J1,16,30,30,16,16,7,9
37,random,rational,J1,22,30,30,22,15,9,6
38,random,rational,J0,30,26,26,30,26,13,13
39,random,rational,J1,1,30,30,1,1,1,0
40,random,rational,J0,30,3,3,30,4,2,2
41,random,rational,J1,29,30,30,29,24,10,14
42,random,rational,J1,25,30,30,25,24,11,13
43,random,rational,J1,9,30,30,9,8,4,4
44,random,rational,J1,1,30,30,1,1,1,0
45,random,rational,J0,30,24,24,30,24,15,9
46,random,rational,J1,2,30,30,2,1,1,0
47,random,rational,J1,15,30,30,15,21,7,14
48,random,rational,J1,23,30,30,23,22,10,12
49,random,rational,J0,30,23,23,30,25,15,10
50,random,rational,J1,3,30,30,3,6,2,4
51,random,rational,J1,14,30,30,14,15,7,8
52,random,rational,J1,23,30,30,23,17,7,10
53,random,rational,J1,1,30,30,1,1,0,1
54,random,rational,J1,23,30,30,23,22,9,13
55,random,rational,J1,0,30,30,0,0,0,0
56,random,rational,J1,15,30,30,15,16,8,8
57,random,rational,J1,4,30,30,4,4,2,2
58,random,rational,J1,6,30,30,6,6,3,3
59,random,rational,J1,6,30,30,6,5,3,2
60,random,rational,J1,29,30,30,29,26,14,12
61,random,rational,J1,7,30,30,7,9,3,6
62,random,rational,J1,1,30,30,1,1,1,0
63,random,rational,J1,0,30,30,0,2,0,2
64,random,rational,J1,25,30,30,25,21,13,8
65,random,rational,J0,30,18,18,30,17,9,8
66,random,rational,J1,9,30,30,9,11,7,4
67,random,rational,J1,16,30,30,16,16,8,8
68,random,rational,J1,17,30,30,17,19,8,11
69,random,rational,J1,8,30,30,8,7,2,5
70,random,rational,J0,30,3,3,30,7,5,2
71,random,rational,J0,30,27,27,30,24,14,10
72,random,rational,J1,1,30,30,1,1,0,1
