q_table,episode,winrate,wins,losses,ties
exp1_selfplay_2026_ep192307.pkl,192307,0.715000,143,57,0
exp1_selfplay_2026_ep384615.pkl,384615,0.700000,140,60,0
exp1_selfplay_2026_ep576923.pkl,576923,0.690000,138,62,0
exp1_selfplay_2026_ep769230.pkl,769230,0.775000,155,45,0
exp1_selfplay_2026_ep961538.pkl,961538,0.745000,149,51,0
exp1_selfplay_2026_ep1153846.pkl,1153846,0.765000,153,47,0
exp1_selfplay_2026_ep1346153.pkl,1346153,0.785000,157,43,0
exp1_selfplay_2026_ep1538461.pkl,1538461,0.680000,136,64,0
exp1_selfplay_2026_ep1730769.pkl,1730769,0.710000,142,58,0
exp1_selfplay_2026_ep1923076.pkl,1923076,0.750000,150,50,0
exp1_selfplay_2026_ep2115384.pkl,2115384,0.770000,154,46,0
exp1_selfplay_2026_ep2307692.pkl,2307692,0.760000,152,48,0
exp1_selfplay_2026_ep2500000.pkl,2500000,0.760000,152,48,0
exp1_selfplay_2026_ep2692307.pkl,2692307,0.770000,154,46,0
exp1_selfplay_2026_ep2884615.pkl,2884615,0.790000,158,42,0
exp1_selfplay_2026_ep3076923.pkl,3076923,0.695000,139,61,0
exp1_selfplay_2026_ep3269230.pkl,3269230,0.720000,144,56,0
exp1_selfplay_2026_ep3461538.pkl,3461538,0.780000,156,44,0
exp1_selfplay_2026_ep3653846.pkl,3653846,0.850000,170,30,0
exp1_selfplay_2026_ep3846153.pkl,3846153,0.850000,170,30,0
exp1_selfplay_2026_ep4038461.pkl,4038461,0.830000,166,34,0
exp1_selfplay_2026_ep4230769.pkl,4230769,0.775000,155,45,0
exp1_selfplay_2026_ep4423076.pkl,4423076,0.810000,162,38,0
exp1_selfplay_2026_ep4615384.pkl,4615384,0.805000,161,39,0
exp1_selfplay_2026_ep4807692.pkl,4807692,0.790000,158,42,0
exp1_selfplay_2026_ep5000000.pkl,5000000,0.775000,155,45,0
