q_table,episode,winrate,wins,losses,ties
exp1_selfplay_2026_ep192307.pkl,192307,0.110000,22,178,0
exp1_selfplay_2026_ep384615.pkl,384615,0.115000,23,177,0
exp1_selfplay_2026_ep576923.pkl,576923,0.185000,37,163,0
exp1_selfplay_2026_ep769230.pkl,769230,0.140000,28,172,0
exp1_selfplay_2026_ep961538.pkl,961538,0.115000,23,177,0
exp1_selfplay_2026_ep1153846.pkl,1153846,0.120000,24,176,0
exp1_selfplay_2026_ep1346153.pkl,1346153,0.130000,26,174,0
exp1_selfplay_2026_ep1538461.pkl,1538461,0.160000,32,168,0
exp1_selfplay_2026_ep1730769.pkl,1730769,0.130000,26,174,0
exp1_selfplay_2026_ep1923076.pkl,1923076,0.160000,32,168,0
exp1_selfplay_2026_ep2115384.pkl,2115384,0.165000,33,167,0
exp1_selfplay_2026_ep2307692.pkl,2307692,0.180000,36,164,0
exp1_selfplay_2026_ep2500000.pkl,2500000,0.185000,37,163,0
exp1_selfplay_2026_ep2692307.pkl,2692307,0.165000,33,167,0
exp1_selfplay_2026_ep2884615.pkl,2884615,0.150000,30,170,0
exp1_selfplay_2026_ep3076923.pkl,3076923,0.145000,29,171,0
exp1_selfplay_2026_ep3269230.pkl,3269230,0.180000,36,164,0
exp1_selfplay_2026_ep3461538.pkl,3461538,0.220000,44,156,0
exp1_selfplay_2026_ep3653846.pkl,3653846,0.180000,36,164,0
exp1_selfplay_2026_ep3846153.pkl,3846153,0.155000,31,169,0
exp1_selfplay_2026_ep4038461.pkl,4038461,0.165000,33,167,0
exp1_selfplay_2026_ep4230769.pkl,4230769,0.155000,31,169,0
exp1_selfplay_2026_ep4423076.pkl,4423076,0.145000,29,171,0
exp1_selfplay_2026_ep4615384.pkl,4615384,0.200000,40,160,0
exp1_selfplay_2026_ep4807692.pkl,4807692,0.160000,32,168,0
exp1_selfplay_2026_ep5000000.pkl,5000000,0.115000,23,177,0
