q_table,episode,winrate,wins,losses,ties
exp2_vs_rational_789987_ep192307.pkl,192307,0.695000,139,61,0
exp2_vs_rational_789987_ep384615.pkl,384615,0.645000,129,71,0
exp2_vs_rational_789987_ep576923.pkl,576923,0.715000,143,57,0
exp2_vs_rational_789987_ep769230.pkl,769230,0.655000,131,69,0
exp2_vs_rational_789987_ep961538.pkl,961538,0.680000,136,64,0
exp2_vs_rational_789987_ep1153846.pkl,1153846,0.695000,139,61,0
exp2_vs_rational_789987_ep1346153.pkl,1346153,0.615000,123,77,0
exp2_vs_rational_789987_ep1538461.pkl,1538461,0.690000,138,62,0
exp2_vs_rational_789987_ep1730769.pkl,1730769,0.665000,133,67,0
exp2_vs_rational_789987_ep1923076.pkl,1923076,0.655000,131,69,0
exp2_vs_rational_789987_ep2115384.pkl,2115384,0.635000,127,73,0
exp2_vs_rational_789987_ep2307692.pkl,2307692,0.620000,124,76,0
exp2_vs_rational_789987_ep2500000.pkl,2500000,0.635000,127,73,0
exp2_vs_rational_789987_ep2692307.pkl,2692307,0.665000,133,67,0
exp2_vs_rational_789987_ep2884615.pkl,2884615,0.655000,131,69,0
exp2_vs_rational_789987_ep3076923.pkl,3076923,0.685000,137,63,0
exp2_vs_rational_789987_ep3269230.pkl,3269230,0.670000,134,66,0
exp2_vs_rational_789987_ep3461538.pkl,3461538,0.590000,118,82,0
exp2_vs_rational_789987_ep3653846.pkl,3653846,0.645000,129,71,0
exp2_vs_rational_789987_ep3846153.pkl,3846153,0.645000,129,71,0
exp2_vs_rational_789987_ep4038461.pkl,4038461,0.650000,130,70,0
exp2_vs_rational_789987_ep4230769.pkl,4230769,0.650000,130,70,0
exp2_vs_rational_789987_ep4423076.pkl,4423076,0.695000,139,61,0
exp2_vs_rational_789987_ep4615384.pkl,4615384,0.695000,139,61,0
exp2_vs_rational_789987_ep4807692.pkl,4807692,0.670000,134,66,0
exp2_vs_rational_789987_ep5000000.pkl,5000000,0.620000,124,76,0
