q_table,episode,winrate,wins,losses,ties
exp3_mix_2026_ep142857.pkl,142857,0.610000,122,78,0
exp3_mix_2026_ep285714.pkl,285714,0.665000,133,67,0
exp3_mix_2026_ep428571.pkl,428571,0.760000,152,48,0
exp3_mix_2026_ep571428.pkl,571428,0.775000,155,45,0
exp3_mix_2026_ep714285.pkl,714285,0.730000,146,54,0
exp3_mix_2026_ep857142.pkl,857142,0.690000,138,62,0
exp3_mix_2026_ep1000000.pkl,1000000,0.750000,150,50,0
exp3_mix_2026_ep1142857.pkl,1142857,0.675000,135,65,0
exp3_mix_2026_ep1285714.pkl,1285714,0.735000,147,53,0
exp3_mix_2026_ep1428571.pkl,1428571,0.710000,142,58,0
exp3_mix_2026_ep1571428.pkl,1571428,0.720000,144,56,0
exp3_mix_2026_ep1714285.pkl,1714285,0.775000,155,45,0
exp3_mix_2026_ep1857142.pkl,1857142,0.795000,159,41,0
exp3_mix_2026_ep2000000.pkl,2000000,0.795000,159,41,0
exp3_mix_2026_ep2142857.pkl,2142857,0.775000,155,45,0
exp3_mix_2026_ep2285714.pkl,2285714,0.760000,152,48,0
exp3_mix_2026_ep2428571.pkl,2428571,0.715000,143,57,0
exp3_mix_2026_ep2571428.pkl,2571428,0.715000,143,57,0
exp3_mix_2026_ep2714285.pkl,2714285,0.785000,157,43,0
exp3_mix_2026_ep2857142.pkl,2857142,0.835000,167,33,0
exp3_mix_2026_ep3000000.pkl,3000000,0.820000,164,36,0
exp3_mix_2026_ep3023809.pkl,3023809,0.805000,161,39,0
exp3_mix_2026_ep3047619.pkl,3047619,0.795000,159,41,0
exp3_mix_2026_ep3071428.pkl,3071428,0.795000,159,41,0
exp3_mix_2026_ep3095238.pkl,3095238,0.790000,158,42,0
exp3_mix_2026_ep3119047.pkl,3119047,0.760000,152,48,0
exp3_mix_2026_ep3142857.pkl,3142857,0.765000,153,47,0
exp3_mix_2026_ep3166666.pkl,3166666,0.765000,153,47,0
exp3_mix_2026_ep3190476.pkl,3190476,0.775000,155,45,0
exp3_mix_2026_ep3214285.pkl,3214285,0.790000,158,42,0
exp3_mix_2026_ep3238095.pkl,3238095,0.770000,154,46,0
exp3_mix_2026_ep3261904.pkl,3261904,0.715000,143,57,0
exp3_mix_2026_ep3285714.pkl,3285714,0.755000,151,49,0
exp3_mix_2026_ep3309523.pkl,3309523,0.775000,155,45,0
exp3_mix_2026_ep3333333.pkl,3333333,0.820000,164,36,0
exp3_mix_2026_ep3357142.pkl,3357142,0.800000,160,40,0
exp3_mix_2026_ep3380952.pkl,3380952,0.805000,161,39,0
exp3_mix_2026_ep3404761.pkl,3404761,0.775000,155,45,0
exp3_mix_2026_ep3428571.pkl,3428571,0.810000,162,38,0
exp3_mix_2026_ep3452380.pkl,3452380,0.805000,161,39,0
exp3_mix_2026_ep3476190.pkl,3476190,0.820000,164,36,0
exp3_mix_2026_ep3500000.pkl,3500000,0.785000,157,43,0
