q_table,episode,winrate,wins,losses,ties
exp3_mix_2026_ep142857.pkl,142857,0.130000,26,174,0
exp3_mix_2026_ep285714.pkl,285714,0.125000,25,175,0
exp3_mix_2026_ep428571.pkl,428571,0.120000,24,176,0
exp3_mix_2026_ep571428.pkl,571428,0.140000,28,172,0
exp3_mix_2026_ep714285.pkl,714285,0.185000,37,163,0
exp3_mix_2026_ep857142.pkl,857142,0.195000,39,161,0
exp3_mix_2026_ep1000000.pkl,1000000,0.125000,25,175,0
exp3_mix_2026_ep1142857.pkl,1142857,0.140000,28,172,0
exp3_mix_2026_ep1285714.pkl,1285714,0.165000,33,167,0
exp3_mix_2026_ep1428571.pkl,1428571,0.190000,38,162,0
exp3_mix_2026_ep1571428.pkl,1571428,0.120000,24,176,0
exp3_mix_2026_ep1714285.pkl,1714285,0.150000,30,170,0
exp3_mix_2026_ep1857142.pkl,1857142,0.190000,38,162,0
exp3_mix_2026_ep2000000.pkl,2000000,0.145000,29,171,0
exp3_mix_2026_ep2142857.pkl,2142857,0.165000,33,167,0
exp3_mix_2026_ep2285714.pkl,2285714,0.150000,30,170,0
exp3_mix_2026_ep2428571.pkl,2428571,0.165000,33,167,0
exp3_mix_2026_ep2571428.pkl,2571428,0.200000,40,160,0
exp3_mix_2026_ep2714285.pkl,2714285,0.145000,29,171,0
exp3_mix_2026_ep2857142.pkl,2857142,0.125000,25,175,0
exp3_mix_2026_ep3000000.pkl,3000000,0.145000,29,171,0
exp3_mix_2026_ep3023809.pkl,3023809,0.265000,53,147,0
exp3_mix_2026_ep3047619.pkl,3047619,0.305000,61,139,0
exp3_mix_2026_ep3071428.pkl,3071428,0.365000,73,127,0
exp3_mix_2026_ep3095238.pkl,3095238,0.345000,69,131,0
exp3_mix_2026_ep3119047.pkl,3119047,0.400000,80,120,0
exp3_mix_2026_ep3142857.pkl,3142857,0.450000,90,110,0
exp3_mix_2026_ep3166666.pkl,3166666,0.485000,97,103,0
exp3_mix_2026_ep3190476.pkl,3190476,0.440000,88,112,0
exp3_mix_2026_ep3214285.pkl,3214285,0.460000,92,108,0
exp3_mix_2026_ep3238095.pkl,3238095,0.555000,111,89,0
exp3_mix_2026_ep3261904.pkl,3261904,0.505000,101,99,0
exp3_mix_2026_ep3285714.pkl,3285714,0.500000,100,100,0
exp3_mix_2026_ep3309523.pkl,3309523,0.505000,101,99,0
exp3_mix_2026_ep3333333.pkl,3333333,0.580000,116,84,0
exp3_mix_2026_ep3357142.pkl,3357142,0.580000,116,84,0
exp3_mix_2026_ep3380952.pkl,3380952,0.610000,122,78,0
exp3_mix_2026_ep3404761.pkl,3404761,0.575000,115,85,0
exp3_mix_2026_ep3428571.pkl,3428571,0.610000,122,78,0
exp3_mix_2026_ep3452380.pkl,3452380,0.615000,123,77,0
exp3_mix_2026_ep3476190.pkl,3476190,0.680000,136,64,0
exp3_mix_2026_ep3500000.pkl,3500000,0.625000,125,75,0
