game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,10,2,8
2,sb3_league,sb3_league,N/A,N/A,J1,16,30,30,16,7,4,3
3,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,11,5,6
4,sb3_league,sb3_league,N/A,N/A,J1,25,30,30,25,12,6,6
5,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,6,2,4
6,sb3_league,sb3_league,N/A,N/A,J0,30,24,24,30,12,5,7
7,sb3_league,sb3_league,N/A,N/A,J1,21,30,30,21,11,5,6
8,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,6,2,4
9,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,16,3,13
10,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,4,3,1
11,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
12,sb3_league,sb3_league,N/A,N/A,J1,28,30,30,28,11,7,4
13,sb3_league,sb3_league,N/A,N/A,J1,17,30,30,17,12,3,9
14,sb3_league,sb3_league,N/A,N/A,J1,13,30,30,13,7,2,5
15,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,8,2,6
16,sb3_league,sb3_league,N/A,N/A,J1,28,30,30,28,18,8,10
17,sb3_league,sb3_league,N/A,N/A,J1,17,30,30,17,10,6,4
18,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,12,6,6
19,sb3_league,sb3_league,N/A,N/A,J1,23,30,30,23,15,3,12
20,sb3_league,sb3_league,N/A,N/A,J1,21,30,30,21,12,3,9
21,sb3_league,sb3_league,N/A,N/A,J1,13,30,30,13,9,1,8
22,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,11,4,7
23,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,7,5,2
24,sb3_league,sb3_league,N/A,N/A,J0,30,17,17,30,14,6,8
25,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,12,4,8
26,sb3_league,sb3_league,N/A,N/A,J1,11,30,30,11,9,3,6
27,sb3_league,sb3_league,N/A,N/A,J0,30,1,1,30,3,3,0
28,sb3_league,sb3_league,N/A,N/A,J0,30,11,11,30,9,3,6
29,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,5,1,4
30,sb3_league,sb3_league,N/A,N/A,J1,27,30,30,27,15,3,12
31,sb3_league,sb3_league,N/A,N/A,J1,23,30,30,23,13,5,8
32,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,5,2,3
33,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,11,6,5
34,sb3_league,sb3_league,N/A,N/A,J0,30,23,23,30,10,8,2
35,sb3_league,sb3_league,N/A,N/A,J1,6,30,30,6,2,2,0
36,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,5,2,3
37,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,8,5,3
38,sb3_league,sb3_league,N/A,N/A,J0,30,12,12,30,10,5,5
39,sb3_league,sb3_league,N/A,N/A,J1,12,30,30,12,8,1,7
40,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,9,3,6
41,sb3_league,sb3_league,N/A,N/A,J1,13,30,30,13,7,3,4
42,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,15,2,13
43,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,10,4,6
44,sb3_league,sb3_league,N/A,N/A,J1,2,30,30,2,3,0,3
45,sb3_league,sb3_league,N/A,N/A,J0,30,27,27,30,7,5,2
46,sb3_league,sb3_league,N/A,N/A,J1,23,30,30,23,16,5,11
47,sb3_league,sb3_league,N/A,N/A,J0,30,9,9,30,8,3,5
48,sb3_league,sb3_league,N/A,N/A,J1,19,30,30,19,10,6,4
49,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,8,7,1
50,sb3_league,sb3_league,N/A,N/A,J1,20,30,30,20,13,4,9
51,sb3_league,sb3_league,N/A,N/A,J1,21,30,30,21,13,5,8
52,sb3_league,sb3_league,N/A,N/A,J1,12,30,30,12,6,2,4
53,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,6,4,2
54,sb3_league,sb3_league,N/A,N/A,J1,11,30,30,11,5,2,3
55,sb3_league,sb3_league,N/A,N/A,J1,9,30,30,9,4,0,4
56,sb3_league,sb3_league,N/A,N/A,J0,30,19,19,30,9,3,6
57,sb3_league,sb3_league,N/A,N/A,J0,30,9,9,30,4,1,3
58,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,6,4,2
59,sb3_league,sb3_league,N/A,N/A,J1,9,30,30,9,5,3,2
60,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,8,4,4
61,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,7,5,2
62,sb3_league,sb3_league,N/A,N/A,J1,20,30,30,20,13,4,9
63,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,7,4,3
64,sb3_league,sb3_league,N/A,N/A,J0,30,24,24,30,17,8,9
65,sb3_league,sb3_league,N/A,N/A,J1,12,30,30,12,7,1,6
66,sb3_league,sb3_league,N/A,N/A,J0,30,14,14,30,11,4,7
67,sb3_league,sb3_league,N/A,N/A,J0,30,9,9,30,7,3,4
68,sb3_league,sb3_league,N/A,N/A,J1,16,30,30,16,10,3,7
69,sb3_league,sb3_league,N/A,N/A,J1,5,30,30,5,3,2,1
70,sb3_league,sb3_league,N/A,N/A,J0,30,11,11,30,7,4,3
71,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,12,6,6
72,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,7,2,5
73,sb3_league,sb3_league,N/A,N/A,J1,29,30,30,29,15,7,8
74,sb3_league,sb3_league,N/A,N/A,J1,28,30,30,28,14,7,7
75,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,15,8,7
76,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,7,5,2
77,sb3_league,sb3_league,N/A,N/A,J1,23,30,30,23,14,8,6
78,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,7,3,4
79,sb3_league,sb3_league,N/A,N/A,J1,4,30,30,4,5,0,5
