timesteps,policy_gradient_loss,value_loss,entropy_loss,loss
4097,-9.898777e-03,5.822882e-01,-1.504719e+00,1.844534e-01
8193,-2.472354e-03,8.241832e-01,-1.445000e+00,2.513324e-01
12289,-7.726224e-03,6.344383e-01,-1.509966e+00,2.258741e-01
16385,-8.991562e-03,8.788422e-01,-1.219581e+00,3.763132e-01
20481,-5.320936e-03,8.924547e-01,-1.155445e+00,3.683455e-01
24577,-3.304800e-03,9.218812e-01,-1.116871e+00,3.993314e-01
28673,-2.468504e-03,9.319889e-01,-1.109369e+00,3.932092e-01
32769,-2.159086e-03,9.679991e-01,-1.145652e+00,4.059817e-01
36865,-9.944841e-04,9.437177e-01,-1.124833e+00,4.172723e-01
40961,-2.968490e-03,9.236656e-01,-1.113107e+00,3.972145e-01
45057,-1.517945e-03,9.037370e-01,-1.092378e+00,4.086289e-01
49153,-1.808349e-03,9.005890e-01,-1.087131e+00,4.049433e-01
53249,-2.372146e-03,8.984451e-01,-1.102348e+00,3.978468e-01
57345,-1.467223e-03,9.304037e-01,-1.126360e+00,3.872446e-01
61441,-2.004642e-03,9.211469e-01,-1.140241e+00,4.090235e-01
65537,-2.124209e-03,8.892921e-01,-1.158330e+00,3.906221e-01
69633,-2.451195e-03,8.974884e-01,-1.187182e+00,3.767447e-01
73729,-2.694752e-03,8.788378e-01,-1.174355e+00,3.751124e-01
77825,-1.690041e-03,9.310598e-01,-1.164622e+00,4.052346e-01
81921,-2.713233e-03,9.512455e-01,-1.169568e+00,3.909781e-01
86017,-2.991142e-03,8.624580e-01,-1.187628e+00,3.595830e-01
90113,-4.021615e-03,9.376774e-01,-1.168312e+00,3.886528e-01
94209,-1.864313e-03,9.501736e-01,-1.165814e+00,4.052510e-01
98305,-2.671742e-03,8.872056e-01,-1.173190e+00,3.810196e-01
102401,-3.475795e-03,9.565168e-01,-1.172274e+00,4.279898e-01
106497,-2.571839e-03,8.984346e-01,-1.190074e+00,3.871566e-01
110593,-4.736034e-03,8.700675e-01,-1.186090e+00,3.572011e-01
114689,-3.785432e-03,9.267700e-01,-1.192323e+00,3.874717e-01
118785,-3.546967e-03,9.317148e-01,-1.196251e+00,3.979861e-01
122881,-3.836249e-03,9.452276e-01,-1.208510e+00,3.948673e-01
126977,-4.842718e-03,9.459156e-01,-1.218467e+00,4.000239e-01
131073,-3.056545e-03,9.649800e-01,-1.224637e+00,4.128042e-01
135169,-3.532796e-03,9.371341e-01,-1.224776e+00,3.870243e-01
139265,-3.658717e-03,9.839730e-01,-1.233592e+00,4.306476e-01
143361,-5.862306e-03,9.378345e-01,-1.229010e+00,3.869825e-01
147457,-5.189934e-03,9.540335e-01,-1.268271e+00,3.799702e-01
151553,-2.756357e-03,9.418389e-01,-1.238557e+00,4.146650e-01
155649,-3.928076e-03,9.291917e-01,-1.253843e+00,3.978661e-01
159745,-2.306581e-03,9.337348e-01,-1.229912e+00,4.236454e-01
163841,-3.527754e-03,9.376960e-01,-1.212764e+00,4.002670e-01
167937,-2.422619e-03,9.320582e-01,-1.227497e+00,4.024574e-01
172033,-2.328663e-03,9.358107e-01,-1.244655e+00,3.699696e-01
176129,-3.875819e-03,9.105150e-01,-1.242336e+00,3.750046e-01
180225,-5.067130e-03,9.468634e-01,-1.214924e+00,3.964688e-01
184321,-3.998501e-03,9.671784e-01,-1.235963e+00,3.864790e-01
188417,-3.531236e-03,8.884472e-01,-1.208379e+00,3.713722e-01
192513,-3.105329e-03,9.083596e-01,-1.213953e+00,3.956599e-01
196609,-3.404806e-03,9.235194e-01,-1.226791e+00,3.767297e-01
200705,-3.200774e-03,9.163425e-01,-1.231227e+00,4.056649e-01
204801,-2.281107e-03,9.120685e-01,-1.209414e+00,4.002275e-01
208897,-4.772868e-03,9.182731e-01,-1.213956e+00,3.734625e-01
212993,-2.250838e-03,8.885558e-01,-1.213859e+00,3.806123e-01
217089,-2.787441e-03,9.453615e-01,-1.215396e+00,3.701148e-01
221185,-2.849529e-03,8.750336e-01,-1.212794e+00,3.686774e-01
225281,-3.818124e-03,8.953651e-01,-1.211850e+00,3.649968e-01
229377,-4.306595e-03,8.833464e-01,-1.201658e+00,3.468689e-01
233473,-3.550191e-03,8.753469e-01,-1.182481e+00,3.513420e-01
237569,-2.815843e-03,8.716058e-01,-1.206098e+00,4.107032e-01
241665,-4.344783e-03,9.050906e-01,-1.176467e+00,3.555912e-01
245761,-1.707582e-03,8.983334e-01,-1.223899e+00,3.527732e-01
249857,-3.008612e-03,8.801419e-01,-1.207520e+00,3.452980e-01
253953,-5.049575e-03,9.172185e-01,-1.210014e+00,3.943228e-01
258049,-3.916242e-03,8.420979e-01,-1.191366e+00,3.120729e-01
262145,-3.500326e-03,8.778924e-01,-1.191489e+00,3.793229e-01
266241,-3.523039e-03,8.871530e-01,-1.187421e+00,3.658288e-01
270337,-3.379418e-03,8.862439e-01,-1.199950e+00,3.619969e-01
274433,-2.520797e-03,9.013084e-01,-1.211368e+00,3.448991e-01
278529,-4.580649e-03,8.684500e-01,-1.193340e+00,3.889263e-01
282625,-2.910304e-03,8.995359e-01,-1.187561e+00,3.834382e-01
286721,-3.466115e-03,8.984273e-01,-1.192568e+00,3.773680e-01
290817,-2.966372e-03,8.738962e-01,-1.176974e+00,3.789971e-01
294913,-2.927095e-03,8.846538e-01,-1.188569e+00,3.668399e-01
299009,-3.223352e-03,8.211260e-01,-1.183551e+00,3.467682e-01
303105,-3.344512e-03,9.040402e-01,-1.188189e+00,3.617851e-01
307201,-3.297835e-03,8.844236e-01,-1.207320e+00,3.871295e-01
311297,-2.851782e-03,8.837511e-01,-1.231413e+00,3.923083e-01
315393,-2.363027e-03,9.155495e-01,-1.239009e+00,3.685525e-01
319489,-3.741545e-03,8.678609e-01,-1.241325e+00,3.447903e-01
323585,-4.951520e-03,8.955607e-01,-1.235675e+00,3.807266e-01
327681,-3.718299e-03,9.092960e-01,-1.220829e+00,3.623555e-01
331777,-5.451627e-03,8.770170e-01,-1.195158e+00,3.767599e-01
335873,-4.220049e-03,8.788345e-01,-1.197357e+00,3.686020e-01
339969,-3.083066e-03,8.952557e-01,-1.201345e+00,3.893778e-01
344065,-3.694015e-03,8.903177e-01,-1.200238e+00,3.689494e-01
348161,-2.098238e-03,8.900589e-01,-1.213522e+00,3.623599e-01
352257,-3.666708e-03,9.331976e-01,-1.211857e+00,4.201940e-01
356353,-3.998808e-03,9.230921e-01,-1.208525e+00,4.136355e-01
360449,-3.290511e-03,8.721110e-01,-1.207246e+00,3.361693e-01
364545,-4.036275e-03,8.743631e-01,-1.192976e+00,3.928704e-01
368641,-4.516884e-03,9.296279e-01,-1.209649e+00,3.894655e-01
372737,-3.646008e-03,9.334234e-01,-1.190497e+00,4.096407e-01
376833,-4.356260e-03,9.350579e-01,-1.167936e+00,3.753011e-01
380929,-3.597788e-03,9.379678e-01,-1.179135e+00,3.987561e-01
385025,-3.105606e-03,8.590436e-01,-1.200947e+00,3.666689e-01
389121,-3.638561e-03,9.062415e-01,-1.212082e+00,3.637301e-01
393217,-3.429510e-03,8.901888e-01,-1.217062e+00,3.659421e-01
397313,-3.593477e-03,8.626216e-01,-1.191254e+00,3.583435e-01
401409,-4.987180e-03,8.525690e-01,-1.167546e+00,3.482900e-01
405505,-4.261004e-03,8.701655e-01,-1.149942e+00,3.572091e-01
409601,-2.985448e-03,8.734309e-01,-1.182122e+00,3.811058e-01
413697,-3.153745e-03,8.423314e-01,-1.159368e+00,3.691305e-01
417793,-4.061454e-03,8.384721e-01,-1.145110e+00,3.289430e-01
421889,-3.099150e-03,8.826686e-01,-1.167299e+00,3.580071e-01
425985,-6.022555e-03,8.041137e-01,-1.149054e+00,3.494191e-01
430081,-3.132073e-03,9.072851e-01,-1.167195e+00,3.782735e-01
434177,-4.165592e-03,8.711618e-01,-1.138919e+00,3.448319e-01
438273,-3.063682e-03,8.432120e-01,-1.119124e+00,3.452593e-01
442369,-3.858255e-03,8.208587e-01,-1.101808e+00,3.630243e-01
446465,-2.092464e-03,8.943217e-01,-1.092140e+00,3.696300e-01
450561,-2.823416e-03,8.390734e-01,-1.103083e+00,3.221205e-01
454657,-4.551508e-03,8.488298e-01,-1.096629e+00,3.453532e-01
458753,-3.155029e-03,8.100682e-01,-1.121044e+00,3.408300e-01
462849,-3.629411e-03,8.918225e-01,-1.126708e+00,3.702165e-01
466945,-3.526404e-03,8.861201e-01,-1.112584e+00,3.630538e-01
471041,-2.591619e-03,8.759407e-01,-1.111327e+00,3.495981e-01
475137,-3.342287e-03,8.258580e-01,-1.111561e+00,3.571694e-01
479233,-1.968374e-03,8.792919e-01,-1.109842e+00,3.751511e-01
483329,-3.611228e-03,8.539747e-01,-1.121602e+00,3.475802e-01
487425,-3.523532e-03,8.727216e-01,-1.114979e+00,3.597938e-01
491521,-2.862873e-03,8.254122e-01,-1.136067e+00,3.410353e-01
495617,-4.236160e-03,8.676171e-01,-1.144680e+00,3.734170e-01
499713,-3.218950e-03,8.801335e-01,-1.157935e+00,3.716949e-01
503809,-3.630579e-03,8.576648e-01,-1.150348e+00,3.733251e-01
507905,-4.096820e-03,8.395911e-01,-1.140496e+00,3.403104e-01
512001,-3.712518e-03,8.955803e-01,-1.133923e+00,3.782060e-01
516097,-3.540662e-03,8.613031e-01,-1.156899e+00,3.823688e-01
