game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,q_learning,random,J0,30,3,3,30,4,1,3
2,q_learning,random,J0,30,7,7,30,11,10,1
3,q_learning,random,J0,30,2,2,30,4,3,1
4,q_learning,random,J0,30,23,23,30,22,14,8
5,q_learning,random,J0,30,17,17,30,13,8,5
6,q_learning,random,J1,29,30,30,29,24,17,7
7,q_learning,random,J0,30,19,19,30,21,14,7
8,q_learning,random,J0,30,27,27,30,24,12,12
9,q_learning,random,J1,14,30,30,14,6,5,1
10,q_learning,random,J0,30,26,26,30,24,15,9
11,q_learning,random,J0,30,13,13,30,16,10,6
12,q_learning,random,J0,30,12,12,30,18,17,1
13,q_learning,random,J0,30,2,2,30,4,3,1
14,q_learning,random,J0,30,19,19,30,19,13,6
15,q_learning,random,J0,30,28,28,30,24,15,9
16,q_learning,random,J0,30,14,14,30,14,10,4
17,q_learning,random,J0,30,11,11,30,11,6,5
18,q_learning,random,J1,14,30,30,14,14,11,3
19,q_learning,random,J0,30,21,21,30,18,11,7
20,q_learning,random,J0,30,13,13,30,15,10,5
21,q_learning,random,J1,7,30,30,7,3,3,0
22,q_learning,random,J0,30,20,20,30,25,18,7
23,q_learning,random,J0,30,17,17,30,15,9,6
24,q_learning,random,J0,30,22,22,30,19,12,7
25,q_learning,random,J0,30,13,13,30,17,17,0
26,q_learning,random,J1,11,30,30,11,9,5,4
27,q_learning,random,J0,30,11,11,30,10,6,4
28,q_learning,random,J0,30,22,22,30,23,15,8
29,q_learning,random,J1,4,30,30,4,4,3,1
30,q_learning,random,J0,30,14,14,30,16,11,5
31,q_learning,random,J1,15,30,30,15,5,4,1
32,q_learning,random,J0,30,9,9,30,12,10,2
33,q_learning,random,J0,30,19,19,30,20,10,10
34,q_learning,random,J0,30,8,8,30,14,12,2
35,q_learning,random,J0,30,26,26,30,24,19,5
36,q_learning,random,J0,30,14,14,30,20,13,7
37,q_learning,random,J0,30,26,26,30,24,15,9
38,q_learning,random,J1,24,30,30,24,21,15,6
39,q_learning,random,J0,30,27,27,30,21,11,10
40,q_learning,random,J0,30,19,19,30,18,12,6
41,q_learning,random,J0,30,0,0,30,1,1,0
42,q_learning,random,J1,13,30,30,13,11,8,3
43,q_learning,random,J0,30,20,20,30,23,14,9
44,q_learning,random,J0,30,7,7,30,9,7,2
45,q_learning,random,J0,30,8,8,30,9,3,6
46,q_learning,random,J0,30,15,15,30,16,11,5
47,q_learning,random,J0,30,0,0,30,1,1,0
48,q_learning,random,J0,30,27,27,30,29,16,13
49,q_learning,random,J0,30,18,18,30,15,10,5
50,q_learning,random,J0,30,9,9,30,16,14,2
51,q_learning,random,J1,15,30,30,15,14,7,7
52,q_learning,random,J0,30,16,16,30,21,14,7
53,q_learning,random,J0,30,15,15,30,20,14,6
54,q_learning,random,J0,30,16,16,30,17,12,5
55,q_learning,random,J0,30,23,23,30,19,9,10
56,q_learning,random,J1,13,30,30,13,11,7,4
57,q_learning,random,J0,30,12,12,30,6,6,0
58,q_learning,random,J1,25,30,30,25,23,10,13
59,q_learning,random,J0,30,20,20,30,25,15,10
60,q_learning,random,J0,30,23,23,30,22,15,7
61,q_learning,random,J0,30,29,29,30,17,11,6
62,q_learning,random,J0,30,17,17,30,20,13,7
63,q_learning,random,J0,30,12,12,30,15,9,6
64,q_learning,random,J0,30,11,11,30,18,14,4
65,q_learning,random,J1,6,30,30,6,5,2,3
66,q_learning,random,J0,30,15,15,30,15,12,3
67,q_learning,random,J0,30,15,15,30,16,10,6
68,q_learning,random,J0,30,13,13,30,19,16,3
69,q_learning,random,J0,30,0,0,30,0,0,0
70,q_learning,random,J0,30,0,0,30,1,1,0
71,q_learning,random,J0,30,25,25,30,23,15,8
72,q_learning,random,J0,30,22,22,30,15,12,3
73,q_learning,random,J0,30,7,7,30,15,12,3
74,q_learning,random,J0,30,15,15,30,22,15,7
75,q_learning,random,J0,30,12,12,30,18,12,6
76,q_learning,random,J0,30,26,26,30,20,10,10
77,q_learning,random,J0,30,23,23,30,22,12,10
78,q_learning,random,J1,20,30,30,20,23,13,10
79,q_learning,random,J1,28,30,30,28,16,11,5
80,q_learning,random,J0,30,17,17,30,22,16,6
81,q_learning,random,J1,0,30,30,0,0,0,0
82,q_learning,random,J1,23,30,30,23,23,13,10
83,q_learning,random,J0,30,19,19,30,21,17,4
84,q_learning,random,J0,30,14,14,30,25,16,9
85,q_learning,random,J0,30,28,28,30,21,12,9
86,q_learning,random,J1,6,30,30,6,8,4,4
87,q_learning,random,J0,30,9,9,30,15,10,5
88,q_learning,random,J0,30,12,12,30,9,4,5
89,q_learning,random,J0,30,4,4,30,9,6,3
90,q_learning,random,J1,14,30,30,14,15,6,9
91,q_learning,random,J0,30,15,15,30,19,14,5
92,q_learning,random,J1,0,30,30,0,0,0,0
93,q_learning,random,J0,30,13,13,30,18,13,5
94,q_learning,random,J0,30,19,19,30,18,14,4
95,q_learning,random,J0,30,23,23,30,25,14,11
96,q_learning,random,J1,11,30,30,11,12,7,5
97,q_learning,random,J0,30,22,22,30,19,11,8
98,q_learning,random,J0,30,24,24,30,20,15,5
99,q_learning,random,J0,30,22,22,30,24,18,6
100,q_learning,random,J0,30,23,23,30,26,19,7
101,q_learning,random,J1,8,30,30,8,8,6,2
102,q_learning,random,J0,30,26,26,30,22,12,10
103,q_learning,random,J0,30,21,21,30,18,13,5
104,q_learning,random,J0,30,7,7,30,10,8,2
105,q_learning,random,J0,30,8,8,30,5,2,3
106,q_learning,random,J0,30,23,23,30,22,15,7
107,q_learning,random,J0,30,5,5,30,10,8,2
108,q_learning,random,J0,30,4,4,30,3,1,2
109,q_learning,random,J0,30,13,13,30,10,5,5
110,q_learning,random,J0,30,19,19,30,15,12,3
111,q_learning,random,J0,30,27,27,30,16,12,4
112,q_learning,random,J0,30,15,15,30,14,9,5
113,q_learning,random,J0,30,28,28,30,21,13,8
114,q_learning,random,J0,30,8,8,30,14,11,3
115,q_learning,random,J0,30,24,24,30,24,14,10
116,q_learning,random,J0,30,23,23,30,23,16,7
117,q_learning,random,J0,30,17,17,30,15,15,0
118,q_learning,random,J0,30,0,0,30,1,1,0
119,q_learning,random,J0,30,10,10,30,17,14,3
120,q_learning,random,J0,30,18,18,30,18,14,4
121,q_learning,random,J0,30,10,10,30,12,10,2
122,q_learning,random,J0,30,9,9,30,14,13,1
