game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,q_learning,rational,J1,25,30,30,25,26,15,11
2,q_learning,rational,J1,28,30,30,28,30,11,19
3,q_learning,rational,J0,30,17,17,30,25,16,9
4,q_learning,rational,J1,21,30,30,21,33,16,17
5,q_learning,rational,J1,26,30,30,26,29,15,14
6,q_learning,rational,J1,26,30,30,26,31,12,19
7,q_learning,rational,J0,30,23,23,30,33,15,18
8,q_learning,rational,J0,30,29,29,30,32,15,17
9,q_learning,rational,J1,15,30,30,15,24,5,19
10,q_learning,rational,J0,30,28,28,30,33,17,16
11,q_learning,rational,J1,14,30,30,14,21,7,14
12,q_learning,rational,J1,18,30,30,18,26,10,16
13,q_learning,rational,J0,30,22,22,30,32,15,17
14,q_learning,rational,J1,16,30,30,16,26,11,15
15,q_learning,rational,J0,30,26,26,30,24,11,13
16,q_learning,rational,J1,24,30,30,24,27,15,12
17,q_learning,rational,J1,20,30,30,20,23,11,12
18,q_learning,rational,J1,24,30,30,24,31,14,17
19,q_learning,rational,J1,23,30,30,23,26,11,15
20,q_learning,rational,J1,29,30,30,29,30,10,20
21,q_learning,rational,J1,16,30,30,16,22,8,14
22,q_learning,rational,J1,19,30,30,19,24,9,15
23,q_learning,rational,J0,30,27,27,30,32,17,15
24,q_learning,rational,J1,16,30,30,16,25,7,18
25,q_learning,rational,J1,16,30,30,16,20,10,10
26,q_learning,rational,J0,30,29,29,30,30,12,18
27,q_learning,rational,J1,23,30,30,23,26,12,14
28,q_learning,rational,J1,27,30,30,27,27,17,10
29,q_learning,rational,J1,29,30,30,29,32,13,19
30,q_learning,rational,J0,30,23,23,30,27,16,11
31,q_learning,rational,J0,30,15,15,30,26,15,11
32,q_learning,rational,J0,30,20,20,30,26,16,10
33,q_learning,rational,J0,30,21,21,30,30,20,10
34,q_learning,rational,J0,30,26,26,30,28,9,19
35,q_learning,rational,J1,11,30,30,11,20,6,14
36,q_learning,rational,J1,21,30,30,21,24,11,13
37,q_learning,rational,J1,18,30,30,18,26,7,19
38,q_learning,rational,J1,22,30,30,22,30,16,14
39,q_learning,rational,J1,29,30,30,29,29,13,16
40,q_learning,rational,J1,29,30,30,29,30,14,16
41,q_learning,rational,J1,21,30,30,21,25,8,17
42,q_learning,rational,J1,20,30,30,20,28,7,21
43,q_learning,rational,J0,30,21,21,30,19,9,10
44,q_learning,rational,J1,15,30,30,15,25,11,14
45,q_learning,rational,J0,30,28,28,30,32,17,15
46,q_learning,rational,J0,30,28,28,30,30,12,18
47,q_learning,rational,J0,30,28,28,30,32,17,15
48,q_learning,rational,J1,28,30,30,28,35,16,19
49,q_learning,rational,J1,15,30,30,15,27,10,17
50,q_learning,rational,J0,30,28,28,30,32,16,16
51,q_learning,rational,J0,30,29,29,30,32,17,15
52,q_learning,rational,J0,30,24,24,30,24,15,9
53,q_learning,rational,J1,25,30,30,25,31,15,16
54,q_learning,rational,J1,26,30,30,26,30,10,20
55,q_learning,rational,J1,19,30,30,19,26,10,16
56,q_learning,rational,J1,25,30,30,25,27,10,17
57,q_learning,rational,J1,11,30,30,11,19,5,14
58,q_learning,rational,J0,30,27,27,30,30,13,17
59,q_learning,rational,J1,21,30,30,21,26,11,15
60,q_learning,rational,J0,30,21,21,30,24,11,13
61,q_learning,rational,J1,12,30,30,12,21,9,12
62,q_learning,rational,J1,28,30,30,28,28,14,14
63,q_learning,rational,J1,23,30,30,23,33,15,18
64,q_learning,rational,J1,22,30,30,22,26,13,13
65,q_learning,rational,J1,22,30,30,22,23,8,15
66,q_learning,rational,J0,30,26,26,30,28,12,16
67,q_learning,rational,J1,24,30,30,24,30,14,16
68,q_learning,rational,J1,24,30,30,24,29,15,14
69,q_learning,rational,J1,22,30,30,22,27,10,17
70,q_learning,rational,J1,22,30,30,22,28,14,14
71,q_learning,rational,J1,29,30,30,29,32,12,20
72,q_learning,rational,J1,27,30,30,27,29,16,13
73,q_learning,rational,J1,19,30,30,19,24,9,15
74,q_learning,rational,J0,30,24,24,30,31,15,16
75,q_learning,rational,J0,30,29,29,30,33,16,17
76,q_learning,rational,J1,17,30,30,17,23,11,12
