game,agent_0,agent_1,envido_j0,truco_j0,cartas_j0,abandono_j0,envido_j1,truco_j1,cartas_j1,abandono_j1
1,q_learning,rational,11,2,3,7,13,6,11,0
2,q_learning,rational,7,4,2,6,8,4,16,2
3,q_learning,rational,11,6,2,6,8,9,10,3
4,q_learning,rational,5,2,6,5,10,1,15,4
5,q_learning,rational,12,4,7,7,8,6,13,0
6,q_learning,rational,10,7,8,5,6,2,3,3
7,q_learning,rational,11,6,8,4,9,10,9,2
8,q_learning,rational,3,8,5,1,6,6,12,6
9,q_learning,rational,9,4,4,1,8,7,14,1
10,q_learning,rational,13,6,5,5,8,11,11,0
11,q_learning,rational,11,4,7,6,8,10,12,0
12,q_learning,rational,13,2,6,5,14,8,6,2
13,q_learning,rational,13,10,2,5,5,10,7,1
14,q_learning,rational,12,2,5,6,8,8,14,0
15,q_learning,rational,12,6,5,7,8,4,12,3
16,q_learning,rational,22,2,4,2,10,6,8,0
17,q_learning,rational,10,4,8,2,7,8,13,2
18,q_learning,rational,7,4,4,3,11,6,12,1
19,q_learning,rational,11,8,9,2,5,8,6,0
20,q_learning,rational,4,4,4,5,14,4,11,1
21,q_learning,rational,12,6,3,5,7,12,7,4
22,q_learning,rational,13,10,4,3,7,2,15,0
23,q_learning,rational,15,2,5,7,4,8,15,3
24,q_learning,rational,7,0,13,6,14,6,9,1
25,q_learning,rational,21,2,2,5,7,4,9,2
26,q_learning,rational,7,6,2,4,9,8,13,0
27,q_learning,rational,11,2,4,7,6,10,14,0
28,q_learning,rational,11,4,4,3,9,8,11,2
29,q_learning,rational,8,12,5,5,4,4,16,1
30,q_learning,rational,11,10,7,2,9,2,11,1
31,q_learning,rational,10,8,9,3,8,6,8,0
32,q_learning,rational,5,6,6,2,9,2,17,2
33,q_learning,rational,5,4,7,2,10,8,12,0
34,q_learning,rational,10,4,6,3,11,8,11,0
35,q_learning,rational,12,2,11,5,7,8,6,2
36,q_learning,rational,9,4,6,5,9,10,9,2
37,q_learning,rational,11,10,3,6,4,8,8,0
38,q_learning,rational,10,7,6,7,7,6,5,1
39,q_learning,rational,9,6,3,6,12,6,12,0
40,q_learning,rational,4,6,2,0,18,6,6,0
41,q_learning,rational,4,0,4,2,11,2,12,5
42,q_learning,rational,29,0,1,0,0,0,1,0
43,q_learning,rational,13,2,7,5,9,6,14,1
44,q_learning,rational,8,6,3,4,17,2,10,1
45,q_learning,rational,10,10,6,4,7,12,8,0
46,q_learning,rational,11,8,7,4,5,2,13,1
47,q_learning,rational,12,6,6,5,12,9,9,0
48,q_learning,rational,13,4,8,5,8,8,9,2
49,q_learning,rational,4,6,5,2,9,6,14,1
50,q_learning,rational,6,4,2,5,11,2,14,3
51,q_learning,rational,12,4,3,11,6,5,3,3
52,q_learning,rational,9,6,5,3,19,4,7,0
53,q_learning,rational,14,8,2,6,11,4,12,1
54,q_learning,rational,9,4,5,2,8,8,11,3
55,q_learning,rational,11,6,8,5,9,8,7,0
56,q_learning,rational,4,2,7,2,15,2,12,1
57,q_learning,rational,27,0,3,0,1,0,4,0
58,q_learning,rational,4,2,5,2,12,6,11,1
59,q_learning,rational,9,6,5,7,8,14,4,4
60,q_learning,rational,7,2,5,1,9,2,15,4
61,q_learning,rational,12,4,12,2,10,5,9,4
62,q_learning,rational,27,0,3,0,0,0,8,2
63,q_learning,rational,8,0,6,1,10,8,12,0
64,q_learning,rational,15,0,9,6,8,5,7,2
65,q_learning,rational,13,2,9,6,9,4,9,2
66,q_learning,rational,10,4,10,6,8,8,13,0
67,q_learning,rational,11,6,4,3,10,8,11,1
68,q_learning,rational,22,2,2,4,3,2,11,1
69,q_learning,rational,11,2,5,5,8,12,9,1
70,q_learning,rational,12,6,2,4,9,6,12,3
71,q_learning,rational,12,6,5,4,8,6,14,2
72,q_learning,rational,8,6,2,6,14,4,12,0
73,q_learning,rational,8,8,3,3,10,2,12,6
74,q_learning,rational,6,8,10,2,13,8,9,0
75,q_learning,rational,16,4,6,4,5,4,15,3
76,q_learning,rational,9,6,6,5,4,6,15,5
77,q_learning,rational,8,4,2,1,3,7,20,0
78,q_learning,rational,11,8,4,7,10,2,12,1
79,q_learning,rational,5,6,9,5,10,6,11,3
80,q_learning,rational,8,12,6,4,3,8,6,1
81,q_learning,rational,7,2,4,3,13,9,8,0
82,q_learning,rational,10,6,4,3,8,6,13,3
83,q_learning,rational,10,0,6,9,12,4,14,0
84,q_learning,rational,8,8,5,4,8,12,8,2
85,q_learning,rational,14,0,3,2,4,8,15,3
86,q_learning,rational,7,4,10,5,13,4,10,3
87,q_learning,rational,13,4,6,7,6,4,9,0
88,q_learning,rational,7,6,11,2,13,2,11,4
89,q_learning,rational,6,2,5,4,12,2,16,0
90,q_learning,rational,13,6,6,5,3,4,13,3
91,q_learning,rational,14,10,4,2,12,8,9,0
92,q_learning,rational,3,8,2,3,17,7,5,1
93,q_learning,rational,6,6,5,3,4,15,11,0
94,q_learning,rational,13,4,8,3,7,10,10,3
95,q_learning,rational,12,5,6,7,10,6,7,1
96,q_learning,rational,7,4,5,5,9,10,10,1
97,q_learning,rational,11,10,6,3,9,4,12,1
98,q_learning,rational,11,11,5,3,6,8,8,4
99,q_learning,rational,12,7,8,3,9,4,12,1
100,q_learning,rational,8,4,8,5,10,4,14,2
