game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
1,1,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,1,0,,,,,,,,,7-0|1-1|2-3,12-0|4-0|2-0,13.0,11.333333333333334,25.0,9.0,5.666666666666667,16.0,5.666666666666667,0,RETRUCO,raise,J0,q_learning,0,0,0,4,0,4,4,J1,1
1,1,q_learning,sb3_league,truco,J0,0,q_learning,J1,sb3_league,RETRUCO,1,0,,,,,,,,,12-0|4-0|2-0,7-0|1-1|2-3,9.0,5.666666666666667,16.0,13.0,11.333333333333334,25.0,-5.666666666666667,1,QUIERO,accept,J1,sb3_league,0,0,0,4,0,4,0,J1,0
1,1,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,VALE_CUATRO,1,2,,,,,,,,,7-0|1-1|2-3,12-0|4-0|2-0,13.0,11.333333333333334,25.0,9.0,5.666666666666667,16.0,5.666666666666667,0,QUIERO,accept,J0,q_learning,0,0,0,4,0,4,4,J1,1
1,2,q_learning,sb3_league,envido,J1,1,sb3_league,J0,q_learning,ENVIDO,1,,0,0,0,20,24,-4,1,J1,6-1|11-2|10-2,5-0|4-1,,,,,,,,,NO_QUIERO,decline,J0,q_learning,0,4,0,5,0,1,1,,
1,2,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,1,0,,,,,,,,,6-1|11-2|10-2,5-0|4-1,6.0,4.666666666666667,11.0,2.0,1.5,3.0,3.166666666666667,0,RETRUCO,raise,J0,q_learning,0,5,0,9,0,4,4,J1,1
1,2,q_learning,sb3_league,truco,J0,0,q_learning,J1,sb3_league,RETRUCO,1,0,,,,,,,,,5-0|4-1,6-1|11-2|10-2,2.0,1.5,3.0,6.0,4.666666666666667,11.0,-3.166666666666667,1,QUIERO,accept,J1,sb3_league,0,5,0,9,0,4,0,J1,0
1,2,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,VALE_CUATRO,1,2,,,,,,,,,6-1|11-2|10-2,5-0|4-1,6.0,4.666666666666667,11.0,2.0,1.5,3.0,3.166666666666667,0,QUIERO,accept,J0,q_learning,0,5,0,9,0,4,4,J1,1
1,3,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,1,0,,,,,,,,,7-1|1-0|1-1,7-3|3-3|7-2,14.0,10.333333333333334,27.0,11.0,8.333333333333334,21.0,2.0,0,,,,,0,9,3,13,3,4,4,J0,1
1,3,q_learning,sb3_league,envido,J0,0,q_learning,J1,sb3_league,REAL_ENVIDO,1,,0,0,0,30,28,2,0,J0,7-3|3-3|7-2,7-1|1-0|1-1,,,,,,,,,QUIERO,accept,J1,sb3_league,0,9,3,9,3,0,3,,
1,3,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,1,0,,,,,,,,,7-1|1-0|1-1,7-3|3-3|7-2,14.0,10.333333333333334,27.0,11.0,8.333333333333334,21.0,2.0,0,RETRUCO,raise,J0,q_learning,3,9,3,13,0,4,4,J1,1
1,3,q_learning,sb3_league,truco,J0,0,q_learning,J1,sb3_league,RETRUCO,1,0,,,,,,,,,7-3|3-3|7-2,7-1|1-0|1-1,11.0,8.333333333333334,21.0,14.0,10.333333333333334,27.0,-2.0,1,QUIERO,accept,J1,sb3_league,3,9,3,13,0,4,0,J1,0
1,3,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,VALE_CUATRO,1,2,,,,,,,,,7-1|1-0|1-1,7-3|3-3|7-2,14.0,10.333333333333334,27.0,11.0,8.333333333333334,21.0,2.0,0,QUIERO,accept,J0,q_learning,3,9,3,13,0,4,4,J1,1
1,4,q_learning,sb3_league,envido,J0,0,q_learning,J1,sb3_league,ENVIDO,1,,0,0,0,27,7,20,0,J0,5-0|1-3|6-3,12-1|7-3|12-2,,,,,,,,,QUIERO,accept,J1,sb3_league,3,13,5,13,2,0,2,,
1,4,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,2,0,,,,,,,,,7-3|12-2,1-3|6-3,7.0,5.5,11.0,8.0,5.5,11.0,0.0,0,NO_QUIERO,decline,J0,q_learning,5,13,5,14,0,1,1,J1,1
1,5,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,1,0,,,,,,,,,6-1|1-1|12-1,1-3|1-2|10-1,13.0,7.666666666666667,20.0,8.0,7.0,16.0,0.666666666666667,0,,,,,5,14,5,20,0,6,6,J1,1
1,5,q_learning,sb3_league,envido,J0,0,q_learning,J1,sb3_league,ENVIDO,1,,0,0,0,1,27,-26,1,J1,1-3|1-2|10-1,6-1|1-1|12-1,,,,,,,,,QUIERO,accept,J1,sb3_league,5,14,5,16,0,2,0,,
1,5,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,1,0,,,,,,,,,6-1|1-1|12-1,1-3|1-2|10-1,13.0,7.666666666666667,20.0,8.0,7.0,16.0,0.666666666666667,0,RETRUCO,raise,J0,q_learning,5,16,5,20,0,4,4,J1,1
1,5,q_learning,sb3_league,truco,J0,0,q_learning,J1,sb3_league,RETRUCO,1,0,,,,,,,,,1-3|1-2|10-1,6-1|1-1|12-1,8.0,7.0,16.0,13.0,7.666666666666667,20.0,-0.666666666666667,1,QUIERO,accept,J1,sb3_league,5,16,5,20,0,4,0,J1,0
1,5,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,VALE_CUATRO,1,2,,,,,,,,,6-1|1-1|12-1,1-3|1-2|10-1,13.0,7.666666666666667,20.0,8.0,7.0,16.0,0.666666666666667,0,QUIERO,accept,J0,q_learning,5,16,5,20,0,4,4,J1,1
1,7,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,1,0,,,,,,,,,5-3|12-0|6-1,4-3|7-1|10-2,7.0,4.0,10.0,5.0,3.3333333333333335,9.0,0.6666666666666665,0,RETRUCO,raise,J0,q_learning,5,21,5,25,0,4,4,J1,1
1,7,q_learning,sb3_league,truco,J0,0,q_learning,J1,sb3_league,RETRUCO,1,0,,,,,,,,,4-3|7-1|10-2,5-3|12-0|6-1,5.0,3.3333333333333335,9.0,7.0,4.0,10.0,-0.6666666666666665,1,QUIERO,accept,J1,sb3_league,5,21,5,25,0,4,0,J1,0
1,7,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,VALE_CUATRO,1,2,,,,,,,,,5-3|12-0|6-1,4-3|7-1|10-2,7.0,4.0,10.0,5.0,3.3333333333333335,9.0,0.6666666666666665,0,QUIERO,accept,J0,q_learning,5,21,5,25,0,4,4,J1,1
1,8,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,1,0,,,,,,,,,12-0|12-2|2-2,11-2|4-3,9.0,7.666666666666667,16.0,6.0,3.5,7.0,4.166666666666667,0,,,,,5,25,5,30,0,5,5,J1,1
1,8,q_learning,sb3_league,envido,J0,0,q_learning,J1,sb3_league,ENVIDO,1,,0,0,0,4,22,-18,1,J1,11-2|4-3,12-0|12-2|2-2,,,,,,,,,QUIERO,accept,J1,sb3_league,5,25,5,27,0,2,0,,
1,8,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,TRUCO,1,0,,,,,,,,,12-0|12-2|2-2,11-2|4-3,9.0,7.666666666666667,16.0,6.0,3.5,7.0,4.166666666666667,0,RETRUCO,raise,J0,q_learning,5,27,5,30,0,3,3,J1,1
1,8,q_learning,sb3_league,truco,J0,0,q_learning,J1,sb3_league,RETRUCO,1,0,,,,,,,,,11-2|4-3,12-0|12-2|2-2,6.0,3.5,7.0,9.0,7.666666666666667,16.0,-4.166666666666667,1,VALE_CUATRO,raise,J1,sb3_league,5,27,5,30,0,3,0,J1,0
1,8,q_learning,sb3_league,truco,J1,1,sb3_league,J0,q_learning,VALE_CUATRO,1,1,,,,,,,,,12-0|12-2|2-2,11-2|4-3,9.0,7.666666666666667,16.0,6.0,3.5,7.0,4.166666666666667,0,QUIERO,accept,J0,q_learning,5,27,5,30,0,3,3,J1,1
