game,agent_0,agent_1,envido_j0,truco_j0,cartas_j0,abandono_j0,envido_j1,truco_j1,cartas_j1,abandono_j1
1,q_learning,sb3_league,13,4,0,6,10,14,5,1
2,q_learning,sb3_league,24,2,0,4,0,4,0,0
3,q_learning,sb3_league,2,8,0,2,10,16,1,3
4,q_learning,sb3_league,3,4,0,8,7,20,0,3
5,q_learning,sb3_league,2,4,0,0,5,22,0,3
6,q_learning,sb3_league,22,8,0,0,1,4,0,3
7,q_learning,sb3_league,6,10,0,0,12,16,0,2
8,q_learning,sb3_league,20,8,0,2,0,0,0,0
9,q_learning,sb3_league,9,6,0,10,10,16,2,2
10,q_learning,sb3_league,3,4,0,10,19,10,0,1
11,q_learning,sb3_league,6,6,0,0,3,24,1,2
12,q_learning,sb3_league,6,0,0,0,1,27,1,1
13,q_learning,sb3_league,5,0,1,6,25,5,0,0
14,q_learning,sb3_league,12,10,0,0,9,16,2,3
15,q_learning,sb3_league,18,12,0,0,5,4,0,1
16,q_learning,sb3_league,18,8,0,4,1,4,0,0
17,q_learning,sb3_league,22,8,0,0,1,4,1,0
18,q_learning,sb3_league,13,4,0,13,6,12,3,2
19,q_learning,sb3_league,5,10,0,4,26,4,0,0
20,q_learning,sb3_league,5,4,0,3,7,16,1,6
21,q_learning,sb3_league,13,14,1,0,7,20,1,2
22,q_learning,sb3_league,27,0,0,3,2,0,1,0
23,q_learning,sb3_league,26,4,0,0,0,0,0,1
24,q_learning,sb3_league,5,12,0,12,18,8,0,4
25,q_learning,sb3_league,9,8,0,0,6,16,1,7
26,q_learning,sb3_league,1,0,0,1,7,20,0,3
27,q_learning,sb3_league,2,12,0,4,24,6,0,0
28,q_learning,sb3_league,12,14,0,4,9,8,0,1
29,q_learning,sb3_league,10,13,0,0,10,12,1,7
30,q_learning,sb3_league,21,0,1,8,2,0,1,0
31,q_learning,sb3_league,13,10,0,2,4,18,2,6
32,q_learning,sb3_league,3,12,0,0,4,26,0,0
33,q_learning,sb3_league,20,6,0,4,2,8,0,0
34,q_learning,sb3_league,2,4,0,4,8,18,1,3
35,q_learning,sb3_league,23,0,0,7,1,4,0,0
