game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
1,1,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,21,6,15,1,J1,10-0|12-3|1-0,10-2|6-3|5-1,,,,,,,,,NO_QUIERO,decline,J0,q_learning,0,0,0,1,0,1,1,,
1,1,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,1,0,,,,,,,,,10-0|12-3|1-0,10-2|6-3|5-1,14.0,8.666666666666666,21.0,5.0,3.3333333333333335,8.0,5.333333333333332,0,NO_QUIERO,decline,J0,q_learning,0,1,0,2,0,1,1,J1,1
1,2,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,TRUCO,1,0,,,,,,,,,10-0|11-1|4-0,10-2|3-1|11-0,6.0,4.0,11.0,10.0,7.0,16.0,-3.0,1,,,,,0,2,2,3,2,1,2,J0,1
1,2,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,3,24,-21,1,J0,10-2|3-1|11-0,10-0|11-1|4-0,,,,,,,,,QUIERO,accept,J0,q_learning,0,2,2,2,2,0,0,,
1,2,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,1,0,,,,,,,,,10-2|3-1|11-0,10-0|4-0,10.0,7.0,16.0,5.0,3.0,6.0,4.0,0,NO_QUIERO,decline,J0,q_learning,2,2,2,3,0,1,1,J1,1
1,3,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,ENVIDO,1,,0,0,0,21,27,-6,1,J1,7-1|1-2|11-2,7-3|2-1,,,,,,,,,REAL_ENVIDO,raise,J1,sb3,2,3,2,5,0,2,0,,
1,3,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,REAL_ENVIDO,1,,1,2,0,27,21,6,0,J1,7-3|2-1,7-1|1-2|11-2,,,,,,,,,NO_QUIERO,decline,J0,q_learning,2,3,2,5,0,2,2,,
1,3,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,TRUCO,1,0,,,,,,,,,7-1|1-2|11-2,7-3|2-1,8.0,6.0,14.0,9.0,6.5,13.0,-0.5,1,RETRUCO,raise,J1,sb3,2,5,2,8,0,3,0,J1,0
1,3,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,RETRUCO,1,0,,,,,,,,,7-3|2-1,7-1|1-2|11-2,9.0,6.5,13.0,8.0,6.0,14.0,0.5,0,QUIERO,accept,J0,q_learning,2,5,2,8,0,3,3,J1,1
1,4,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,7,4,3,1,J1,1-1|7-0|10-2,4-2|11-0,,,,,,,,,NO_QUIERO,decline,J0,q_learning,2,8,2,9,0,1,1,,
1,4,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,1,0,,,,,,,,,1-1|7-0|10-2,4-2|11-0,13.0,10.0,25.0,6.0,3.5,7.0,6.5,0,NO_QUIERO,decline,J0,q_learning,2,9,2,10,0,1,1,J1,1
1,5,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,24,25,-1,1,J1,10-3|4-3|5-1,5-2|11-2|10-0,,,,,,,,,NO_QUIERO,decline,J0,q_learning,2,10,2,11,0,1,1,,
1,5,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,2,0,,,,,,,,,10-3|5-1,5-2,5.0,3.5,7.0,2.0,2.0,2.0,1.5,0,QUIERO,accept,J0,q_learning,2,11,4,11,2,0,0,J0,0
1,6,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,28,25,3,0,J1,5-0|11-1|3-0,12-1|2-0,,,,,,,,,NO_QUIERO,decline,J0,q_learning,4,11,4,12,0,1,1,,
1,6,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,1,0,,,,,,,,,5-0|11-1|3-0,12-1|2-0,10.0,6.0,16.0,9.0,8.0,16.0,-2.0,1,NO_QUIERO,decline,J0,q_learning,4,12,4,13,0,1,1,J1,1
1,7,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,2,6,-4,1,J0,11-3|2-1|2-2,6-0|4-3|5-1,,,,,,,,,QUIERO,accept,J0,q_learning,4,13,6,13,2,0,0,,
1,7,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,TRUCO,1,0,,,,,,,,,6-0|4-3|5-1,11-3|2-2,3.0,2.0,5.0,9.0,7.5,15.0,-5.5,1,NO_QUIERO,decline,J1,sb3,6,13,7,13,1,0,1,J0,1
1,8,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,ENVIDO,1,,0,0,0,25,23,2,0,J0,5-3|11-1|11-3,11-2|6-3|3-2,,,,,,,,,NO_QUIERO,decline,J1,sb3,7,13,8,13,1,0,1,,
1,9,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,26,26,0,0,J1,4-1|11-0|2-1,4-2|2-2|11-3,,,,,,,,,NO_QUIERO,decline,J0,q_learning,9,13,9,14,0,1,1,,
1,9,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,TRUCO,1,0,,,,,,,,,4-2|2-2|11-3,4-1|2-1,9.0,5.333333333333333,15.0,9.0,5.0,10.0,0.33333333333333304,0,RETRUCO,raise,J1,sb3,9,14,12,14,3,0,3,J0,1
1,9,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,RETRUCO,1,0,,,,,,,,,4-1|2-1,4-2|2-2|11-3,9.0,5.0,10.0,9.0,5.333333333333333,15.0,-0.33333333333333304,1,VALE_CUATRO,raise,J0,q_learning,9,14,12,14,3,0,0,J0,0
1,9,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,VALE_CUATRO,1,1,,,,,,,,,4-2|2-2|11-3,4-1|2-1,9.0,5.333333333333333,15.0,9.0,5.0,10.0,0.33333333333333304,0,NO_QUIERO,decline,J1,sb3,9,14,12,14,3,0,3,J0,1
1,10,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,ENVIDO,1,,0,0,0,25,25,0,0,J0,5-1|2-0|10-1,3-2|2-2|1-1,,,,,,,,,NO_QUIERO,decline,J1,sb3,12,14,13,14,1,0,1,,
1,10,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,1,0,,,,,,,,,3-2|2-2|1-1,2-0|10-1,13.0,10.666666666666666,23.0,9.0,7.0,14.0,3.666666666666666,0,NO_QUIERO,decline,J0,q_learning,13,14,13,15,0,1,1,J1,1
1,11,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,27,22,5,0,J1,12-3|10-1|7-3,2-0|12-0|2-3,,,,,,,,,NO_QUIERO,decline,J0,q_learning,13,15,13,16,0,1,1,,
1,11,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,TRUCO,2,0,,,,,,,,,2-0|2-3,12-3|7-3,9.0,9.0,18.0,7.0,5.5,11.0,3.5,0,RETRUCO,raise,J1,sb3,13,16,16,16,3,0,3,J0,1
1,11,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,RETRUCO,2,0,,,,,,,,,12-3|7-3,2-0|2-3,7.0,5.5,11.0,9.0,9.0,18.0,-3.5,1,VALE_CUATRO,raise,J0,q_learning,13,16,16,16,3,0,0,J0,0
1,11,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,VALE_CUATRO,2,1,,,,,,,,,2-0|2-3,12-3|7-3,9.0,9.0,18.0,7.0,5.5,11.0,3.5,0,NO_QUIERO,decline,J1,sb3,13,16,16,16,3,0,3,J0,1
1,12,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,ENVIDO,1,,0,0,0,29,21,8,0,J0,11-1|4-0|5-0,7-0|10-3|1-3,,,,,,,,,NO_QUIERO,decline,J1,sb3,16,16,17,16,1,0,1,,
1,13,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,28,6,22,0,J1,5-0|3-0|4-3,4-2|4-0|6-1,,,,,,,,,QUIERO,accept,J0,q_learning,17,17,17,19,0,2,2,,
1,13,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,2,0,,,,,,,,,5-0|4-3,4-2|4-0,2.0,1.5,3.0,1.0,1.0,2.0,0.5,0,NO_QUIERO,decline,J0,q_learning,17,19,17,20,0,1,1,J1,1
1,14,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,ENVIDO,1,,0,0,0,30,25,5,0,J0,4-1|1-2|6-1,5-0|11-0|2-2,,,,,,,,,ENVIDO_ENVIDO,raise,J1,sb3,17,20,21,20,4,0,4,,
1,14,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO_ENVIDO,1,,1,2,0,25,30,-5,0,J0,5-0|11-0|2-2,4-1|1-2|6-1,,,,,,,,,FALTA_ENVIDO,raise,J0,q_learning,17,20,21,20,4,0,0,,
1,14,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,FALTA_ENVIDO,1,,2,4,2,30,25,5,0,J0,4-1|1-2|6-1,5-0|11-0|2-2,,,,,,,,,NO_QUIERO,decline,J1,sb3,17,20,21,20,4,0,4,,
1,14,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,2,0,,,,,,,,,5-0|2-2,6-1,9.0,5.5,11.0,3.0,3.0,3.0,2.5,0,QUIERO,accept,J0,q_learning,21,20,21,22,0,2,2,J1,1
1,15,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,31,27,4,0,J1,7-2|4-1|4-2,7-1|12-1|5-2,,,,,,,,,NO_QUIERO,decline,J0,q_learning,21,22,21,23,0,1,1,,
1,16,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,ENVIDO,1,,0,0,0,7,29,-22,1,J0,4-3|10-2|7-1,4-1|5-1|10-1,,,,,,,,,NO_QUIERO,decline,J1,sb3,22,23,23,23,1,0,1,,
1,17,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,30,23,7,0,J1,10-3|3-0|7-0,2-1|1-3|2-3,,,,,,,,,NO_QUIERO,decline,J0,q_learning,23,24,23,25,0,1,1,,
1,17,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,2,0,,,,,,,,,10-3|3-0,2-1|1-3,10.0,7.5,15.0,9.0,8.5,17.0,-1.0,1,QUIERO,accept,J0,q_learning,23,25,23,27,0,2,2,J1,1
1,18,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,ENVIDO,1,,0,0,0,21,24,-3,1,J0,11-3|1-3|2-0,5-1|12-0|4-0,,,,,,,,,NO_QUIERO,decline,J1,sb3,23,27,24,27,1,0,1,,
1,18,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,TRUCO,2,0,,,,,,,,,11-3|2-0,5-1|12-0,9.0,7.5,15.0,7.0,4.5,9.0,3.0,0,RETRUCO,raise,J1,sb3,24,27,27,27,3,0,3,J0,1
1,18,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,RETRUCO,2,0,,,,,,,,,5-1|12-0,11-3|2-0,7.0,4.5,9.0,9.0,7.5,15.0,-3.0,1,QUIERO,accept,J0,q_learning,24,27,27,27,3,0,0,J0,0
1,18,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,VALE_CUATRO,2,2,,,,,,,,,11-3|2-0,5-1|12-0,9.0,7.5,15.0,7.0,4.5,9.0,3.0,0,NO_QUIERO,decline,J1,sb3,24,27,27,27,3,0,3,J0,1
1,19,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,28,23,5,0,J0,2-0|6-0|7-1,6-1|3-0|12-0,,,,,,,,,ENVIDO_ENVIDO,raise,J0,q_learning,27,27,29,27,2,0,0,,
1,19,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,ENVIDO_ENVIDO,1,,1,2,0,23,28,-5,1,J0,6-1|3-0|12-0,2-0|6-0|7-1,,,,,,,,,NO_QUIERO,decline,J1,sb3,27,27,29,27,2,0,2,,
1,19,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,TRUCO,2,0,,,,,,,,,3-0|12-0,7-1,10.0,8.5,17.0,4.0,4.0,4.0,4.5,0,RETRUCO,raise,J1,sb3,29,27,30,27,1,0,1,J0,1
1,19,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,RETRUCO,2,0,,,,,,,,,7-1,3-0|12-0,4.0,4.0,4.0,10.0,8.5,17.0,-4.5,1,QUIERO,accept,J0,q_learning,29,27,30,27,1,0,0,J0,0
1,19,q_learning,sb3,truco,J0,0,q_learning,J1,sb3,VALE_CUATRO,2,2,,,,,,,,,3-0|12-0,7-1,10.0,8.5,17.0,4.0,4.0,4.0,4.5,0,QUIERO,accept,J1,sb3,29,27,30,27,1,0,1,J0,1
2,1,q_learning,sb3,envido,J0,0,q_learning,J1,sb3,ENVIDO,1,,0,0,0,27,5,22,0,J0,7-3|7-1|10-3,5-0|5-1|1-2,,,,,,,,,ENVIDO_ENVIDO,raise,J1,sb3,0,0,4,0,4,0,4,,
2,1,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO_ENVIDO,1,,1,2,0,5,27,-22,1,J0,5-0|5-1|1-2,7-3|7-1|10-3,,,,,,,,,QUIERO,accept,J0,q_learning,0,0,4,0,4,0,0,,
2,1,q_learning,sb3,truco,J1,1,sb3,J0,q_learning,TRUCO,1,0,,,,,,,,,5-0|5-1|1-2,7-1|10-3,8.0,4.0,10.0,5.0,4.5,9.0,-0.5,1,NO_QUIERO,decline,J0,q_learning,4,0,4,1,0,1,1,J1,1
2,2,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,27,22,5,0,J1,6-0|1-0|3-2,4-3|12-1|2-1,,,,,,,,,NO_QUIERO,decline,J0,q_learning,4,1,4,2,0,1,1,,
2,3,q_learning,sb3,envido,J1,1,sb3,J0,q_learning,ENVIDO,1,,0,0,0,31,20,11,0,J1,4-3|7-3|4-2,10-1|3-0,,,,,,,,,NO_QUIERO,decline,J0,q_learning,4,3,4,4,0,1,1,,
