game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,q_learning,sb3,J0,30,26,26,30,18,10,8
2,q_learning,sb3,J0,30,26,26,30,19,10,9
3,q_learning,sb3,J1,29,30,30,29,19,10,9
4,q_learning,sb3,J1,16,30,30,16,18,9,9
5,q_learning,sb3,J1,21,30,30,21,17,10,7
6,q_learning,sb3,J1,22,30,30,22,17,8,9
7,q_learning,sb3,J0,30,26,26,30,17,9,8
8,q_learning,sb3,J1,15,30,30,15,15,5,10
9,q_learning,sb3,J0,30,28,28,30,20,9,11
10,q_learning,sb3,J1,29,30,30,29,22,13,9
11,q_learning,sb3,J0,30,21,21,30,18,14,4
12,q_learning,sb3,J1,26,30,30,26,20,12,8
13,q_learning,sb3,J1,9,30,30,9,13,5,8
14,q_learning,sb3,J1,20,30,30,20,18,12,6
15,q_learning,sb3,J1,22,30,30,22,15,8,7
16,q_learning,sb3,J0,30,28,28,30,21,11,10
17,q_learning,sb3,J0,30,28,28,30,22,13,9
18,q_learning,sb3,J1,17,30,30,17,19,9,10
19,q_learning,sb3,J1,25,30,30,25,18,10,8
20,q_learning,sb3,J0,30,16,16,30,17,11,6
21,q_learning,sb3,J0,30,26,26,30,18,13,5
22,q_learning,sb3,J0,30,26,26,30,19,11,8
23,q_learning,sb3,J0,30,26,26,30,22,13,9
24,q_learning,sb3,J1,12,30,30,12,13,4,9
25,q_learning,sb3,J0,30,27,27,30,22,15,7
26,q_learning,sb3,J0,30,27,27,30,22,13,9
27,q_learning,sb3,J0,30,27,27,30,22,15,7
28,q_learning,sb3,J1,20,30,30,20,17,9,8
29,q_learning,sb3,J0,30,22,22,30,17,10,7
30,q_learning,sb3,J0,30,27,27,30,20,13,7
31,q_learning,sb3,J1,18,30,30,18,15,9,6
32,q_learning,sb3,J0,30,21,21,30,18,12,6
33,q_learning,sb3,J1,12,30,30,12,14,5,9
34,q_learning,sb3,J1,20,30,30,20,18,11,7
35,q_learning,sb3,J1,23,30,30,23,19,10,9
36,q_learning,sb3,J1,15,30,30,15,16,8,8
37,q_learning,sb3,J0,30,22,22,30,19,14,5
38,q_learning,sb3,J1,28,30,30,28,18,11,7
39,q_learning,sb3,J0,30,27,27,30,22,11,11
40,q_learning,sb3,J1,18,30,30,18,16,8,8
41,q_learning,sb3,J0,30,24,24,30,21,16,5
42,q_learning,sb3,J0,30,18,18,30,17,10,7
43,q_learning,sb3,J1,26,30,30,26,17,8,9
44,q_learning,sb3,J1,14,30,30,14,14,5,9
45,q_learning,sb3,J1,26,30,30,26,18,7,11
46,q_learning,sb3,J0,30,26,26,30,19,8,11
47,q_learning,sb3,J1,21,30,30,21,18,10,8
48,q_learning,sb3,J1,23,30,30,23,16,8,8
49,q_learning,sb3,J0,30,23,23,30,19,11,8
50,q_learning,sb3,J1,27,30,30,27,21,13,8
51,q_learning,sb3,J0,30,27,27,30,21,11,10
52,q_learning,sb3,J0,30,26,26,30,19,12,7
53,q_learning,sb3,J1,22,30,30,22,19,6,13
54,q_learning,sb3,J1,22,30,30,22,17,10,7
55,q_learning,sb3,J1,16,30,30,16,17,11,6
56,q_learning,sb3,J1,19,30,30,19,17,8,9
57,q_learning,sb3,J0,30,27,27,30,21,10,11
58,q_learning,sb3,J1,14,30,30,14,15,6,9
59,q_learning,sb3,J1,19,30,30,19,14,7,7
60,q_learning,sb3,J0,30,27,27,30,20,10,10
61,q_learning,sb3,J0,30,29,29,30,22,12,10
62,q_learning,sb3,J0,30,25,25,30,19,12,7
63,q_learning,sb3,J1,17,30,30,17,17,8,9
64,q_learning,sb3,J1,29,30,30,29,19,11,8
65,q_learning,sb3,J0,30,26,26,30,22,16,6
66,q_learning,sb3,J0,30,25,25,30,22,15,7
67,q_learning,sb3,J0,30,26,26,30,19,8,11
68,q_learning,sb3,J0,30,26,26,30,19,8,11
