game,agent_0,agent_1,envido_j0,truco_j0,cartas_j0,abandono_j0,envido_j1,truco_j1,cartas_j1,abandono_j1
1,q_learning,sb3,15,10,1,4,10,6,5,7
2,q_learning,sb3,3,6,2,0,13,9,0,8
3,q_learning,sb3,9,14,3,4,12,7,2,5
4,q_learning,sb3,12,6,5,7,16,2,3,8
5,q_learning,sb3,9,11,3,7,9,0,1,1
6,q_learning,sb3,13,6,1,7,14,3,5,8
7,q_learning,sb3,5,14,5,6,18,0,3,5
8,q_learning,sb3,7,8,2,10,13,10,1,6
9,q_learning,sb3,14,3,2,11,11,7,4,5
10,q_learning,sb3,7,14,3,0,14,6,0,10
11,q_learning,sb3,12,6,4,3,12,10,3,5
12,q_learning,sb3,10,6,5,6,13,10,2,5
13,q_learning,sb3,9,4,3,3,16,4,2,8
14,q_learning,sb3,11,4,2,9,12,6,2,10
15,q_learning,sb3,11,11,1,4,12,4,2,12
16,q_learning,sb3,8,8,2,4,13,10,2,5
17,q_learning,sb3,5,8,0,0,11,9,4,6
18,q_learning,sb3,2,3,2,1,15,10,1,4
19,q_learning,sb3,14,5,2,4,12,9,1,8
20,q_learning,sb3,4,18,3,5,16,0,3,7
21,q_learning,sb3,8,2,3,17,13,10,0,4
22,q_learning,sb3,5,15,1,9,11,9,1,3
23,q_learning,sb3,12,6,2,10,16,2,2,9
24,q_learning,sb3,9,15,0,1,15,2,4,9
25,q_learning,sb3,13,10,5,2,10,0,5,1
26,q_learning,sb3,16,7,0,7,8,4,1,6
27,q_learning,sb3,10,18,0,2,10,2,4,4
28,q_learning,sb3,15,4,1,10,9,4,4,6
29,q_learning,sb3,8,6,2,0,11,10,0,9
30,q_learning,sb3,13,0,1,11,10,8,0,12
31,q_learning,sb3,7,12,4,7,17,0,1,7
32,q_learning,sb3,15,6,3,6,13,6,2,5
33,q_learning,sb3,12,10,1,7,11,4,3,6
34,q_learning,sb3,8,14,2,5,15,4,4,7
35,q_learning,sb3,6,14,2,8,17,0,4,4
36,q_learning,sb3,8,12,3,7,12,8,3,4
37,q_learning,sb3,9,8,0,11,13,2,2,13
38,q_learning,sb3,16,6,4,4,12,4,7,5
39,q_learning,sb3,13,8,5,4,13,0,1,14
40,q_learning,sb3,14,10,1,5,10,3,1,6
41,q_learning,sb3,17,7,0,6,9,2,3,12
42,q_learning,sb3,13,8,3,6,10,0,3,7
43,q_learning,sb3,6,14,2,8,14,2,1,9
44,q_learning,sb3,7,13,1,9,17,2,5,2
45,q_learning,sb3,9,10,3,8,10,6,0,6
46,q_learning,sb3,6,14,1,9,14,0,3,10
47,q_learning,sb3,16,11,0,3,12,6,4,6
48,q_learning,sb3,11,7,2,10,11,5,3,4
49,q_learning,sb3,6,19,1,4,16,2,3,5
50,q_learning,sb3,7,10,2,5,14,8,1,7
51,q_learning,sb3,6,2,1,7,14,8,1,7
52,q_learning,sb3,14,8,5,3,15,2,4,5
53,q_learning,sb3,9,14,2,5,13,4,0,10
54,q_learning,sb3,7,2,1,4,12,6,3,9
55,q_learning,sb3,6,16,3,5,14,0,1,7
56,q_learning,sb3,5,4,1,10,12,9,0,9
57,q_learning,sb3,7,16,3,4,15,0,3,4
58,q_learning,sb3,10,14,2,4,9,4,1,4
59,q_learning,sb3,14,5,2,6,7,11,1,11
60,q_learning,sb3,10,7,0,6,11,7,4,8
61,q_learning,sb3,12,6,2,10,10,11,2,2
62,q_learning,sb3,7,6,2,13,15,4,3,8
63,q_learning,sb3,13,3,3,2,10,10,2,8
64,q_learning,sb3,13,8,3,6,8,6,1,6
65,q_learning,sb3,12,12,0,6,13,3,2,9
66,q_learning,sb3,9,8,1,9,13,4,0,13
67,q_learning,sb3,5,13,3,7,16,7,6,1
68,q_learning,sb3,10,8,3,9,12,2,1,7
69,q_learning,sb3,10,6,2,6,16,2,3,9
70,q_learning,sb3,5,4,1,0,14,6,4,6
71,q_learning,sb3,6,12,2,9,18,0,2,10
72,q_learning,sb3,5,6,2,17,16,2,3,5
73,q_learning,sb3,3,17,1,1,15,6,2,7
74,q_learning,sb3,9,5,1,4,11,8,4,7
75,q_learning,sb3,5,14,2,3,16,5,2,7
76,q_learning,sb3,10,13,2,3,16,3,3,8
77,q_learning,sb3,6,19,5,0,15,2,2,7
78,q_learning,sb3,5,6,3,4,14,8,5,3
79,q_learning,sb3,10,13,2,5,13,4,2,7
80,q_learning,sb3,5,6,1,2,13,4,3,10
81,q_learning,sb3,16,0,2,12,7,0,2,2
82,q_learning,sb3,13,6,2,9,13,2,1,10
83,q_learning,sb3,14,14,2,0,11,0,5,4
84,q_learning,sb3,8,17,1,4,13,4,2,8
85,q_learning,sb3,8,16,2,4,14,0,3,4
86,q_learning,sb3,10,5,2,10,14,4,5,7
87,q_learning,sb3,9,11,1,9,12,2,1,3
88,q_learning,sb3,7,17,2,4,13,4,2,5
89,q_learning,sb3,10,12,3,5,12,11,1,4
90,q_learning,sb3,10,13,0,7,14,4,2,8
91,q_learning,sb3,19,4,2,3,13,3,5,9
92,q_learning,sb3,8,10,3,9,13,0,2,10
93,q_learning,sb3,6,7,2,1,13,9,4,4
94,q_learning,sb3,14,7,5,4,15,0,2,10
95,q_learning,sb3,6,7,4,4,14,6,1,9
96,q_learning,sb3,9,6,1,5,11,12,0,7
97,q_learning,sb3,10,12,3,5,12,2,0,12
98,q_learning,sb3,14,4,6,3,13,6,4,7
99,q_learning,sb3,11,16,0,3,13,7,2,6
100,q_learning,sb3,12,6,1,11,12,2,0,10
