game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
1,1,random,q_learning,truco,J1,1,q_learning,J0,random,TRUCO,1,0,,,,,,,,,7-0|1-1|2-3,12-0|4-0|2-0,13.0,11.333333333333334,25.0,9.0,5.666666666666667,16.0,5.666666666666667,0,,,,,0,0,0,7,0,7,7,J1,1
1,1,random,q_learning,envido,J0,0,random,J1,q_learning,REAL_ENVIDO,1,,0,0,0,26,7,19,0,J1,12-0|4-0|2-0,7-0|1-1|2-3,,,,,,,,,FALTA_ENVIDO,raise,J1,q_learning,0,0,0,3,0,3,0,,
1,1,random,q_learning,envido,J1,1,q_learning,J0,random,FALTA_ENVIDO,1,,3,3,0,7,26,-19,1,J1,7-0|1-1|2-3,12-0|4-0|2-0,,,,,,,,,NO_QUIERO,decline,J0,random,0,0,0,3,0,3,3,,
1,1,random,q_learning,truco,J1,1,q_learning,J0,random,TRUCO,1,0,,,,,,,,,7-0|1-1|2-3,12-0|4-0|2-0,13.0,11.333333333333334,25.0,9.0,5.666666666666667,16.0,5.666666666666667,0,QUIERO,accept,J0,random,0,3,0,7,0,4,4,J1,1
1,1,random,q_learning,truco,J0,0,random,J1,q_learning,RETRUCO,1,1,,,,,,,,,12-0|4-0|2-0,7-0|1-1,9.0,5.666666666666667,16.0,13.0,12.5,25.0,-6.833333333333333,1,VALE_CUATRO,raise,J1,q_learning,0,3,0,7,0,4,0,J1,0
1,1,random,q_learning,truco,J1,1,q_learning,J0,random,VALE_CUATRO,1,1,,,,,,,,,7-0|1-1,12-0|4-0|2-0,13.0,12.5,25.0,9.0,5.666666666666667,16.0,6.833333333333333,0,QUIERO,accept,J0,random,0,3,0,7,0,4,4,J1,1
1,2,random,q_learning,envido,J1,1,q_learning,J0,random,ENVIDO,1,,0,0,0,20,24,-4,1,J1,6-1|11-2|10-2,12-1|4-1,,,,,,,,,ENVIDO_ENVIDO,raise,J0,random,0,7,0,11,0,4,4,,
1,2,random,q_learning,envido,J0,0,random,J1,q_learning,ENVIDO_ENVIDO,1,,1,2,0,24,20,4,1,J1,12-1|4-1,6-1|11-2|10-2,,,,,,,,,REAL_ENVIDO,raise,J1,q_learning,0,7,0,11,0,4,0,,
1,2,random,q_learning,envido,J1,1,q_learning,J0,random,REAL_ENVIDO,1,,2,4,2,20,24,-4,1,J1,6-1|11-2|10-2,12-1|4-1,,,,,,,,,NO_QUIERO,decline,J0,random,0,7,0,11,0,4,4,,
1,2,random,q_learning,truco,J1,1,q_learning,J0,random,TRUCO,2,0,,,,,,,,,11-2|10-2,12-1|4-1,6.0,5.5,11.0,7.0,4.0,8.0,1.5,0,RETRUCO,raise,J0,random,0,11,0,14,0,3,3,J1,1
1,2,random,q_learning,truco,J0,0,random,J1,q_learning,RETRUCO,2,0,,,,,,,,,12-1|4-1,11-2|10-2,7.0,4.0,8.0,6.0,5.5,11.0,-1.5,1,VALE_CUATRO,raise,J1,q_learning,0,11,0,14,0,3,0,J1,0
1,2,random,q_learning,truco,J1,1,q_learning,J0,random,VALE_CUATRO,2,1,,,,,,,,,11-2|10-2,12-1|4-1,6.0,5.5,11.0,7.0,4.0,8.0,1.5,0,NO_QUIERO,decline,J0,random,0,11,0,14,0,3,3,J1,1
1,3,random,q_learning,envido,J1,1,q_learning,J0,random,ENVIDO,1,,0,0,0,28,30,-2,0,J0,7-1|1-0|1-1,7-3|3-3|7-2,,,,,,,,,ENVIDO_ENVIDO,raise,J0,random,0,14,7,14,7,0,0,,
1,3,random,q_learning,envido,J0,0,random,J1,q_learning,ENVIDO_ENVIDO,1,,1,2,0,30,28,2,0,J0,7-3|3-3|7-2,7-1|1-0|1-1,,,,,,,,,REAL_ENVIDO,raise,J1,q_learning,0,14,7,14,7,0,7,,
1,3,random,q_learning,envido,J1,1,q_learning,J0,random,REAL_ENVIDO,1,,2,4,2,28,30,-2,0,J0,7-1|1-0|1-1,7-3|3-3|7-2,,,,,,,,,QUIERO,accept,J0,random,0,14,7,14,7,0,0,,
1,3,random,q_learning,truco,J0,0,random,J1,q_learning,TRUCO,1,0,,,,,,,,,7-3|3-3|7-2,1-0|1-1,11.0,8.333333333333334,21.0,14.0,13.5,27.0,-5.166666666666666,1,RETRUCO,raise,J1,q_learning,7,14,7,18,0,4,0,J1,0
1,3,random,q_learning,truco,J1,1,q_learning,J0,random,RETRUCO,1,0,,,,,,,,,1-0|1-1,7-3|3-3|7-2,14.0,13.5,27.0,11.0,8.333333333333334,21.0,5.166666666666666,0,QUIERO,accept,J0,random,7,14,7,18,0,4,4,J1,1
1,3,random,q_learning,truco,J0,0,random,J1,q_learning,VALE_CUATRO,2,2,,,,,,,,,7-3|3-3,1-0|1-1,10.0,7.0,14.0,14.0,13.5,27.0,-6.5,1,QUIERO,accept,J1,q_learning,7,14,7,18,0,4,0,J1,0
1,4,random,q_learning,envido,J0,0,random,J1,q_learning,FALTA_ENVIDO,1,,0,0,0,27,7,20,0,J0,5-0|1-3|6-3,12-1|7-3|12-2,,,,,,,,,QUIERO,accept,J1,q_learning,7,18,19,18,12,0,12,,
1,5,random,q_learning,truco,J0,0,random,J1,q_learning,TRUCO,1,0,,,,,,,,,1-3|1-2|10-1,1-1|12-1,8.0,7.0,16.0,13.0,10.0,20.0,-3.0,1,,,,,19,19,19,24,0,5,0,J1,0
1,5,random,q_learning,envido,J1,1,q_learning,J0,random,ENVIDO,1,,0,0,0,27,1,26,0,J1,1-1|12-1,1-3|1-2|10-1,,,,,,,,,ENVIDO_ENVIDO,raise,J0,random,19,19,19,23,0,4,4,,
1,5,random,q_learning,envido,J0,0,random,J1,q_learning,ENVIDO_ENVIDO,1,,1,2,0,1,27,-26,1,J1,1-3|1-2|10-1,1-1|12-1,,,,,,,,,REAL_ENVIDO,raise,J1,q_learning,19,19,19,23,0,4,0,,
1,5,random,q_learning,envido,J1,1,q_learning,J0,random,REAL_ENVIDO,1,,2,4,2,27,1,26,0,J1,1-1|12-1,1-3|1-2|10-1,,,,,,,,,NO_QUIERO,decline,J0,random,19,19,19,23,0,4,4,,
1,7,random,q_learning,envido,J1,1,q_learning,J0,random,REAL_ENVIDO,1,,0,0,0,6,7,-1,1,J1,5-3|12-0|6-1,4-3|7-1|10-2,,,,,,,,,NO_QUIERO,decline,J0,random,19,26,19,27,0,1,1,,
1,7,random,q_learning,truco,J1,1,q_learning,J0,random,TRUCO,1,0,,,,,,,,,5-3|12-0|6-1,4-3|7-1|10-2,7.0,4.0,10.0,5.0,3.3333333333333335,9.0,0.6666666666666665,0,NO_QUIERO,decline,J0,random,19,27,19,28,0,1,1,J1,1
1,8,random,q_learning,truco,J0,0,random,J1,q_learning,TRUCO,1,0,,,,,,,,,11-2|4-3|2-1,12-0|12-2|2-2,9.0,5.333333333333333,15.0,9.0,7.666666666666667,16.0,-2.333333333333334,1,RETRUCO,raise,J1,q_learning,19,28,19,30,0,2,0,J1,0
1,8,random,q_learning,truco,J1,1,q_learning,J0,random,RETRUCO,1,0,,,,,,,,,12-0|12-2|2-2,11-2|4-3|2-1,9.0,7.666666666666667,16.0,9.0,5.333333333333333,15.0,2.333333333333334,0,NO_QUIERO,decline,J0,random,19,28,19,30,0,2,2,J1,1
2,1,random,q_learning,truco,J1,1,q_learning,J0,random,TRUCO,2,0,,,,,,,,,2-2|11-3,6-0|6-2,9.0,7.5,15.0,3.0,3.0,6.0,4.5,0,NO_QUIERO,decline,J0,random,0,0,0,1,0,1,1,J1,1
2,2,random,q_learning,envido,J0,0,random,J1,q_learning,ENVIDO,1,,0,0,0,5,7,-2,1,J0,5-1|3-2|4-3,7-3|1-0|10-2,,,,,,,,,NO_QUIERO,decline,J1,q_learning,0,1,1,1,1,0,1,,
2,2,random,q_learning,truco,J0,0,random,J1,q_learning,TRUCO,1,0,,,,,,,,,5-1|3-2|4-3,7-3|1-0|10-2,10.0,4.333333333333333,12.0,14.0,7.666666666666667,19.0,-3.333333333333334,1,RETRUCO,raise,J1,q_learning,1,1,1,5,0,4,0,J1,0
2,2,random,q_learning,truco,J1,1,q_learning,J0,random,RETRUCO,1,0,,,,,,,,,7-3|1-0|10-2,5-1|3-2|4-3,14.0,7.666666666666667,19.0,10.0,4.333333333333333,12.0,3.333333333333334,0,VALE_CUATRO,raise,J0,random,1,1,1,5,0,4,4,J1,1
2,2,random,q_learning,truco,J0,0,random,J1,q_learning,VALE_CUATRO,1,1,,,,,,,,,5-1|3-2|4-3,7-3|1-0|10-2,10.0,4.333333333333333,12.0,14.0,7.666666666666667,19.0,-3.333333333333334,1,QUIERO,accept,J1,q_learning,1,1,1,5,0,4,0,J1,0
2,4,random,q_learning,envido,J1,1,q_learning,J0,random,ENVIDO,1,,0,0,0,26,25,1,0,J1,1-1|5-1|7-2,7-3|3-2,,,,,,,,,QUIERO,accept,J0,random,1,6,1,8,0,2,2,,
2,4,random,q_learning,truco,J1,1,q_learning,J0,random,TRUCO,1,0,,,,,,,,,1-1|5-1|7-2,7-3|3-2,13.0,8.666666666666666,24.0,10.0,7.0,14.0,1.666666666666666,0,RETRUCO,raise,J0,random,1,8,1,11,0,3,3,J1,1
2,4,random,q_learning,truco,J0,0,random,J1,q_learning,RETRUCO,1,0,,,,,,,,,7-3|3-2,1-1|5-1|7-2,10.0,7.0,14.0,13.0,8.666666666666666,24.0,-1.666666666666666,1,VALE_CUATRO,raise,J1,q_learning,1,8,1,11,0,3,0,J1,0
2,4,random,q_learning,truco,J1,1,q_learning,J0,random,VALE_CUATRO,1,1,,,,,,,,,1-1|5-1|7-2,7-3|3-2,13.0,8.666666666666666,24.0,10.0,7.0,14.0,1.666666666666666,0,NO_QUIERO,decline,J0,random,1,8,1,11,0,3,3,J1,1
2,5,random,q_learning,truco,J1,1,q_learning,J0,random,TRUCO,1,0,,,,,,,,,11-0|3-3|1-1,4-1|7-2|5-1,13.0,9.666666666666666,23.0,11.0,4.666666666666667,13.0,4.999999999999999,0,,,,,1,11,2,13,1,2,2,J0,1
2,5,random,q_learning,envido,J0,0,random,J1,q_learning,FALTA_ENVIDO,1,,0,0,0,29,3,26,0,J0,4-1|7-2|5-1,11-0|3-3|1-1,,,,,,,,,NO_QUIERO,decline,J1,q_learning,1,11,2,11,1,0,1,,
2,5,random,q_learning,truco,J0,0,random,J1,q_learning,TRUCO,1,0,,,,,,,,,4-1|7-2|5-1,11-0|3-3,11.0,4.666666666666667,13.0,10.0,8.0,16.0,-3.333333333333333,1,RETRUCO,raise,J1,q_learning,2,11,2,13,0,2,0,J1,0
2,5,random,q_learning,truco,J1,1,q_learning,J0,random,RETRUCO,1,0,,,,,,,,,11-0|3-3,4-1|7-2|5-1,10.0,8.0,16.0,11.0,4.666666666666667,13.0,3.333333333333333,0,NO_QUIERO,decline,J0,random,2,11,2,13,0,2,2,J1,1
2,7,random,q_learning,envido,J0,0,random,J1,q_learning,FALTA_ENVIDO,1,,0,0,0,4,21,-17,1,J1,10-1|3-2|4-0,1-1|5-2,,,,,,,,,QUIERO,accept,J1,q_learning,2,15,2,30,0,15,0,,
3,1,random,q_learning,truco,J0,0,random,J1,q_learning,TRUCO,1,0,,,,,,,,,7-3|7-0|3-3,5-2|1-1|1-3,12.0,8.666666666666666,22.0,13.0,7.666666666666667,21.0,0.9999999999999991,0,,,,,0,0,30,0,30,0,30,J0,1
3,1,random,q_learning,envido,J1,1,q_learning,J0,random,ENVIDO,1,,0,0,0,5,30,-25,1,J0,5-2|1-1|1-3,7-3|7-0|3-3,,,,,,,,,FALTA_ENVIDO,raise,J0,random,0,0,30,0,30,0,0,,
3,1,random,q_learning,envido,J0,0,random,J1,q_learning,FALTA_ENVIDO,1,,1,2,0,30,5,25,0,J0,7-3|7-0|3-3,5-2|1-1|1-3,,,,,,,,,QUIERO,accept,J1,q_learning,0,0,30,0,30,0,30,,
