game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,19,30,30,19,7,0,7
2,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,2,30,30,2,6,0,6
3,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,0,0,30,0,0,0
4,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,3,30,30,3,4,0,4
5,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,8,8,30,2,0,2
6,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,12,30,30,12,9,1,8
7,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,15,30,30,15,11,2,9
8,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,1,1,30,1,0,1
9,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,7,30,30,7,9,3,6
10,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,6,30,30,6,11,1,10
11,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,9,9,30,5,0,5
12,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,0,30,30,0,3,0,3
13,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,8,30,30,8,7,3,4
14,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,10,30,30,10,10,1,9
15,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,2,30,30,2,2,0,2
16,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,6,30,30,6,9,0,9
17,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,12,30,30,12,12,3,9
18,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,2,2,30,3,1,2
19,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,20,30,30,20,12,2,10
20,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,7,30,30,7,12,0,12
21,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,6,6,30,3,1,2
22,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,0,30,30,0,0,0,0
23,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,3,30,30,3,7,0,7
24,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,13,13,30,7,1,6
25,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,21,21,30,9,0,9
26,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,7,30,30,7,7,0,7
27,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,22,22,30,22,9,13
28,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,0,0,30,0,0,0
29,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,10,30,30,10,9,0,9
30,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,23,30,30,23,16,4,12
31,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,3,3,30,4,2,2
32,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,4,4,30,3,0,3
