game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
1,1,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,1-0|11-3,2-1,14.0,10.0,20.0,9.0,9.0,9.0,1.0,0,QUIERO,accept,J1,rational,0,0,0,2,0,2,0,J1,0
1,2,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,30,5,25,0,J0,6-3|3-1|7-1,12-3|11-0|5-1,,,,,,,,,NO_QUIERO,decline,J1,rational,0,2,1,2,1,0,1,,
1,5,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,10-0|11-0|3-2,5-3|4-0,10.0,7.0,16.0,2.0,1.5,3.0,5.5,0,NO_QUIERO,decline,J1,rational,1,5,2,5,1,0,1,J0,1
1,8,random,rational,truco,J1,1,rational,J0,random,TRUCO,2,0,,,,,,,,,1-0|6-1,3-3|10-0,14.0,8.5,17.0,10.0,7.5,15.0,1.0,0,QUIERO,accept,J0,random,2,7,2,9,0,2,2,J1,1
1,10,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,28,3,25,0,J0,2-0|6-0|4-3,12-2|2-1|3-3,,,,,,,,,NO_QUIERO,decline,J1,rational,2,10,3,10,1,0,1,,
1,10,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,2-0|6-0|4-3,12-2|2-1|3-3,9.0,4.333333333333333,12.0,10.0,8.666666666666666,19.0,-4.333333333333333,1,QUIERO,accept,J1,rational,3,10,3,12,0,2,0,J1,0
1,11,random,rational,envido,J0,0,random,J1,rational,ENVIDO,1,,0,0,0,5,7,-2,1,J0,5-3|5-2|3-0,12-3|10-2,,,,,,,,,NO_QUIERO,decline,J1,rational,3,12,4,12,1,0,1,,
1,11,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,5-2|3-0,12-3,10.0,6.0,12.0,7.0,7.0,7.0,-1.0,1,QUIERO,accept,J1,rational,4,12,4,14,0,2,0,J1,0
1,12,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,28,33,-5,0,J1,1-1|6-3|7-1,6-2|7-2|1-2,,,,,,,,,QUIERO,accept,J1,rational,4,14,4,30,0,16,0,,
2,1,random,rational,envido,J1,1,rational,J0,random,ENVIDO,1,,0,0,0,29,20,9,0,J1,7-3|7-0|2-3,11-2|10-2|1-0,,,,,,,,,REAL_ENVIDO,raise,J0,random,0,0,0,5,0,5,5,,
2,1,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,1,2,0,20,29,-9,1,J1,11-2|10-2|1-0,7-3|7-0|2-3,,,,,,,,,QUIERO,accept,J1,rational,0,0,0,5,0,5,0,,
2,1,random,rational,truco,J0,0,random,J1,rational,TRUCO,3,0,,,,,,,,,1-0,2-3,14.0,14.0,14.0,9.0,9.0,9.0,5.0,0,QUIERO,accept,J1,rational,0,5,2,5,2,0,2,J0,1
2,2,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,32,20,12,0,J0,4-2|7-2|5-2,5-1|12-0|11-0,,,,,,,,,NO_QUIERO,decline,J1,rational,2,5,3,5,1,0,1,,
2,3,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,23,27,-4,1,J1,2-0|11-2|3-2,6-2|7-1,,,,,,,,,QUIERO,accept,J1,rational,3,6,3,9,0,3,0,,
2,3,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,11-2|3-2,6-2|7-1,10.0,8.0,16.0,4.0,3.5,7.0,4.5,0,NO_QUIERO,decline,J1,rational,3,9,4,9,1,0,1,J0,1
2,4,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,7,3,4,1,J0,7-3|5-2|2-1,3-2|1-3|10-0,,,,,,,,,NO_QUIERO,decline,J1,rational,4,9,5,9,1,0,1,,
2,5,random,rational,truco,J0,0,random,J1,rational,TRUCO,3,0,,,,,,,,,1-1,2-2,13.0,13.0,13.0,9.0,9.0,9.0,4.0,0,QUIERO,accept,J1,rational,5,10,5,12,0,2,0,J1,0
2,7,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,26,5,21,0,J0,6-3|7-0|11-3,5-1|12-0,,,,,,,,,NO_QUIERO,decline,J1,rational,5,13,6,13,1,0,1,,
2,7,random,rational,truco,J0,0,random,J1,rational,TRUCO,3,0,,,,,,,,,6-3,12-0,3.0,3.0,3.0,7.0,7.0,7.0,-4.0,1,QUIERO,accept,J1,rational,6,13,6,15,0,2,0,J1,0
2,8,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,5,25,-20,1,J0,5-1|5-3|10-2,1-0|4-0|7-3,,,,,,,,,NO_QUIERO,decline,J1,rational,6,15,7,15,1,0,1,,
2,9,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,5-2|4-2,5-1|11-0,2.0,1.5,3.0,6.0,4.0,8.0,-2.5,1,QUIERO,accept,J1,rational,7,16,7,18,0,2,0,J1,0
2,10,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,4,31,-27,1,J1,2-0|4-1|4-2,6-2|5-2|10-0,,,,,,,,,FALTA_ENVIDO,raise,J1,rational,7,18,7,30,0,12,0,,
2,10,random,rational,envido,J1,1,rational,J0,random,FALTA_ENVIDO,1,,3,3,0,31,4,27,0,J1,6-2|5-2|10-0,2-0|4-1|4-2,,,,,,,,,QUIERO,accept,J0,random,7,18,7,30,0,12,12,,
3,1,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,6-0|10-2,12-1,5.0,4.0,8.0,7.0,7.0,7.0,-3.0,1,QUIERO,accept,J1,rational,0,0,0,2,0,2,0,J1,0
3,2,random,rational,envido,J1,1,rational,J0,random,ENVIDO,1,,0,0,0,29,21,8,0,J1,6-0|3-0|12-1,10-3|1-3,,,,,,,,,ENVIDO_ENVIDO,raise,J0,random,0,2,0,6,0,4,4,,
3,2,random,rational,envido,J0,0,random,J1,rational,ENVIDO_ENVIDO,1,,1,2,0,21,29,-8,1,J1,10-3|1-3,6-0|3-0|12-1,,,,,,,,,QUIERO,accept,J1,rational,0,2,0,6,0,4,0,,
3,3,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,26,5,21,0,J0,12-0|11-3|6-3,2-2|5-3,,,,,,,,,NO_QUIERO,decline,J1,rational,0,7,1,7,1,0,1,,
3,4,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,10-1|12-0|2-2,11-3|7-0|3-0,9.0,7.0,16.0,12.0,9.333333333333334,22.0,-2.333333333333334,1,QUIERO,accept,J1,rational,1,8,1,10,0,2,0,J1,0
3,5,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,2-0|11-1|3-2,5-3|6-1,10.0,8.333333333333334,19.0,3.0,2.5,5.0,5.833333333333334,0,NO_QUIERO,decline,J1,rational,1,10,2,10,1,0,1,J0,1
3,7,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,21,3,18,1,J0,3-0|12-1|1-1,2-1|2-0,,,,,,,,,NO_QUIERO,decline,J1,rational,2,11,3,11,1,0,1,,
3,8,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,1-2|3-1|7-1,2-0|11-3|5-3,10.0,7.333333333333333,18.0,9.0,5.666666666666667,15.0,1.666666666666666,0,QUIERO,accept,J1,rational,4,11,4,13,0,2,0,J1,0
3,9,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,12-0|1-3,4-3|10-3,8.0,7.5,15.0,5.0,3.0,6.0,4.5,0,NO_QUIERO,decline,J1,rational,4,13,5,13,1,0,1,J0,1
3,10,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,1,32,-31,1,J1,1-1|12-3|10-0,5-0|5-2|7-0,,,,,,,,,QUIERO,accept,J1,rational,5,13,5,30,0,17,0,,
