game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,random,rational,N/A,N/A,J1,11,30,30,11,13,1,12
2,random,rational,N/A,N/A,J1,3,30,30,3,5,1,4
3,random,rational,N/A,N/A,J1,23,30,30,23,18,4,14
4,random,rational,N/A,N/A,J1,0,30,30,0,0,0,0
5,random,rational,N/A,N/A,J1,13,30,30,13,20,5,15
6,random,rational,N/A,N/A,J1,8,30,30,8,13,5,8
7,random,rational,N/A,N/A,J1,15,30,30,15,27,7,20
8,random,rational,N/A,N/A,J1,5,30,30,5,6,2,4
9,random,rational,N/A,N/A,J1,1,30,30,1,13,0,13
10,random,rational,N/A,N/A,J0,30,9,9,30,8,2,6
11,random,rational,N/A,N/A,J1,9,30,30,9,13,2,11
12,random,rational,N/A,N/A,J1,14,30,30,14,20,7,13
13,random,rational,N/A,N/A,J1,15,30,30,15,14,3,11
14,random,rational,N/A,N/A,J1,19,30,30,19,23,9,14
15,random,rational,N/A,N/A,J1,10,30,30,10,15,5,10
16,random,rational,N/A,N/A,J1,1,30,30,1,3,1,2
17,random,rational,N/A,N/A,J1,6,30,30,6,7,5,2
18,random,rational,N/A,N/A,J1,9,30,30,9,17,4,13
19,random,rational,N/A,N/A,J1,8,30,30,8,22,4,18
20,random,rational,N/A,N/A,J1,0,30,30,0,0,0,0
21,random,rational,N/A,N/A,J1,7,30,30,7,13,3,10
22,random,rational,N/A,N/A,J1,3,30,30,3,3,2,1
23,random,rational,N/A,N/A,J1,3,30,30,3,6,0,6
24,random,rational,N/A,N/A,J1,3,30,30,3,4,1,3
25,random,rational,N/A,N/A,J0,30,17,17,30,11,2,9
26,random,rational,N/A,N/A,J1,11,30,30,11,20,3,17
27,random,rational,N/A,N/A,J1,0,30,30,0,0,0,0
28,random,rational,N/A,N/A,J1,7,30,30,7,6,4,2
29,random,rational,N/A,N/A,J1,10,30,30,10,16,6,10
30,random,rational,N/A,N/A,J1,8,30,30,8,23,4,19
31,random,rational,N/A,N/A,J1,6,30,30,6,15,1,14
32,random,rational,N/A,N/A,J1,5,30,30,5,15,2,13
33,random,rational,N/A,N/A,J1,7,30,30,7,12,3,9
