game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
1,1,random,sb3_league,truco,J1,1,sb3_league,J0,random,TRUCO,1,0,,,,,,,,,7-0|1-1|2-3,12-0|4-0|2-0,13.0,11.333333333333334,25.0,9.0,5.666666666666667,16.0,5.666666666666667,0,,,,,0,0,1,3,1,3,3,J0,1
1,1,random,sb3_league,envido,J0,0,random,J1,sb3_league,REAL_ENVIDO,1,,0,0,0,26,7,19,0,J0,12-0|4-0|2-0,7-0|1-1|2-3,,,,,,,,,NO_QUIERO,decline,J1,sb3_league,0,0,1,0,1,0,1,,
1,1,random,sb3_league,truco,J1,1,sb3_league,J0,random,TRUCO,1,0,,,,,,,,,7-0|1-1|2-3,12-0|4-0|2-0,13.0,11.333333333333334,25.0,9.0,5.666666666666667,16.0,5.666666666666667,0,QUIERO,accept,J0,random,1,0,1,3,0,3,3,J1,1
1,1,random,sb3_league,truco,J0,0,random,J1,sb3_league,RETRUCO,1,1,,,,,,,,,12-0|4-0|2-0,7-0|1-1,9.0,5.666666666666667,16.0,13.0,12.5,25.0,-6.833333333333333,1,QUIERO,accept,J1,sb3_league,1,0,1,3,0,3,0,J1,0
1,1,random,sb3_league,truco,J1,1,sb3_league,J0,random,VALE_CUATRO,2,2,,,,,,,,,7-0|1-1,4-0|2-0,13.0,12.5,25.0,9.0,5.0,10.0,7.5,0,NO_QUIERO,decline,J0,random,1,0,1,3,0,3,3,J1,1
1,2,random,sb3_league,truco,J1,1,sb3_league,J0,random,TRUCO,2,0,,,,,,,,,6-1|11-2,12-1|4-1,6.0,4.5,9.0,7.0,4.0,8.0,0.5,0,RETRUCO,raise,J0,random,1,3,1,7,0,4,4,J1,1
1,2,random,sb3_league,truco,J0,0,random,J1,sb3_league,RETRUCO,2,0,,,,,,,,,12-1|4-1,6-1|11-2,7.0,4.0,8.0,6.0,4.5,9.0,-0.5,1,VALE_CUATRO,raise,J1,sb3_league,1,3,1,7,0,4,0,J1,0
1,2,random,sb3_league,truco,J1,1,sb3_league,J0,random,VALE_CUATRO,2,1,,,,,,,,,6-1|11-2,12-1|4-1,6.0,4.5,9.0,7.0,4.0,8.0,0.5,0,QUIERO,accept,J0,random,1,3,1,7,0,4,4,J1,1
1,3,random,sb3_league,truco,J1,1,sb3_league,J0,random,TRUCO,1,0,,,,,,,,,7-1|1-0|1-1,7-3|3-3|7-2,14.0,10.333333333333334,27.0,11.0,8.333333333333334,21.0,2.0,0,NO_QUIERO,decline,J0,random,1,7,1,8,0,1,1,J1,1
1,4,random,sb3_league,truco,J1,1,sb3_league,J0,random,TRUCO,2,0,,,,,,,,,7-3|12-2,1-3|6-3,7.0,5.5,11.0,8.0,5.5,11.0,0.0,0,QUIERO,accept,J0,random,1,8,1,10,0,2,2,J1,1
1,5,random,sb3_league,truco,J1,1,sb3_league,J0,random,TRUCO,1,0,,,,,,,,,6-1|1-1|12-1,1-3|1-2|10-1,13.0,7.666666666666667,20.0,8.0,7.0,16.0,0.666666666666667,0,RETRUCO,raise,J0,random,1,10,1,13,0,3,3,J1,1
1,5,random,sb3_league,truco,J0,0,random,J1,sb3_league,RETRUCO,1,0,,,,,,,,,1-3|1-2|10-1,6-1|1-1|12-1,8.0,7.0,16.0,13.0,7.666666666666667,20.0,-0.666666666666667,1,QUIERO,accept,J1,sb3_league,1,10,1,13,0,3,0,J1,0
1,5,random,sb3_league,truco,J1,1,sb3_league,J0,random,VALE_CUATRO,1,2,,,,,,,,,6-1|1-1|12-1,1-3|1-2|10-1,13.0,7.666666666666667,20.0,8.0,7.0,16.0,0.666666666666667,0,NO_QUIERO,decline,J0,random,1,10,1,13,0,3,3,J1,1
