game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,random,sb3_league,N/A,N/A,J1,2,30,30,2,10,0,10
2,random,sb3_league,N/A,N/A,J1,9,30,30,9,10,2,8
3,random,sb3_league,N/A,N/A,J1,8,30,30,8,12,0,12
4,random,sb3_league,N/A,N/A,J1,11,30,30,11,11,0,11
5,random,sb3_league,N/A,N/A,J1,13,30,30,13,13,1,12
6,random,sb3_league,N/A,N/A,J1,11,30,30,11,13,1,12
7,random,sb3_league,N/A,N/A,J1,10,30,30,10,15,0,15
8,random,sb3_league,N/A,N/A,J0,30,6,6,30,5,2,3
9,random,sb3_league,N/A,N/A,J0,30,22,22,30,11,1,10
10,random,sb3_league,N/A,N/A,J1,2,30,30,2,12,0,12
11,random,sb3_league,N/A,N/A,J0,30,6,6,30,5,1,4
12,random,sb3_league,N/A,N/A,J1,2,30,30,2,11,1,10
13,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,0,10
14,random,sb3_league,N/A,N/A,J1,16,30,30,16,14,1,13
15,random,sb3_league,N/A,N/A,J1,8,30,30,8,11,1,10
16,random,sb3_league,N/A,N/A,J1,7,30,30,7,12,1,11
17,random,sb3_league,N/A,N/A,J1,6,30,30,6,11,0,11
18,random,sb3_league,N/A,N/A,J1,16,30,30,16,9,2,7
19,random,sb3_league,N/A,N/A,J1,0,30,30,0,13,0,13
20,random,sb3_league,N/A,N/A,J1,4,30,30,4,10,0,10
21,random,sb3_league,N/A,N/A,J1,8,30,30,8,12,2,10
22,random,sb3_league,N/A,N/A,J1,14,30,30,14,9,0,9
23,random,sb3_league,N/A,N/A,J1,7,30,30,7,12,0,12
24,random,sb3_league,N/A,N/A,J1,5,30,30,5,13,1,12
25,random,sb3_league,N/A,N/A,J1,6,30,30,6,12,1,11
26,random,sb3_league,N/A,N/A,J1,9,30,30,9,11,1,10
27,random,sb3_league,N/A,N/A,J1,7,30,30,7,9,0,9
28,random,sb3_league,N/A,N/A,J1,10,30,30,10,14,1,13
29,random,sb3_league,N/A,N/A,J1,4,30,30,4,9,0,9
30,random,sb3_league,N/A,N/A,J1,2,30,30,2,10,0,10
31,random,sb3_league,N/A,N/A,J1,9,30,30,9,12,1,11
32,random,sb3_league,N/A,N/A,J1,8,30,30,8,11,0,11
33,random,sb3_league,N/A,N/A,J1,8,30,30,8,10,0,10
34,random,sb3_league,N/A,N/A,J1,6,30,30,6,15,1,14
35,random,sb3_league,N/A,N/A,J1,4,30,30,4,9,0,9
36,random,sb3_league,N/A,N/A,J1,7,30,30,7,10,1,9
37,random,sb3_league,N/A,N/A,J1,11,30,30,11,14,2,12
38,random,sb3_league,N/A,N/A,J1,7,30,30,7,15,1,14
39,random,sb3_league,N/A,N/A,J1,27,30,30,27,13,5,8
40,random,sb3_league,N/A,N/A,J1,29,30,30,29,15,1,14
41,random,sb3_league,N/A,N/A,J1,5,30,30,5,12,0,12
42,random,sb3_league,N/A,N/A,J0,30,11,11,30,7,1,6
43,random,sb3_league,N/A,N/A,J1,11,30,30,11,12,1,11
44,random,sb3_league,N/A,N/A,J1,17,30,30,17,14,2,12
45,random,sb3_league,N/A,N/A,J1,11,30,30,11,10,1,9
46,random,sb3_league,N/A,N/A,J1,12,30,30,12,12,2,10
47,random,sb3_league,N/A,N/A,J1,3,30,30,3,8,0,8
48,random,sb3_league,N/A,N/A,J1,16,30,30,16,12,2,10
49,random,sb3_league,N/A,N/A,J1,24,30,30,24,13,4,9
50,random,sb3_league,N/A,N/A,J1,7,30,30,7,12,0,12
51,random,sb3_league,N/A,N/A,J1,17,30,30,17,9,2,7
52,random,sb3_league,N/A,N/A,J1,5,30,30,5,13,0,13
53,random,sb3_league,N/A,N/A,J1,11,30,30,11,12,4,8
54,random,sb3_league,N/A,N/A,J1,3,30,30,3,10,0,10
55,random,sb3_league,N/A,N/A,J1,12,30,30,12,11,2,9
56,random,sb3_league,N/A,N/A,J1,3,30,30,3,11,0,11
57,random,sb3_league,N/A,N/A,J0,30,3,3,30,4,3,1
58,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,0,10
59,random,sb3_league,N/A,N/A,J1,8,30,30,8,15,2,13
60,random,sb3_league,N/A,N/A,J1,2,30,30,2,10,0,10
61,random,sb3_league,N/A,N/A,J1,18,30,30,18,14,2,12
62,random,sb3_league,N/A,N/A,J1,2,30,30,2,10,0,10
