game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
1,1,random,sb3,envido,J1,1,sb3,J0,random,ENVIDO,1,,0,0,0,5,29,-24,1,J0,1-1|2-3|5-0,2-2|7-2|11-1,,,,,,,,,REAL_ENVIDO,raise,J0,random,0,0,2,0,2,0,0,,
1,1,random,sb3,envido,J0,0,random,J1,sb3,REAL_ENVIDO,1,,1,2,0,29,5,24,0,J0,2-2|7-2|11-1,1-1|2-3|5-0,,,,,,,,,NO_QUIERO,decline,J1,sb3,0,0,2,0,2,0,2,,
1,1,random,sb3,truco,J1,1,sb3,J0,random,TRUCO,1,0,,,,,,,,,1-1|2-3|5-0,2-2|7-2|11-1,13.0,8.0,22.0,11.0,8.666666666666666,20.0,-0.6666666666666661,1,NO_QUIERO,decline,J0,random,2,0,2,1,0,1,1,J1,1
1,2,random,sb3,envido,J0,0,random,J1,sb3,FALTA_ENVIDO,1,,0,0,0,7,7,0,1,J0,4-2|2-0|7-1,3-2|7-3|11-1,,,,,,,,,NO_QUIERO,decline,J1,sb3,2,1,3,1,1,0,1,,
1,3,random,sb3,envido,J1,1,sb3,J0,random,ENVIDO,1,,0,0,0,2,5,-3,1,J0,11-1|11-0|2-3,11-2|5-1|2-0,,,,,,,,,QUIERO,accept,J0,random,3,2,5,2,2,0,0,,
1,3,random,sb3,truco,J1,1,sb3,J0,random,TRUCO,2,0,,,,,,,,,11-0|2-3,5-1|2-0,9.0,7.5,15.0,9.0,5.5,11.0,2.0,0,QUIERO,accept,J0,random,5,2,5,5,0,3,3,J1,1
1,3,random,sb3,truco,J0,0,random,J1,sb3,RETRUCO,2,1,,,,,,,,,5-1|2-0,2-3,9.0,5.5,11.0,9.0,9.0,9.0,-3.5,1,VALE_CUATRO,raise,J1,sb3,5,2,5,5,0,3,0,J1,0
1,3,random,sb3,truco,J1,1,sb3,J0,random,VALE_CUATRO,2,1,,,,,,,,,2-3,5-1|2-0,9.0,9.0,9.0,9.0,5.5,11.0,3.5,0,NO_QUIERO,decline,J0,random,5,2,5,5,0,3,3,J1,1
1,4,random,sb3,envido,J0,0,random,J1,sb3,ENVIDO,1,,0,0,0,29,27,2,0,J0,5-2|12-1|4-2,10-1|11-3|7-1,,,,,,,,,ENVIDO_ENVIDO,raise,J1,sb3,5,5,9,5,4,0,4,,
1,4,random,sb3,envido,J1,1,sb3,J0,random,ENVIDO_ENVIDO,1,,1,2,0,27,29,-2,0,J0,10-1|11-3|7-1,5-2|12-1|4-2,,,,,,,,,FALTA_ENVIDO,raise,J0,random,5,5,9,5,4,0,0,,
