game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,random,sb3,J1,17,30,30,17,10,0,10
2,random,sb3,J1,8,30,30,8,12,1,11
3,random,sb3,J1,2,30,30,2,9,0,9
4,random,sb3,J1,13,30,30,13,13,3,10
5,random,sb3,J1,18,30,30,18,14,2,12
6,random,sb3,J1,6,30,30,6,7,1,6
7,random,sb3,J1,11,30,30,11,13,3,10
8,random,sb3,J1,4,30,30,4,3,1,2
9,random,sb3,J0,30,18,18,30,10,4,6
10,random,sb3,J1,2,30,30,2,5,0,5
11,random,sb3,J1,6,30,30,6,13,0,13
12,random,sb3,J1,21,30,30,21,12,1,11
13,random,sb3,J1,3,30,30,3,11,0,11
14,random,sb3,J0,30,12,12,30,7,1,6
15,random,sb3,J0,30,17,17,30,10,0,10
16,random,sb3,J1,11,30,30,11,13,2,11
17,random,sb3,J1,15,30,30,15,13,1,12
18,random,sb3,J1,10,30,30,10,10,3,7
19,random,sb3,J1,9,30,30,9,10,3,7
20,random,sb3,J1,8,30,30,8,4,2,2
21,random,sb3,J1,28,30,30,28,16,1,15
22,random,sb3,J1,20,30,30,20,10,3,7
23,random,sb3,J1,12,30,30,12,12,3,9
24,random,sb3,J1,4,30,30,4,10,0,10
25,random,sb3,J1,14,30,30,14,13,2,11
26,random,sb3,J1,19,30,30,19,17,2,15
27,random,sb3,J1,6,30,30,6,7,3,4
28,random,sb3,J1,4,30,30,4,9,1,8
29,random,sb3,J1,4,30,30,4,12,0,12
30,random,sb3,J1,17,30,30,17,17,3,14
31,random,sb3,J1,12,30,30,12,14,1,13
32,random,sb3,J1,10,30,30,10,12,2,10
33,random,sb3,J0,30,14,14,30,9,2,7
34,random,sb3,J1,7,30,30,7,6,2,4
35,random,sb3,J1,2,30,30,2,7,0,7
36,random,sb3,J1,1,30,30,1,9,0,9
37,random,sb3,J1,16,30,30,16,12,5,7
38,random,sb3,J1,22,30,30,22,15,2,13
39,random,sb3,J1,8,30,30,8,13,1,12
40,random,sb3,J1,10,30,30,10,10,3,7
41,random,sb3,J1,13,30,30,13,16,3,13
42,random,sb3,J0,30,9,9,30,5,1,4
43,random,sb3,J1,13,30,30,13,12,2,10
44,random,sb3,J1,2,30,30,2,9,0,9
45,random,sb3,J1,2,30,30,2,7,1,6
46,random,sb3,J1,9,30,30,9,13,1,12
47,random,sb3,J1,13,30,30,13,17,3,14
48,random,sb3,J1,5,30,30,5,7,2,5
49,random,sb3,J1,2,30,30,2,8,0,8
50,random,sb3,J1,25,30,30,25,14,1,13
51,random,sb3,J1,4,30,30,4,7,0,7
52,random,sb3,J1,2,30,30,2,9,1,8
53,random,sb3,J1,9,30,30,9,5,2,3
54,random,sb3,J1,7,30,30,7,12,2,10
55,random,sb3,J1,8,30,30,8,15,2,13
56,random,sb3,J1,4,30,30,4,13,1,12
57,random,sb3,J1,3,30,30,3,15,0,15
58,random,sb3,J1,5,30,30,5,6,1,5
59,random,sb3,J1,19,30,30,19,11,2,9
60,random,sb3,J1,17,30,30,17,13,3,10
61,random,sb3,J1,3,30,30,3,11,0,11
62,random,sb3,J1,3,30,30,3,12,0,12
63,random,sb3,J1,7,30,30,7,4,0,4
64,random,sb3,J1,8,30,30,8,9,0,9
65,random,sb3,J1,7,30,30,7,13,1,12
66,random,sb3,J1,4,30,30,4,13,1,12
67,random,sb3,J1,11,30,30,11,14,2,12
68,random,sb3,J1,6,30,30,6,12,0,12
69,random,sb3,J1,10,30,30,10,12,1,11
70,random,sb3,J0,30,27,27,30,17,4,13
71,random,sb3,J1,5,30,30,5,8,1,7
72,random,sb3,J0,30,9,9,30,7,3,4
73,random,sb3,J1,16,30,30,16,12,0,12
74,random,sb3,J1,9,30,30,9,11,2,9
75,random,sb3,J1,14,30,30,14,11,1,10
76,random,sb3,J0,30,6,6,30,6,4,2
77,random,sb3,J1,9,30,30,9,6,2,4
78,random,sb3,J1,9,30,30,9,14,0,14
79,random,sb3,J1,9,30,30,9,13,2,11
80,random,sb3,J1,11,30,30,11,14,2,12
81,random,sb3,J1,7,30,30,7,11,0,11
82,random,sb3,J1,9,30,30,9,12,0,12
83,random,sb3,J1,5,30,30,5,9,1,8
84,random,sb3,J1,9,30,30,9,10,1,9
85,random,sb3,J1,6,30,30,6,15,1,14
86,random,sb3,J1,24,30,30,24,13,2,11
87,random,sb3,J1,9,30,30,9,12,0,12
88,random,sb3,J1,1,30,30,1,8,0,8
89,random,sb3,J1,10,30,30,10,13,1,12
90,random,sb3,J1,6,30,30,6,13,0,13
91,random,sb3,J1,5,30,30,5,9,1,8
92,random,sb3,J1,25,30,30,25,17,7,10
93,random,sb3,J1,15,30,30,15,15,2,13
94,random,sb3,J1,5,30,30,5,9,1,8
95,random,sb3,J1,20,30,30,20,13,0,13
96,random,sb3,J1,15,30,30,15,11,4,7
97,random,sb3,J1,16,30,30,16,14,3,11
98,random,sb3,J1,6,30,30,6,16,0,16
99,random,sb3,J1,5,30,30,5,11,0,11
100,random,sb3,J1,9,30,30,9,11,0,11
101,random,sb3,J1,2,30,30,2,7,0,7
102,random,sb3,J1,5,30,30,5,6,1,5
103,random,sb3,J1,19,30,30,19,16,1,15
104,random,sb3,J1,14,30,30,14,11,3,8
105,random,sb3,J1,22,30,30,22,11,2,9
106,random,sb3,J1,11,30,30,11,10,1,9
