game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
1,1,rational,q_learning,truco,J1,1,q_learning,J0,rational,TRUCO,1,0,,,,,,,,,7-0|1-1|2-3,12-0|4-0|2-0,13.0,11.333333333333334,25.0,9.0,5.666666666666667,16.0,5.666666666666667,0,QUIERO,accept,J0,rational,0,0,0,2,0,2,2,J1,1
1,2,rational,q_learning,envido,J1,1,q_learning,J0,rational,ENVIDO,1,,0,0,0,20,24,-4,1,J1,6-1|11-2|10-2,5-0|4-1,,,,,,,,,NO_QUIERO,decline,J0,rational,0,2,0,3,0,1,1,,
1,3,rational,q_learning,envido,J1,1,q_learning,J0,rational,ENVIDO,1,,0,0,0,28,30,-2,0,J0,7-1|1-0|1-1,7-3|3-3|7-2,,,,,,,,,QUIERO,accept,J0,rational,0,4,2,4,2,0,0,,
1,3,rational,q_learning,truco,J0,0,rational,J1,q_learning,TRUCO,2,0,,,,,,,,,7-3|7-2,1-0|1-1,11.0,7.5,15.0,14.0,13.5,27.0,-6.0,1,QUIERO,accept,J1,q_learning,2,4,2,7,0,3,0,J1,0
1,3,rational,q_learning,truco,J1,1,q_learning,J0,rational,RETRUCO,3,1,,,,,,,,,1-0,7-2,14.0,14.0,14.0,11.0,11.0,11.0,3.0,0,QUIERO,accept,J0,rational,2,4,2,7,0,3,3,J1,1
1,5,rational,q_learning,envido,J1,1,q_learning,J0,rational,ENVIDO,1,,0,0,0,27,1,26,0,J1,6-1|1-1|12-1,1-3|1-2|10-1,,,,,,,,,NO_QUIERO,decline,J0,rational,2,8,2,9,0,1,1,,
1,5,rational,q_learning,truco,J1,1,q_learning,J0,rational,TRUCO,1,0,,,,,,,,,6-1|1-1|12-1,1-3|1-2|10-1,13.0,7.666666666666667,20.0,8.0,7.0,16.0,0.666666666666667,0,QUIERO,accept,J0,rational,2,9,4,9,2,0,0,J0,0
1,6,rational,q_learning,truco,J1,1,q_learning,J0,rational,TRUCO,2,0,,,,,,,,,1-3|3-1,5-0,10.0,9.0,18.0,2.0,2.0,2.0,7.0,0,NO_QUIERO,decline,J0,rational,4,9,4,10,0,1,1,J1,1
1,9,rational,q_learning,envido,J0,0,rational,J1,q_learning,ENVIDO,1,,0,0,0,28,27,1,0,J0,1-2|7-1|1-1,3-3|12-0,,,,,,,,,NO_QUIERO,decline,J1,q_learning,5,11,6,11,1,0,1,,
1,9,rational,q_learning,truco,J0,0,rational,J1,q_learning,TRUCO,2,0,,,,,,,,,1-2|1-1,3-3|12-0,13.0,10.5,21.0,10.0,8.5,17.0,2.0,0,NO_QUIERO,decline,J1,q_learning,6,11,7,11,1,0,1,J0,1
1,10,rational,q_learning,envido,J1,1,q_learning,J0,rational,REAL_ENVIDO,1,,0,0,0,32,6,26,0,J1,2-3|5-0|7-0,6-2|4-0,,,,,,,,,NO_QUIERO,decline,J0,rational,7,11,7,12,0,1,1,,
1,10,rational,q_learning,truco,J1,1,q_learning,J0,rational,TRUCO,3,0,,,,,,,,,7-0,6-2,12.0,12.0,12.0,3.0,3.0,3.0,9.0,0,NO_QUIERO,decline,J0,rational,7,12,7,13,0,1,1,J1,1
1,11,rational,q_learning,truco,J0,0,rational,J1,q_learning,TRUCO,2,0,,,,,,,,,5-2|3-3,12-3|2-1,10.0,6.0,12.0,9.0,8.0,16.0,-2.0,1,NO_QUIERO,decline,J1,q_learning,7,13,8,13,1,0,1,J0,1
1,12,rational,q_learning,envido,J1,1,q_learning,J0,rational,ENVIDO,1,,0,0,0,0,6,-6,1,J1,11-3|12-2|12-0,6-0|11-1,,,,,,,,,NO_QUIERO,decline,J0,rational,8,13,8,14,0,1,1,,
1,13,rational,q_learning,truco,J1,1,q_learning,J0,rational,TRUCO,1,0,,,,,,,,,7-0|3-3|7-1,4-1|1-3|5-1,12.0,8.666666666666666,22.0,8.0,3.6666666666666665,10.0,5.0,0,QUIERO,accept,J0,rational,8,15,8,17,0,2,2,J1,1
1,14,rational,q_learning,envido,J1,1,q_learning,J0,rational,ENVIDO,1,,0,0,0,32,4,28,0,J1,5-0|7-2|5-2,4-2|4-1,,,,,,,,,NO_QUIERO,decline,J0,rational,8,17,8,18,0,1,1,,
