game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,4,4,30,4,2,2
2,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,14,14,30,27,18,9
3,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,18,18,30,17,13,4
4,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,23,23,30,30,16,14
5,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,19,19,30,27,15,12
6,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,13,13,30,16,8,8
7,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,0,0,30,3,3,0
8,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J1,1,30,30,1,2,1,1
9,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,21,21,30,26,15,11
10,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,18,18,30,27,17,10
11,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,12,12,30,25,15,10
12,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,10,10,30,20,11,9
13,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J1,22,30,30,22,25,11,14
14,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,5,5,30,14,11,3
15,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,0,0,30,1,1,0
16,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,7,7,30,9,4,5
17,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,11,11,30,13,9,4
18,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,11,11,30,12,5,7
19,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,0,0,30,2,2,0
20,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,1,1,30,6,5,1
21,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,16,16,30,16,9,7
22,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,23,23,30,24,11,13
23,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,8,8,30,22,19,3
24,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,21,21,30,23,13,10
25,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,12,12,30,11,5,6
26,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,6,6,30,10,5,5
27,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,1,1,30,3,2,1
28,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,3,3,30,4,1,3
29,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,5,5,30,16,12,4
30,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,5,5,30,9,6,3
31,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,15,15,30,22,14,8
32,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,20,20,30,30,20,10
