game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,rational,random,J0,30,13,13,30,16,11,5
2,rational,random,J0,30,1,1,30,3,2,1
3,rational,random,J0,30,2,2,30,6,5,1
4,rational,random,J0,30,3,3,30,6,4,2
5,rational,random,J0,30,21,21,30,24,15,9
6,rational,random,J0,30,11,11,30,17,13,4
7,rational,random,J0,30,3,3,30,4,1,3
8,rational,random,J0,30,11,11,30,14,9,5
9,rational,random,J0,30,27,27,30,14,10,4
10,rational,random,J0,30,12,12,30,19,15,4
11,rational,random,J0,30,1,1,30,2,1,1
12,rational,random,J0,30,16,16,30,21,15,6
13,rational,random,J0,30,28,28,30,17,13,4
14,rational,random,J0,30,11,11,30,21,15,6
15,rational,random,J0,30,12,12,30,21,17,4
16,rational,random,J0,30,11,11,30,21,14,7
17,rational,random,J0,30,26,26,30,17,15,2
18,rational,random,J0,30,28,28,30,27,16,11
19,rational,random,J0,30,1,1,30,2,1,1
20,rational,random,J0,30,16,16,30,23,16,7
21,rational,random,J0,30,1,1,30,7,6,1
22,rational,random,J0,30,0,0,30,0,0,0
23,rational,random,J0,30,10,10,30,17,14,3
24,rational,random,J0,30,8,8,30,8,7,1
25,rational,random,J0,30,5,5,30,9,6,3
26,rational,random,J0,30,15,15,30,16,11,5
27,rational,random,J0,30,12,12,30,11,8,3
28,rational,random,J0,30,10,10,30,20,16,4
29,rational,random,J0,30,2,2,30,5,5,0
30,rational,random,J0,30,6,6,30,18,18,0
31,rational,random,J0,30,13,13,30,21,17,4
32,rational,random,J1,6,30,30,6,3,2,1
33,rational,random,J0,30,0,0,30,0,0,0
34,rational,random,J1,26,30,30,26,10,6,4
35,rational,random,J0,30,5,5,30,8,7,1
36,rational,random,J1,18,30,30,18,14,9,5
37,rational,random,J0,30,10,10,30,17,11,6
38,rational,random,J0,30,17,17,30,23,14,9
39,rational,random,J0,30,5,5,30,12,9,3
40,rational,random,J0,30,16,16,30,19,14,5
41,rational,random,J0,30,10,10,30,18,14,4
42,rational,random,J1,11,30,30,11,11,7,4
43,rational,random,J0,30,7,7,30,18,13,5
44,rational,random,J0,30,4,4,30,12,11,1
45,rational,random,J0,30,3,3,30,4,4,0
46,rational,random,J0,30,22,22,30,23,15,8
47,rational,random,J0,30,20,20,30,14,13,1
48,rational,random,J0,30,23,23,30,16,11,5
49,rational,random,J0,30,1,1,30,3,2,1
50,rational,random,J0,30,6,6,30,18,16,2
51,rational,random,J0,30,6,6,30,7,5,2
52,rational,random,J0,30,6,6,30,12,11,1
53,rational,random,J0,30,13,13,30,13,9,4
54,rational,random,J0,30,1,1,30,2,2,0
55,rational,random,J0,30,21,21,30,26,16,10
56,rational,random,J0,30,12,12,30,23,18,5
57,rational,random,J0,30,9,9,30,12,9,3
58,rational,random,J0,30,8,8,30,20,18,2
59,rational,random,J0,30,11,11,30,20,16,4
60,rational,random,J0,30,4,4,30,6,5,1
61,rational,random,J0,30,1,1,30,3,2,1
62,rational,random,J1,29,30,30,29,24,19,5
63,rational,random,J0,30,0,0,30,2,2,0
64,rational,random,J0,30,8,8,30,14,9,5
65,rational,random,J0,30,1,1,30,6,6,0
66,rational,random,J0,30,7,7,30,12,8,4
67,rational,random,J0,30,1,1,30,7,7,0
