game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
1,1,rational,sb3_league,truco,J1,1,sb3_league,J0,rational,TRUCO,1,0,,,,,,,,,7-0|1-1|2-3,12-0|4-0|2-0,13.0,11.333333333333334,25.0,9.0,5.666666666666667,16.0,5.666666666666667,0,QUIERO,accept,J0,rational,0,0,0,2,0,2,2,J1,1
1,2,rational,sb3_league,envido,J1,1,sb3_league,J0,rational,ENVIDO,1,,0,0,0,20,24,-4,1,J1,6-1|11-2|10-2,5-0|4-1,,,,,,,,,NO_QUIERO,decline,J0,rational,0,2,0,3,0,1,1,,
1,2,rational,sb3_league,truco,J1,1,sb3_league,J0,rational,TRUCO,1,0,,,,,,,,,6-1|11-2|10-2,5-0|4-1,6.0,4.666666666666667,11.0,2.0,1.5,3.0,3.166666666666667,0,NO_QUIERO,decline,J0,rational,0,3,0,4,0,1,1,J1,1
1,3,rational,sb3_league,envido,J1,1,sb3_league,J0,rational,REAL_ENVIDO,1,,0,0,0,28,30,-2,0,J0,7-1|1-0|1-1,7-3|3-3|7-2,,,,,,,,,QUIERO,accept,J0,rational,0,4,3,4,3,0,0,,
1,3,rational,sb3_league,truco,J1,1,sb3_league,J0,rational,TRUCO,1,0,,,,,,,,,7-1|1-0|1-1,7-3|3-3|7-2,14.0,10.333333333333334,27.0,11.0,8.333333333333334,21.0,2.0,0,QUIERO,accept,J0,rational,3,4,3,7,0,3,3,J1,1
1,3,rational,sb3_league,truco,J0,0,rational,J1,sb3_league,RETRUCO,3,1,,,,,,,,,7-2,1-1,11.0,11.0,11.0,13.0,13.0,13.0,-2.0,1,QUIERO,accept,J1,sb3_league,3,4,3,7,0,3,0,J1,0
1,3,rational,sb3_league,truco,J1,1,sb3_league,J0,rational,VALE_CUATRO,3,2,,,,,,,,,1-1,,13.0,13.0,13.0,0.0,0.0,0.0,13.0,0,NO_QUIERO,decline,J0,rational,3,4,3,7,0,3,3,J1,1
1,4,rational,sb3_league,envido,J1,1,sb3_league,J0,rational,ENVIDO,1,,0,0,0,7,27,-20,1,J0,12-1|7-3|12-2,5-0|6-3,,,,,,,,,QUIERO,accept,J0,rational,3,7,5,7,2,0,0,,
1,4,rational,sb3_league,truco,J1,1,sb3_league,J0,rational,TRUCO,1,0,,,,,,,,,12-1|7-3|12-2,5-0|6-3,7.0,6.0,14.0,3.0,2.5,5.0,3.5,0,NO_QUIERO,decline,J0,rational,5,7,5,8,0,1,1,J1,1
1,5,rational,sb3_league,envido,J1,1,sb3_league,J0,rational,ENVIDO,1,,0,0,0,27,1,26,0,J1,6-1|1-1|12-1,1-3|1-2|10-1,,,,,,,,,NO_QUIERO,decline,J0,rational,5,8,5,9,0,1,1,,
