game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,rational,sb3_league,N/A,N/A,J0,30,1,1,30,2,1,1
2,rational,sb3_league,N/A,N/A,J1,29,30,30,29,18,7,11
3,rational,sb3_league,N/A,N/A,J1,28,30,30,28,21,8,13
4,rational,sb3_league,N/A,N/A,J0,30,19,19,30,18,11,7
5,rational,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
6,rational,sb3_league,N/A,N/A,J0,30,14,14,30,14,8,6
7,rational,sb3_league,N/A,N/A,J0,30,17,17,30,14,6,8
8,rational,sb3_league,N/A,N/A,J0,30,16,16,30,20,11,9
9,rational,sb3_league,N/A,N/A,J0,30,20,20,30,16,9,7
10,rational,sb3_league,N/A,N/A,J0,30,1,1,30,1,0,1
11,rational,sb3_league,N/A,N/A,J0,30,10,10,30,7,2,5
12,rational,sb3_league,N/A,N/A,J0,30,9,9,30,6,2,4
13,rational,sb3_league,N/A,N/A,J0,30,25,25,30,19,10,9
14,rational,sb3_league,N/A,N/A,J0,30,1,1,30,3,2,1
15,rational,sb3_league,N/A,N/A,J0,30,4,4,30,2,0,2
16,rational,sb3_league,N/A,N/A,J0,30,28,28,30,20,7,13
17,rational,sb3_league,N/A,N/A,J0,30,13,13,30,13,9,4
18,rational,sb3_league,N/A,N/A,J0,30,21,21,30,12,5,7
19,rational,sb3_league,N/A,N/A,J0,30,6,6,30,3,1,2
20,rational,sb3_league,N/A,N/A,J1,7,30,30,7,5,3,2
21,rational,sb3_league,N/A,N/A,J0,30,4,4,30,3,1,2
22,rational,sb3_league,N/A,N/A,J0,30,20,20,30,19,11,8
23,rational,sb3_league,N/A,N/A,J0,30,23,23,30,20,8,12
24,rational,sb3_league,N/A,N/A,J0,30,9,9,30,13,10,3
25,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
26,rational,sb3_league,N/A,N/A,J0,30,27,27,30,26,14,12
27,rational,sb3_league,N/A,N/A,J0,30,27,27,30,21,8,13
28,rational,sb3_league,N/A,N/A,J0,30,14,14,30,16,11,5
29,rational,sb3_league,N/A,N/A,J1,23,30,30,23,21,6,15
30,rational,sb3_league,N/A,N/A,J0,30,8,8,30,13,9,4
31,rational,sb3_league,N/A,N/A,J0,30,26,26,30,20,10,10
32,rational,sb3_league,N/A,N/A,J0,30,10,10,30,10,4,6
33,rational,sb3_league,N/A,N/A,J0,30,23,23,30,22,11,11
34,rational,sb3_league,N/A,N/A,J1,20,30,30,20,19,7,12
35,rational,sb3_league,N/A,N/A,J0,30,16,16,30,18,13,5
36,rational,sb3_league,N/A,N/A,J0,30,11,11,30,13,9,4
37,rational,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
38,rational,sb3_league,N/A,N/A,J1,22,30,30,22,17,6,11
39,rational,sb3_league,N/A,N/A,J0,30,3,3,30,2,1,1
40,rational,sb3_league,N/A,N/A,J1,0,30,30,0,1,0,1
41,rational,sb3_league,N/A,N/A,J0,30,29,29,30,21,10,11
42,rational,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
43,rational,sb3_league,N/A,N/A,J0,30,18,18,30,20,12,8
44,rational,sb3_league,N/A,N/A,J0,30,25,25,30,20,9,11
45,rational,sb3_league,N/A,N/A,J0,30,28,28,30,17,4,13
46,rational,sb3_league,N/A,N/A,J0,30,1,1,30,1,1,0
