game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
1,1,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,5,31,-26,1,J0,11-1|5-3|11-0,6-2|2-1|5-2,,,,,,,,,FALTA_ENVIDO,raise,J0,rational,0,0,2,0,2,0,0,,
1,1,rational,sb3,envido,J0,0,rational,J1,sb3,FALTA_ENVIDO,1,,1,2,0,31,5,26,0,J0,6-2|2-1|5-2,11-1|5-3|11-0,,,,,,,,,NO_QUIERO,decline,J1,sb3,0,0,2,0,2,0,2,,
1,1,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,3,0,,,,,,,,,11-1,2-1,6.0,6.0,6.0,9.0,9.0,9.0,-3.0,1,QUIERO,accept,J0,rational,2,0,4,0,2,0,0,J0,0
1,2,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,5,1,4,1,J1,1-0|5-3|10-2,12-1|12-0,,,,,,,,,NO_QUIERO,decline,J0,rational,4,0,4,1,0,1,1,,
1,2,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,3,0,,,,,,,,,10-2,12-0,5.0,5.0,5.0,7.0,7.0,7.0,-2.0,1,QUIERO,accept,J0,rational,4,1,6,1,2,0,0,J0,0
1,3,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,31,4,27,0,J1,5-3|5-0|6-3,11-3|4-0|12-2,,,,,,,,,NO_QUIERO,decline,J0,rational,6,1,6,2,0,1,1,,
1,3,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,3,0,,,,,,,,,5-0,12-2,2.0,2.0,2.0,7.0,7.0,7.0,-5.0,1,QUIERO,accept,J0,rational,6,2,8,2,2,0,0,J0,0
1,4,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,25,25,0,0,J1,1-1|4-1|4-0,4-2|5-3,,,,,,,,,NO_QUIERO,decline,J0,rational,8,2,8,3,0,1,1,,
1,4,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,3,0,,,,,,,,,4-1,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,NO_QUIERO,decline,J0,rational,8,3,8,4,0,1,1,J1,1
1,5,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,4,5,-1,1,J1,10-0|4-1|1-3,5-2|12-1|5-0,,,,,,,,,NO_QUIERO,decline,J0,rational,8,4,8,5,0,1,1,,
