game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,rational,sb3,J0,30,27,27,30,19,9,10
2,rational,sb3,J0,30,26,26,30,19,12,7
3,rational,sb3,J0,30,24,24,30,21,13,8
4,rational,sb3,J1,28,30,30,28,22,11,11
5,rational,sb3,J0,30,15,15,30,16,11,5
6,rational,sb3,J1,28,30,30,28,22,11,11
7,rational,sb3,J0,30,21,21,30,17,10,7
8,rational,sb3,J0,30,23,23,30,19,10,9
9,rational,sb3,J1,29,30,30,29,21,8,13
10,rational,sb3,J1,22,30,30,22,20,8,12
11,rational,sb3,J1,21,30,30,21,17,6,11
12,rational,sb3,J0,30,18,18,30,16,10,6
13,rational,sb3,J1,19,30,30,19,19,9,10
14,rational,sb3,J1,26,30,30,26,21,12,9
15,rational,sb3,J0,30,25,25,30,19,11,8
16,rational,sb3,J0,30,16,16,30,16,9,7
17,rational,sb3,J1,29,30,30,29,20,13,7
18,rational,sb3,J0,30,28,28,30,21,6,15
19,rational,sb3,J1,28,30,30,28,21,10,11
20,rational,sb3,J0,30,21,21,30,17,10,7
21,rational,sb3,J1,23,30,30,23,21,11,10
22,rational,sb3,J1,20,30,30,20,19,8,11
23,rational,sb3,J0,30,22,22,30,19,12,7
24,rational,sb3,J0,30,28,28,30,19,7,12
25,rational,sb3,J1,22,30,30,22,18,8,10
26,rational,sb3,J0,30,26,26,30,21,10,11
27,rational,sb3,J1,24,30,30,24,20,12,8
28,rational,sb3,J0,30,23,23,30,19,12,7
29,rational,sb3,J0,30,16,16,30,14,8,6
30,rational,sb3,J1,29,30,30,29,21,9,12
31,rational,sb3,J0,30,25,25,30,20,10,10
32,rational,sb3,J0,30,23,23,30,19,11,8
33,rational,sb3,J1,22,30,30,22,19,7,12
34,rational,sb3,J1,19,30,30,19,20,8,12
35,rational,sb3,J0,30,16,16,30,16,11,5
36,rational,sb3,J0,30,25,25,30,21,13,8
37,rational,sb3,J0,30,24,24,30,20,13,7
38,rational,sb3,J0,30,28,28,30,21,10,11
39,rational,sb3,J0,30,24,24,30,22,14,8
40,rational,sb3,J0,30,28,28,30,23,13,10
41,rational,sb3,J1,29,30,30,29,22,10,12
42,rational,sb3,J0,30,26,26,30,20,11,9
43,rational,sb3,J0,30,25,25,30,18,12,6
44,rational,sb3,J0,30,18,18,30,16,8,8
45,rational,sb3,J1,25,30,30,25,19,9,10
46,rational,sb3,J1,19,30,30,19,20,9,11
47,rational,sb3,J0,30,29,29,30,19,12,7
48,rational,sb3,J1,22,30,30,22,19,8,11
49,rational,sb3,J1,22,30,30,22,21,11,10
50,rational,sb3,J0,30,16,16,30,14,10,4
51,rational,sb3,J0,30,25,25,30,19,10,9
52,rational,sb3,J1,27,30,30,27,21,12,9
53,rational,sb3,J1,27,30,30,27,21,12,9
54,rational,sb3,J0,30,21,21,30,18,10,8
55,rational,sb3,J0,30,16,16,30,17,13,4
56,rational,sb3,J0,30,20,20,30,19,11,8
57,rational,sb3,J1,19,30,30,19,18,9,9
58,rational,sb3,J1,24,30,30,24,19,8,11
59,rational,sb3,J0,30,22,22,30,15,6,9
60,rational,sb3,J1,28,30,30,28,22,9,13
61,rational,sb3,J0,30,17,17,30,17,9,8
62,rational,sb3,J0,30,25,25,30,20,13,7
63,rational,sb3,J1,17,30,30,17,18,7,11
64,rational,sb3,J1,20,30,30,20,19,7,12
65,rational,sb3,J1,27,30,30,27,22,9,13
66,rational,sb3,J1,17,30,30,17,18,8,10
67,rational,sb3,J0,30,24,24,30,19,11,8
68,rational,sb3,J1,23,30,30,23,20,11,9
69,rational,sb3,J1,23,30,30,23,21,9,12
70,rational,sb3,J0,30,15,15,30,14,7,7
71,rational,sb3,J0,30,23,23,30,20,12,8
72,rational,sb3,J1,19,30,30,19,17,7,10
73,rational,sb3,J0,30,28,28,30,22,13,9
74,rational,sb3,J0,30,29,29,30,22,13,9
75,rational,sb3,J1,19,30,30,19,19,7,12
76,rational,sb3,J1,22,30,30,22,18,9,9
77,rational,sb3,J1,28,30,30,28,20,9,11
78,rational,sb3,J1,18,30,30,18,16,6,10
