game,agent_0,agent_1,envido_j0,truco_j0,cartas_j0,abandono_j0,envido_j1,truco_j1,cartas_j1,abandono_j1
1,sb3_league,random,8,0,0,22,5,0,0,2
2,sb3_league,random,4,2,0,24,2,0,0,0
3,sb3_league,random,8,0,0,22,20,0,0,0
4,sb3_league,random,9,6,0,15,10,0,0,3
5,sb3_league,random,9,2,0,19,2,0,0,4
6,sb3_league,random,2,10,0,18,22,4,0,0
7,sb3_league,random,0,0,0,30,7,0,0,2
8,sb3_league,random,7,2,0,21,2,0,0,0
9,sb3_league,random,9,4,0,17,3,0,0,0
10,sb3_league,random,5,5,0,20,7,0,0,0
11,sb3_league,random,8,2,0,20,2,0,0,0
12,sb3_league,random,4,8,0,18,9,0,0,0
13,sb3_league,random,7,12,0,11,7,3,0,0
14,sb3_league,random,3,0,0,27,7,0,0,0
15,sb3_league,random,25,0,0,5,1,4,0,0
16,sb3_league,random,5,6,0,10,30,0,0,0
17,sb3_league,random,5,4,1,20,8,0,0,2
18,sb3_league,random,6,9,0,15,15,2,0,0
19,sb3_league,random,4,7,0,19,16,2,0,1
20,sb3_league,random,4,0,1,25,8,3,0,0
21,sb3_league,random,19,8,0,3,6,0,0,0
22,sb3_league,random,3,4,0,23,5,0,0,4
23,sb3_league,random,11,6,0,13,3,6,0,0
24,sb3_league,random,7,8,0,15,3,0,0,0
25,sb3_league,random,22,0,1,7,3,3,0,4
26,sb3_league,random,3,8,1,18,4,0,0,0
27,sb3_league,random,5,0,0,25,9,0,0,2
28,sb3_league,random,0,6,1,23,6,2,0,0
29,sb3_league,random,5,2,1,22,11,0,1,0
30,sb3_league,random,1,8,0,21,3,2,0,0
31,sb3_league,random,8,6,0,16,10,0,0,1
32,sb3_league,random,6,4,0,20,3,0,0,0
33,sb3_league,random,4,0,0,26,12,0,0,4
34,sb3_league,random,16,0,2,12,12,0,0,0
35,sb3_league,random,5,7,0,18,2,2,0,0
36,sb3_league,random,9,1,1,19,4,4,0,0
37,sb3_league,random,4,10,0,16,9,0,0,2
38,sb3_league,random,17,0,0,13,13,0,0,6
39,sb3_league,random,5,9,3,13,15,3,0,1
40,sb3_league,random,2,0,1,27,12,0,0,1
41,sb3_league,random,2,4,0,1,28,0,0,2
42,sb3_league,random,4,3,0,23,4,2,0,0
43,sb3_league,random,4,11,0,15,2,4,0,3
44,sb3_league,random,4,4,0,22,5,2,0,2
45,sb3_league,random,8,6,0,16,4,4,0,0
46,sb3_league,random,13,4,0,13,5,4,0,0
47,sb3_league,random,6,0,0,24,4,0,0,0
48,sb3_league,random,11,10,0,9,1,4,0,0
49,sb3_league,random,8,9,0,13,2,4,0,3
50,sb3_league,random,0,16,0,14,7,0,0,0
51,sb3_league,random,5,4,1,20,5,0,0,4
52,sb3_league,random,9,5,2,14,7,0,0,4
53,sb3_league,random,5,6,0,19,8,0,0,0
54,sb3_league,random,8,0,0,22,11,0,1,4
55,sb3_league,random,10,6,0,14,3,8,0,0
56,sb3_league,random,9,0,1,20,11,4,0,5
57,sb3_league,random,2,6,0,22,4,4,0,0
58,sb3_league,random,2,0,0,16,29,0,0,1
59,sb3_league,random,16,2,0,12,15,0,0,2
60,sb3_league,random,4,4,1,21,2,4,0,4
61,sb3_league,random,6,0,0,24,3,2,0,1
62,sb3_league,random,5,8,0,17,6,0,0,0
63,sb3_league,random,5,8,0,17,9,0,0,0
64,sb3_league,random,6,4,2,18,15,4,0,0
65,sb3_league,random,7,2,1,20,5,4,0,0
66,sb3_league,random,9,1,0,20,13,0,0,0
67,sb3_league,random,7,4,0,17,23,0,0,7
68,sb3_league,random,4,6,1,19,8,0,0,0
69,sb3_league,random,6,7,0,17,6,0,0,0
70,sb3_league,random,0,2,0,3,26,4,0,0
71,sb3_league,random,5,10,0,15,2,0,0,0
72,sb3_league,random,6,2,1,21,12,0,0,2
73,sb3_league,random,11,0,1,18,12,4,0,0
74,sb3_league,random,0,8,0,22,8,0,0,0
75,sb3_league,random,12,2,0,16,15,2,0,3
76,sb3_league,random,0,7,1,22,9,4,0,0
77,sb3_league,random,2,4,0,24,6,0,1,1
78,sb3_league,random,10,6,0,14,6,2,0,4
79,sb3_league,random,4,2,0,24,4,0,0,0
80,sb3_league,random,4,7,0,19,8,0,0,0
81,sb3_league,random,8,6,0,16,1,6,1,0
82,sb3_league,random,5,11,0,14,8,0,0,1
83,sb3_league,random,24,0,0,6,12,3,0,4
84,sb3_league,random,19,0,0,11,4,0,0,0
85,sb3_league,random,18,2,0,10,16,2,0,1
86,sb3_league,random,3,9,1,17,6,0,0,0
87,sb3_league,random,22,4,1,3,7,2,0,0
88,sb3_league,random,10,4,0,16,3,0,0,4
89,sb3_league,random,10,0,0,20,5,6,0,0
90,sb3_league,random,8,2,0,20,8,0,0,0
91,sb3_league,random,1,4,0,25,15,4,0,0
92,sb3_league,random,11,6,0,13,12,0,0,8
93,sb3_league,random,3,2,0,2,25,0,0,5
94,sb3_league,random,4,4,1,21,4,0,0,0
95,sb3_league,random,6,10,0,14,13,0,0,0
96,sb3_league,random,10,0,0,20,2,0,0,0
97,sb3_league,random,4,4,0,22,3,4,0,0
98,sb3_league,random,8,4,2,16,7,0,0,5
99,sb3_league,random,4,10,1,15,8,0,0,0
100,sb3_league,random,5,9,0,16,13,4,0,0
