game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,sb3_league,rational,N/A,N/A,J1,20,30,30,20,15,5,10
2,sb3_league,rational,N/A,N/A,J0,30,29,29,30,18,11,7
3,sb3_league,rational,N/A,N/A,J1,16,30,30,16,8,6,2
4,sb3_league,rational,N/A,N/A,J0,30,14,14,30,11,11,0
5,sb3_league,rational,N/A,N/A,J0,30,26,26,30,17,10,7
6,sb3_league,rational,N/A,N/A,J1,0,30,30,0,0,0,0
7,sb3_league,rational,N/A,N/A,J1,27,30,30,27,16,11,5
8,sb3_league,rational,N/A,N/A,J1,24,30,30,24,17,11,6
9,sb3_league,rational,N/A,N/A,J1,18,30,30,18,9,6,3
10,sb3_league,rational,N/A,N/A,J0,30,29,29,30,16,9,7
11,sb3_league,rational,N/A,N/A,J0,30,26,26,30,17,8,9
12,sb3_league,rational,N/A,N/A,J0,30,19,19,30,15,10,5
13,sb3_league,rational,N/A,N/A,J1,20,30,30,20,12,9,3
14,sb3_league,rational,N/A,N/A,J1,0,30,30,0,0,0,0
15,sb3_league,rational,N/A,N/A,J1,10,30,30,10,5,4,1
16,sb3_league,rational,N/A,N/A,J0,30,18,18,30,15,10,5
17,sb3_league,rational,N/A,N/A,J0,30,26,26,30,16,9,7
18,sb3_league,rational,N/A,N/A,J0,30,20,20,30,16,12,4
19,sb3_league,rational,N/A,N/A,J1,8,30,30,8,6,4,2
20,sb3_league,rational,N/A,N/A,J1,12,30,30,12,11,6,5
21,sb3_league,rational,N/A,N/A,J0,30,15,15,30,12,9,3
22,sb3_league,rational,N/A,N/A,J1,16,30,30,16,12,4,8
23,sb3_league,rational,N/A,N/A,J0,30,26,26,30,17,9,8
24,sb3_league,rational,N/A,N/A,J0,30,28,28,30,19,8,11
25,sb3_league,rational,N/A,N/A,J0,30,26,26,30,12,9,3
26,sb3_league,rational,N/A,N/A,J1,22,30,30,22,16,8,8
27,sb3_league,rational,N/A,N/A,J1,24,30,30,24,18,9,9
28,sb3_league,rational,N/A,N/A,J1,0,30,30,0,0,0,0
29,sb3_league,rational,N/A,N/A,J1,0,30,30,0,0,0,0
30,sb3_league,rational,N/A,N/A,J1,0,30,30,0,0,0,0
31,sb3_league,rational,N/A,N/A,J0,30,23,23,30,17,10,7
32,sb3_league,rational,N/A,N/A,J0,30,17,17,30,15,11,4
33,sb3_league,rational,N/A,N/A,J1,14,30,30,14,15,6,9
34,sb3_league,rational,N/A,N/A,J0,30,11,11,30,13,9,4
35,sb3_league,rational,N/A,N/A,J1,26,30,30,26,16,9,7
36,sb3_league,rational,N/A,N/A,J1,29,30,30,29,18,12,6
37,sb3_league,rational,N/A,N/A,J1,25,30,30,25,17,7,10
38,sb3_league,rational,N/A,N/A,J0,30,23,23,30,18,10,8
39,sb3_league,rational,N/A,N/A,J1,27,30,30,27,16,11,5
40,sb3_league,rational,N/A,N/A,J0,30,28,28,30,19,10,9
41,sb3_league,rational,N/A,N/A,J1,22,30,30,22,15,7,8
42,sb3_league,rational,N/A,N/A,J0,30,26,26,30,18,9,9
43,sb3_league,rational,N/A,N/A,J0,30,0,0,30,0,0,0
44,sb3_league,rational,N/A,N/A,J1,16,30,30,16,14,7,7
45,sb3_league,rational,N/A,N/A,J1,24,30,30,24,17,10,7
46,sb3_league,rational,N/A,N/A,J1,29,30,30,29,18,12,6
47,sb3_league,rational,N/A,N/A,J1,22,30,30,22,15,7,8
48,sb3_league,rational,N/A,N/A,J0,30,28,28,30,19,9,10
49,sb3_league,rational,N/A,N/A,J0,30,8,8,30,12,9,3
50,sb3_league,rational,N/A,N/A,J1,11,30,30,11,12,4,8
51,sb3_league,rational,N/A,N/A,J1,17,30,30,17,14,7,7
52,sb3_league,rational,N/A,N/A,J1,0,30,30,0,0,0,0
53,sb3_league,rational,N/A,N/A,J0,30,19,19,30,15,12,3
54,sb3_league,rational,N/A,N/A,J0,30,22,22,30,17,9,8
55,sb3_league,rational,N/A,N/A,J0,30,8,8,30,11,10,1
56,sb3_league,rational,N/A,N/A,J1,29,30,30,29,19,13,6
57,sb3_league,rational,N/A,N/A,J0,30,22,22,30,16,10,6
58,sb3_league,rational,N/A,N/A,J1,23,30,30,23,15,6,9
59,sb3_league,rational,N/A,N/A,J1,0,30,30,0,0,0,0
60,sb3_league,rational,N/A,N/A,J0,30,19,19,30,17,13,4
61,sb3_league,rational,N/A,N/A,J1,24,30,30,24,19,11,8
62,sb3_league,rational,N/A,N/A,J0,30,9,9,30,14,10,4
63,sb3_league,rational,N/A,N/A,J0,30,6,6,30,6,5,1
64,sb3_league,rational,N/A,N/A,J1,23,30,30,23,15,6,9
65,sb3_league,rational,N/A,N/A,J1,13,30,30,13,13,5,8
66,sb3_league,rational,N/A,N/A,J1,13,30,30,13,13,6,7
67,sb3_league,rational,N/A,N/A,J1,13,30,30,13,13,6,7
