game,agent_0,agent_1,envido_j0,truco_j0,cartas_j0,abandono_j0,envido_j1,truco_j1,cartas_j1,abandono_j1
1,sb3_league,rational,0,0,0,0,28,2,0,0
2,sb3_league,rational,6,8,3,13,10,8,0,4
3,sb3_league,rational,9,14,1,6,10,11,0,4
4,sb3_league,rational,14,8,1,7,2,10,1,8
5,sb3_league,rational,7,4,1,9,17,10,1,2
6,sb3_league,rational,7,8,1,14,8,4,0,6
7,sb3_league,rational,11,14,0,5,0,2,1,5
8,sb3_league,rational,6,11,0,13,4,8,0,1
9,sb3_league,rational,12,11,1,6,4,12,0,1
10,sb3_league,rational,24,2,1,3,4,4,0,5
11,sb3_league,rational,11,10,1,8,7,13,0,3
12,sb3_league,rational,8,10,3,9,8,8,0,7
13,sb3_league,rational,4,15,0,11,4,6,0,4
14,sb3_league,rational,5,8,0,9,21,7,0,2
15,sb3_league,rational,3,4,0,1,25,2,0,3
16,sb3_league,rational,11,11,1,7,9,6,0,5
17,sb3_league,rational,7,13,2,8,0,12,0,0
18,sb3_league,rational,19,6,1,4,3,10,0,4
19,sb3_league,rational,5,10,2,13,2,8,0,0
20,sb3_league,rational,22,2,1,5,2,9,0,0
21,sb3_league,rational,8,10,0,12,6,3,1,2
22,sb3_league,rational,7,8,2,13,12,4,1,1
23,sb3_league,rational,11,6,1,12,17,6,0,1
24,sb3_league,rational,5,7,2,16,4,4,0,4
25,sb3_league,rational,7,10,1,12,6,4,0,5
26,sb3_league,rational,12,11,2,5,3,14,0,4
27,sb3_league,rational,7,10,3,10,6,4,0,5
28,sb3_league,rational,6,10,0,14,9,6,1,4
29,sb3_league,rational,4,2,0,0,20,9,0,1
30,sb3_league,rational,24,2,0,4,0,10,0,0
31,sb3_league,rational,6,6,1,6,18,8,0,4
32,sb3_league,rational,8,15,0,7,13,10,1,2
33,sb3_league,rational,24,0,2,4,3,4,0,0
34,sb3_league,rational,13,6,2,9,8,6,0,8
35,sb3_league,rational,6,14,2,8,3,6,0,0
36,sb3_league,rational,9,16,0,5,2,6,0,1
37,sb3_league,rational,10,12,1,7,6,8,0,4
38,sb3_league,rational,11,15,0,4,7,10,1,1
39,sb3_league,rational,13,6,4,7,7,10,0,5
40,sb3_league,rational,6,10,1,13,3,6,0,2
41,sb3_league,rational,4,14,2,10,2,10,0,0
42,sb3_league,rational,13,6,1,10,8,8,0,5
43,sb3_league,rational,6,7,0,3,23,5,0,2
44,sb3_league,rational,10,10,0,10,7,6,0,2
45,sb3_league,rational,10,16,0,4,0,8,0,5
46,sb3_league,rational,8,9,3,10,5,4,1,4
47,sb3_league,rational,5,4,1,20,1,6,0,0
48,sb3_league,rational,8,12,2,8,15,4,0,8
49,sb3_league,rational,3,8,1,18,3,4,0,4
50,sb3_league,rational,8,2,0,2,18,8,0,4
51,sb3_league,rational,5,4,0,4,22,6,0,2
52,sb3_league,rational,5,16,0,9,2,4,0,0
53,sb3_league,rational,5,15,0,10,1,4,0,3
54,sb3_league,rational,17,2,2,9,7,9,1,6
55,sb3_league,rational,12,6,1,11,16,6,1,5
56,sb3_league,rational,5,9,0,16,2,4,0,0
57,sb3_league,rational,15,6,2,6,12,6,2,10
58,sb3_league,rational,3,14,0,13,0,8,0,0
59,sb3_league,rational,4,12,1,13,5,4,0,5
60,sb3_league,rational,8,15,0,7,4,9,0,2
61,sb3_league,rational,9,9,0,12,11,4,1,3
62,sb3_league,rational,8,14,2,6,12,2,0,9
63,sb3_league,rational,11,8,1,10,8,8,0,4
64,sb3_league,rational,12,12,0,6,10,11,0,2
65,sb3_league,rational,5,8,1,16,5,0,0,2
66,sb3_league,rational,16,10,1,3,5,10,0,7
67,sb3_league,rational,4,4,2,4,20,8,0,2
68,sb3_league,rational,15,6,2,7,6,12,0,3
69,sb3_league,rational,10,10,0,10,7,12,0,6
70,sb3_league,rational,7,14,0,9,6,4,0,0
71,sb3_league,rational,3,12,0,15,0,2,0,0
72,sb3_league,rational,6,19,1,4,13,8,0,6
73,sb3_league,rational,3,4,2,2,18,8,0,4
74,sb3_league,rational,3,14,0,13,4,4,0,0
75,sb3_league,rational,9,11,3,7,3,8,0,8
76,sb3_league,rational,3,6,0,4,23,4,0,3
77,sb3_league,rational,4,6,0,20,4,4,0,0
78,sb3_league,rational,9,10,2,9,1,12,0,3
79,sb3_league,rational,8,2,2,18,8,5,0,1
80,sb3_league,rational,7,7,1,5,8,18,1,3
81,sb3_league,rational,12,6,3,9,8,10,1,3
82,sb3_league,rational,12,7,2,9,4,6,1,3
83,sb3_league,rational,9,13,0,8,6,5,0,4
84,sb3_league,rational,13,11,2,4,7,8,1,6
85,sb3_league,rational,25,0,0,5,6,4,0,1
86,sb3_league,rational,11,7,6,6,12,8,1,0
87,sb3_league,rational,1,13,0,16,1,2,0,0
88,sb3_league,rational,2,2,1,1,24,4,0,2
89,sb3_league,rational,7,2,0,6,17,12,0,1
90,sb3_league,rational,12,11,1,6,6,8,1,5
91,sb3_league,rational,8,13,1,8,17,4,0,7
92,sb3_league,rational,3,2,1,3,23,2,0,5
93,sb3_league,rational,9,10,3,8,5,12,0,0
94,sb3_league,rational,10,18,1,1,9,12,1,7
95,sb3_league,rational,0,2,0,1,25,5,0,0
96,sb3_league,rational,6,8,0,0,18,8,0,4
97,sb3_league,rational,3,14,0,13,3,6,0,0
98,sb3_league,rational,5,4,0,8,21,8,0,1
99,sb3_league,rational,2,4,2,0,25,4,0,1
100,sb3_league,rational,15,8,1,6,8,9,0,7
