game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,sb3,q_learning,J0,30,23,23,30,17,12,5
2,sb3,q_learning,J1,29,30,30,29,19,10,9
3,sb3,q_learning,J1,26,30,30,26,17,10,7
4,sb3,q_learning,J0,30,22,22,30,18,11,7
5,sb3,q_learning,J0,30,19,19,30,16,12,4
6,sb3,q_learning,J1,21,30,30,21,16,8,8
7,sb3,q_learning,J0,30,19,19,30,16,12,4
8,sb3,q_learning,J0,30,25,25,30,21,15,6
9,sb3,q_learning,J0,30,17,17,30,14,8,6
10,sb3,q_learning,J0,30,23,23,30,19,10,9
11,sb3,q_learning,J0,30,17,17,30,15,10,5
12,sb3,q_learning,J1,22,30,30,22,13,6,7
13,sb3,q_learning,J1,13,30,30,13,13,5,8
14,sb3,q_learning,J1,10,30,30,10,9,4,5
15,sb3,q_learning,J0,30,18,18,30,15,11,4
16,sb3,q_learning,J1,26,30,30,26,20,12,8
17,sb3,q_learning,J1,21,30,30,21,18,8,10
18,sb3,q_learning,J0,30,27,27,30,18,9,9
19,sb3,q_learning,J0,30,28,28,30,21,12,9
20,sb3,q_learning,J0,30,26,26,30,20,11,9
21,sb3,q_learning,J1,27,30,30,27,19,9,10
22,sb3,q_learning,J0,30,15,15,30,13,9,4
23,sb3,q_learning,J1,25,30,30,25,17,9,8
24,sb3,q_learning,J0,30,23,23,30,19,11,8
25,sb3,q_learning,J1,26,30,30,26,15,8,7
26,sb3,q_learning,J1,23,30,30,23,16,11,5
27,sb3,q_learning,J1,28,30,30,28,18,7,11
28,sb3,q_learning,J1,11,30,30,11,12,5,7
29,sb3,q_learning,J0,30,29,29,30,20,13,7
30,sb3,q_learning,J0,30,18,18,30,14,8,6
31,sb3,q_learning,J1,23,30,30,23,16,9,7
32,sb3,q_learning,J0,30,23,23,30,20,10,10
33,sb3,q_learning,J1,18,30,30,18,16,6,10
34,sb3,q_learning,J0,30,19,19,30,16,10,6
35,sb3,q_learning,J1,24,30,30,24,16,9,7
36,sb3,q_learning,J0,30,19,19,30,17,11,6
37,sb3,q_learning,J0,30,26,26,30,19,11,8
38,sb3,q_learning,J1,20,30,30,20,16,5,11
39,sb3,q_learning,J0,30,25,25,30,20,13,7
40,sb3,q_learning,J0,30,20,20,30,15,9,6
41,sb3,q_learning,J0,30,20,20,30,17,9,8
42,sb3,q_learning,J0,30,29,29,30,18,9,9
43,sb3,q_learning,J0,30,12,12,30,12,9,3
44,sb3,q_learning,J0,30,29,29,30,17,9,8
45,sb3,q_learning,J1,26,30,30,26,19,12,7
46,sb3,q_learning,J0,30,20,20,30,17,7,10
47,sb3,q_learning,J0,30,18,18,30,17,9,8
48,sb3,q_learning,J1,25,30,30,25,16,8,8
49,sb3,q_learning,J0,30,20,20,30,17,8,9
50,sb3,q_learning,J1,26,30,30,26,17,11,6
51,sb3,q_learning,J1,28,30,30,28,19,10,9
52,sb3,q_learning,J0,30,24,24,30,17,9,8
53,sb3,q_learning,J1,19,30,30,19,14,6,8
54,sb3,q_learning,J0,30,18,18,30,16,8,8
55,sb3,q_learning,J1,25,30,30,25,18,9,9
56,sb3,q_learning,J0,30,24,24,30,19,11,8
57,sb3,q_learning,J1,29,30,30,29,20,11,9
58,sb3,q_learning,J1,28,30,30,28,20,9,11
59,sb3,q_learning,J0,30,14,14,30,15,13,2
60,sb3,q_learning,J0,30,28,28,30,21,12,9
61,sb3,q_learning,J0,30,21,21,30,15,7,8
62,sb3,q_learning,J0,30,26,26,30,14,7,7
63,sb3,q_learning,J1,19,30,30,19,18,7,11
64,sb3,q_learning,J0,30,20,20,30,15,9,6
65,sb3,q_learning,J0,30,23,23,30,18,11,7
66,sb3,q_learning,J1,24,30,30,24,18,9,9
67,sb3,q_learning,J1,20,30,30,20,16,9,7
68,sb3,q_learning,J0,30,24,24,30,19,12,7
69,sb3,q_learning,J0,30,6,6,30,10,6,4
70,sb3,q_learning,J0,30,10,10,30,14,10,4
71,sb3,q_learning,J0,30,15,15,30,14,12,2
72,sb3,q_learning,J0,30,29,29,30,19,10,9
73,sb3,q_learning,J0,30,19,19,30,18,13,5
74,sb3,q_learning,J0,30,21,21,30,17,11,6
75,sb3,q_learning,J1,28,30,30,28,17,10,7
76,sb3,q_learning,J0,30,22,22,30,17,9,8
77,sb3,q_learning,J0,30,20,20,30,18,11,7
78,sb3,q_learning,J0,30,22,22,30,16,10,6
79,sb3,q_learning,J0,30,15,15,30,14,9,5
80,sb3,q_learning,J1,17,30,30,17,14,6,8
81,sb3,q_learning,J1,23,30,30,23,17,8,9
82,sb3,q_learning,J0,30,29,29,30,20,10,10
83,sb3,q_learning,J0,30,26,26,30,21,11,10
84,sb3,q_learning,J1,14,30,30,14,14,4,10
85,sb3,q_learning,J0,30,19,19,30,16,11,5
86,sb3,q_learning,J1,28,30,30,28,17,8,9
87,sb3,q_learning,J0,30,25,25,30,18,8,10
88,sb3,q_learning,J0,30,21,21,30,18,13,5
89,sb3,q_learning,J1,26,30,30,26,21,8,13
90,sb3,q_learning,J0,30,6,6,30,12,10,2
91,sb3,q_learning,J1,28,30,30,28,20,9,11
92,sb3,q_learning,J0,30,23,23,30,21,11,10
93,sb3,q_learning,J1,28,30,30,28,18,9,9
94,sb3,q_learning,J1,14,30,30,14,13,5,8
95,sb3,q_learning,J0,30,22,22,30,17,11,6
96,sb3,q_learning,J1,25,30,30,25,19,9,10
97,sb3,q_learning,J1,27,30,30,27,21,14,7
98,sb3,q_learning,J1,21,30,30,21,14,8,6
99,sb3,q_learning,J0,30,14,14,30,15,10,5
100,sb3,q_learning,J0,30,13,13,30,14,9,5
101,sb3,q_learning,J1,23,30,30,23,18,9,9
102,sb3,q_learning,J1,26,30,30,26,17,9,8
103,sb3,q_learning,J1,23,30,30,23,16,8,8
104,sb3,q_learning,J0,30,9,9,30,14,11,3
105,sb3,q_learning,J1,21,30,30,21,17,9,8
