game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,sb3,random,J1,25,30,30,25,18,16,2
2,sb3,random,J0,30,28,28,30,15,10,5
3,sb3,random,J1,24,30,30,24,16,12,4
4,sb3,random,J0,30,27,27,30,17,12,5
5,sb3,random,J1,8,30,30,8,5,4,1
6,sb3,random,J0,30,23,23,30,15,12,3
7,sb3,random,J0,30,28,28,30,16,12,4
8,sb3,random,J0,30,21,21,30,13,9,4
9,sb3,random,J0,30,24,24,30,14,10,4
10,sb3,random,J0,30,9,9,30,11,11,0
11,sb3,random,J0,30,19,19,30,16,14,2
12,sb3,random,J1,20,30,30,20,14,8,6
13,sb3,random,J0,30,29,29,30,18,15,3
14,sb3,random,J0,30,11,11,30,10,10,0
15,sb3,random,J1,11,30,30,11,8,3,5
16,sb3,random,J1,11,30,30,11,13,7,6
17,sb3,random,J0,30,26,26,30,14,9,5
18,sb3,random,J1,15,30,30,15,11,7,4
19,sb3,random,J0,30,24,24,30,13,8,5
20,sb3,random,J0,30,25,25,30,13,10,3
21,sb3,random,J1,20,30,30,20,11,10,1
22,sb3,random,J0,30,29,29,30,20,16,4
23,sb3,random,J1,28,30,30,28,16,13,3
24,sb3,random,J1,12,30,30,12,9,5,4
25,sb3,random,J0,30,23,23,30,13,10,3
26,sb3,random,J1,26,30,30,26,17,15,2
27,sb3,random,J0,30,16,16,30,11,7,4
28,sb3,random,J1,14,30,30,14,12,8,4
29,sb3,random,J0,30,27,27,30,16,12,4
30,sb3,random,J1,26,30,30,26,18,13,5
31,sb3,random,J0,30,21,21,30,11,9,2
32,sb3,random,J0,30,25,25,30,18,16,2
33,sb3,random,J1,15,30,30,15,10,7,3
34,sb3,random,J1,17,30,30,17,13,10,3
35,sb3,random,J0,30,17,17,30,15,13,2
36,sb3,random,J0,30,14,14,30,13,13,0
37,sb3,random,J0,30,12,12,30,12,12,0
38,sb3,random,J0,30,26,26,30,15,11,4
39,sb3,random,J1,24,30,30,24,16,10,6
40,sb3,random,J0,30,16,16,30,13,11,2
41,sb3,random,J1,23,30,30,23,14,10,4
42,sb3,random,J1,29,30,30,29,17,12,5
43,sb3,random,J1,24,30,30,24,18,14,4
44,sb3,random,J0,30,6,6,30,3,2,1
