game,agent_0,agent_1,envido_j0,truco_j0,cartas_j0,abandono_j0,envido_j1,truco_j1,cartas_j1,abandono_j1
1,sb3,random,25,0,0,5,1,0,0,0
2,sb3,random,20,0,1,9,9,0,0,2
3,sb3,random,2,4,0,6,15,4,0,11
4,sb3,random,11,0,0,19,26,0,0,2
5,sb3,random,5,0,1,20,26,0,0,4
6,sb3,random,5,7,2,13,25,0,1,4
7,sb3,random,6,0,0,10,17,0,0,13
8,sb3,random,6,4,0,20,13,4,1,4
9,sb3,random,8,0,0,16,16,7,0,7
10,sb3,random,3,0,2,15,23,0,0,7
11,sb3,random,1,6,1,14,26,0,0,4
12,sb3,random,6,0,1,22,20,2,1,7
13,sb3,random,6,0,1,20,24,3,1,2
14,sb3,random,7,3,0,20,15,6,0,0
15,sb3,random,3,0,0,14,18,4,3,5
16,sb3,random,12,0,0,18,14,0,1,6
17,sb3,random,8,0,0,22,20,0,1,8
18,sb3,random,7,2,1,7,22,0,1,7
19,sb3,random,9,2,3,14,20,6,1,3
20,sb3,random,11,8,2,9,18,4,0,1
21,sb3,random,12,0,0,18,12,2,1,6
22,sb3,random,8,6,2,14,18,0,2,6
23,sb3,random,3,0,0,21,22,0,0,8
24,sb3,random,7,0,0,23,15,2,1,4
25,sb3,random,2,0,3,15,23,0,1,6
26,sb3,random,7,0,2,21,15,0,1,6
27,sb3,random,8,8,0,14,14,4,1,3
28,sb3,random,13,0,1,16,13,2,0,9
29,sb3,random,6,4,1,19,18,0,0,0
30,sb3,random,8,0,0,20,20,0,0,10
31,sb3,random,8,2,1,19,18,7,1,2
32,sb3,random,9,6,0,15,11,2,2,0
33,sb3,random,6,3,2,19,15,0,1,9
34,sb3,random,7,0,0,23,13,4,0,0
35,sb3,random,9,0,0,21,17,2,0,5
36,sb3,random,4,6,0,20,17,0,1,0
37,sb3,random,11,0,1,18,13,0,1,1
38,sb3,random,13,0,1,16,15,0,0,5
39,sb3,random,8,0,0,19,21,0,1,8
40,sb3,random,2,0,1,19,24,0,2,4
41,sb3,random,6,0,1,19,19,2,1,8
42,sb3,random,11,7,0,12,21,4,1,1
43,sb3,random,2,0,0,9,23,0,1,6
44,sb3,random,5,0,1,22,22,6,0,2
45,sb3,random,2,0,0,8,22,0,0,8
46,sb3,random,5,3,1,16,25,2,2,1
47,sb3,random,1,2,1,5,18,2,1,9
48,sb3,random,2,8,0,11,23,0,1,6
49,sb3,random,2,6,2,13,20,4,0,6
50,sb3,random,5,0,1,24,17,0,0,3
51,sb3,random,0,5,0,15,23,0,1,6
52,sb3,random,5,5,1,19,21,4,0,4
53,sb3,random,5,6,0,16,23,0,1,6
54,sb3,random,8,4,2,16,16,0,0,5
55,sb3,random,10,4,2,14,22,2,0,1
56,sb3,random,9,0,0,21,15,0,2,6
57,sb3,random,7,3,1,5,18,4,1,7
58,sb3,random,6,4,2,18,18,0,0,5
59,sb3,random,5,0,0,18,21,6,0,3
60,sb3,random,6,0,2,22,13,0,0,3
61,sb3,random,3,2,0,12,23,0,0,7
62,sb3,random,9,8,2,11,14,6,2,2
63,sb3,random,0,0,0,2,28,0,0,2
64,sb3,random,6,4,1,18,24,0,1,5
65,sb3,random,9,0,0,21,13,3,0,2
66,sb3,random,2,4,0,14,21,0,2,7
67,sb3,random,0,7,0,15,24,4,0,2
68,sb3,random,4,0,1,6,21,0,1,8
69,sb3,random,2,2,2,19,20,6,0,4
70,sb3,random,14,0,1,15,19,0,2,8
71,sb3,random,8,6,0,16,21,2,0,4
72,sb3,random,3,0,0,12,19,4,1,6
73,sb3,random,7,0,3,15,19,2,1,8
74,sb3,random,7,2,1,13,19,0,1,10
75,sb3,random,11,0,1,18,17,0,4,3
76,sb3,random,13,0,0,17,14,0,0,4
77,sb3,random,3,3,0,9,24,2,0,4
78,sb3,random,2,4,0,15,20,0,1,9
79,sb3,random,8,4,0,18,19,0,0,9
80,sb3,random,1,0,0,10,20,2,1,7
81,sb3,random,5,6,1,13,20,2,2,6
82,sb3,random,8,4,0,18,15,0,1,8
83,sb3,random,10,4,0,16,19,3,0,4
84,sb3,random,2,3,0,18,24,0,0,6
85,sb3,random,3,3,1,23,28,0,0,1
86,sb3,random,17,0,0,13,15,7,2,3
87,sb3,random,6,0,0,24,19,0,1,8
88,sb3,random,5,3,2,20,20,2,1,6
89,sb3,random,2,0,0,2,26,4,0,0
90,sb3,random,5,7,2,16,21,0,1,5
91,sb3,random,0,7,1,19,26,0,2,2
92,sb3,random,6,4,0,14,20,3,3,4
93,sb3,random,7,4,1,13,18,3,2,7
94,sb3,random,12,0,0,18,10,0,0,1
95,sb3,random,6,0,1,16,18,4,2,6
96,sb3,random,11,2,1,16,18,4,1,1
97,sb3,random,7,2,1,20,16,0,2,0
98,sb3,random,6,4,0,20,23,0,1,3
99,sb3,random,19,0,2,9,15,0,2,4
100,sb3,random,9,4,0,16,15,11,0,4
