game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,sb3,rational,J0,30,23,23,30,19,9,10
2,sb3,rational,J1,27,30,30,27,20,9,11
3,sb3,rational,J1,25,30,30,25,21,7,14
4,sb3,rational,J1,24,30,30,24,20,11,9
5,sb3,rational,J1,20,30,30,20,17,8,9
6,sb3,rational,J0,30,21,21,30,19,11,8
7,sb3,rational,J0,30,10,10,30,15,10,5
8,sb3,rational,J0,30,23,23,30,19,10,9
9,sb3,rational,J0,30,21,21,30,22,8,14
10,sb3,rational,J1,22,30,30,22,19,7,12
11,sb3,rational,J0,30,17,17,30,17,13,4
12,sb3,rational,J1,23,30,30,23,20,7,13
13,sb3,rational,J0,30,26,26,30,20,11,9
14,sb3,rational,J0,30,25,25,30,21,11,10
15,sb3,rational,J0,30,24,24,30,20,7,13
16,sb3,rational,J1,12,30,30,12,16,7,9
17,sb3,rational,J1,23,30,30,23,19,9,10
18,sb3,rational,J1,27,30,30,27,21,14,7
19,sb3,rational,J0,30,28,28,30,21,9,12
20,sb3,rational,J1,18,30,30,18,17,7,10
21,sb3,rational,J0,30,26,26,30,20,8,12
22,sb3,rational,J1,26,30,30,26,21,9,12
23,sb3,rational,J0,30,22,22,30,19,12,7
24,sb3,rational,J0,30,28,28,30,22,9,13
25,sb3,rational,J1,21,30,30,21,20,10,10
26,sb3,rational,J0,30,23,23,30,22,11,11
27,sb3,rational,J0,30,26,26,30,21,12,9
28,sb3,rational,J1,25,30,30,25,20,11,9
29,sb3,rational,J1,17,30,30,17,16,5,11
30,sb3,rational,J1,25,30,30,25,22,9,13
31,sb3,rational,J0,30,23,23,30,23,12,11
32,sb3,rational,J1,28,30,30,28,20,10,10
33,sb3,rational,J1,21,30,30,21,18,7,11
34,sb3,rational,J1,25,30,30,25,18,6,12
35,sb3,rational,J0,30,18,18,30,16,9,7
36,sb3,rational,J0,30,24,24,30,20,9,11
