game,agent_0,agent_1,envido_j0,truco_j0,cartas_j0,abandono_j0,envido_j1,truco_j1,cartas_j1,abandono_j1
1,sb3,rational,14,8,3,2,10,15,3,2
2,sb3,rational,17,2,3,4,8,16,4,2
3,sb3,rational,12,9,4,5,16,10,1,0
4,sb3,rational,10,0,1,1,12,12,6,0
5,sb3,rational,15,2,2,2,6,17,7,0
6,sb3,rational,18,6,1,5,5,16,2,0
7,sb3,rational,16,4,3,7,14,5,10,0
8,sb3,rational,17,8,2,3,1,6,5,0
9,sb3,rational,14,8,6,2,5,6,2,0
10,sb3,rational,13,6,4,6,14,13,3,0
11,sb3,rational,18,4,1,3,4,23,2,1
12,sb3,rational,12,4,1,3,10,19,1,0
13,sb3,rational,20,2,6,2,2,17,4,1
14,sb3,rational,17,6,2,5,8,14,5,0
15,sb3,rational,17,4,2,7,8,16,3,2
16,sb3,rational,8,4,1,2,20,4,6,0
17,sb3,rational,12,0,1,6,8,18,4,0
18,sb3,rational,17,4,3,6,8,15,4,0
19,sb3,rational,17,10,0,3,6,18,1,0
20,sb3,rational,16,2,5,6,14,10,5,1
21,sb3,rational,12,2,2,2,8,19,2,1
22,sb3,rational,12,4,3,6,14,12,3,1
23,sb3,rational,16,6,3,5,12,12,3,1
24,sb3,rational,14,6,4,4,16,11,2,1
25,sb3,rational,10,4,2,2,11,17,0,2
26,sb3,rational,18,2,5,4,7,20,3,0
27,sb3,rational,15,8,4,3,9,14,3,0
28,sb3,rational,10,4,1,2,8,18,4,0
29,sb3,rational,16,4,3,2,10,12,8,0
30,sb3,rational,15,6,5,2,12,14,3,1
31,sb3,rational,17,8,2,3,9,8,5,2
32,sb3,rational,12,4,3,2,10,16,3,1
33,sb3,rational,15,6,3,6,14,13,1,0
34,sb3,rational,16,4,2,4,11,15,4,0
35,sb3,rational,17,2,7,4,6,6,4,1
36,sb3,rational,11,8,2,2,14,12,4,0
37,sb3,rational,13,4,3,1,11,14,5,0
38,sb3,rational,10,4,3,5,17,10,3,0
39,sb3,rational,19,2,7,2,6,10,3,0
40,sb3,rational,18,0,3,5,9,15,6,0
41,sb3,rational,11,4,1,4,19,10,1,0
42,sb3,rational,10,2,2,3,13,15,2,0
43,sb3,rational,18,8,2,2,7,12,5,1
44,sb3,rational,15,8,3,4,12,8,3,1
45,sb3,rational,16,4,0,4,7,16,7,0
46,sb3,rational,11,8,1,2,12,15,2,1
47,sb3,rational,16,6,5,3,8,10,4,0
48,sb3,rational,15,8,0,7,12,12,4,0
49,sb3,rational,13,2,4,5,13,13,4,0
50,sb3,rational,18,6,1,5,0,11,3,0
51,sb3,rational,18,4,3,5,7,12,5,0
52,sb3,rational,17,8,1,4,8,12,7,0
53,sb3,rational,15,6,7,2,7,5,4,0
54,sb3,rational,15,10,2,3,7,8,4,0
55,sb3,rational,10,0,1,1,9,15,6,0
56,sb3,rational,18,2,5,5,7,9,5,0
57,sb3,rational,17,6,2,5,6,12,3,0
58,sb3,rational,16,2,2,6,9,15,6,0
59,sb3,rational,14,8,5,3,6,7,5,0
60,sb3,rational,16,6,6,2,9,7,4,0
61,sb3,rational,17,4,2,7,5,13,5,0
62,sb3,rational,13,2,4,5,13,12,5,0
63,sb3,rational,15,10,1,4,3,10,1,0
64,sb3,rational,13,10,3,4,8,9,3,0
65,sb3,rational,19,6,1,4,8,13,8,0
66,sb3,rational,15,4,3,8,8,8,3,0
67,sb3,rational,8,0,1,2,12,14,4,0
68,sb3,rational,8,4,4,2,16,9,5,0
69,sb3,rational,12,2,1,3,11,13,3,3
70,sb3,rational,17,4,5,4,8,11,3,0
71,sb3,rational,16,6,3,5,8,10,3,0
72,sb3,rational,14,8,3,5,7,7,2,0
73,sb3,rational,10,4,1,2,11,16,2,1
74,sb3,rational,17,0,2,3,9,14,7,0
75,sb3,rational,16,2,1,6,12,10,8,0
76,sb3,rational,16,2,6,6,9,6,4,0
77,sb3,rational,14,4,5,7,13,8,2,0
78,sb3,rational,12,0,1,7,13,12,4,1
79,sb3,rational,15,7,4,4,10,6,6,0
80,sb3,rational,14,4,5,6,16,8,6,0
81,sb3,rational,13,6,2,8,21,6,3,0
82,sb3,rational,12,8,3,3,14,11,4,1
83,sb3,rational,13,8,4,5,13,14,2,0
84,sb3,rational,8,0,3,4,14,13,3,0
85,sb3,rational,18,6,3,3,4,8,8,0
86,sb3,rational,19,4,1,6,8,12,5,1
87,sb3,rational,10,0,1,2,9,19,2,0
88,sb3,rational,10,2,4,4,13,14,3,0
89,sb3,rational,14,2,6,6,16,10,4,0
90,sb3,rational,18,6,2,4,9,7,8,1
91,sb3,rational,16,6,3,1,9,13,7,1
92,sb3,rational,11,2,1,3,11,13,5,1
93,sb3,rational,14,2,1,6,10,15,5,0
94,sb3,rational,17,3,4,6,7,16,2,0
95,sb3,rational,15,4,3,5,9,16,5,0
96,sb3,rational,14,0,5,5,10,13,4,3
97,sb3,rational,13,11,4,2,7,10,3,0
98,sb3,rational,16,4,4,6,7,11,4,0
99,sb3,rational,18,2,6,4,4,13,3,0
100,sb3,rational,5,0,1,3,17,12,1,0
